time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.004000,0.3538,-0.0082,-0.8554,0.926
0.020000,0.4198,0.1827,0.0325,0.459
0.021000,0.4055,0.3365,0.4999,0.726
0.029000,0.4125,0.4215,0.6628,0.887
0.041000,0.3313,0.4401,0.6763,0.872
0.049000,0.1693,0.4278,0.6297,0.780
0.061000,-0.0151,0.3695,0.5372,0.652
0.069000,-0.1699,0.2324,0.2666,0.392
0.079000,-0.1989,0.0008,-0.0130,0.199
0.095000,-0.0670,-0.1531,-0.1341,0.214
0.099000,0.1267,-0.1569,-0.0890,0.220
0.109000,0.2462,-0.0642,-0.0120,0.255
0.119000,0.2983,0.0411,-0.0733,0.310
0.129000,0.2474,0.1725,-0.2213,0.374
0.142000,0.1444,0.2261,-0.4252,0.503
0.150000,0.1196,0.2919,-0.6256,0.701
0.166000,0.2040,0.3489,-0.6140,0.735
0.169000,0.2798,0.2791,-0.3527,0.530
0.180000,0.2336,0.0768,0.2291,0.336
0.189000,0.2015,-0.0582,0.4808,0.525
0.199000,0.1565,0.0488,1.4934,1.502
0.209000,1.1022,0.1908,0.2962,1.157
0.219000,0.5733,-0.1661,1.3123,1.442
0.229000,1.0313,0.2808,-1.1958,1.604
0.254000,1.1141,0.3183,-1.6506,2.017
0.255000,1.1412,0.2783,-1.8592,2.199
0.283000,1.2782,0.1976,-1.5860,2.046
0.285000,1.1332,0.0062,-0.9158,1.457
0.286000,1.2307,0.0388,-1.0184,1.598
0.299000,1.2546,-0.0028,-1.2399,1.764
0.300000,0.7223,-0.2179,-1.0548,1.297
0.311000,0.0909,-0.4432,0.1491,0.476
0.319000,0.1855,-0.2628,0.8641,0.922
0.329000,-2.0811,-1.0486,1.9452,3.035
0.352000,-3.1287,-1.6386,5.8526,6.836
0.353000,-3.0406,-1.2263,6.5943,7.364
0.359000,-1.6024,-0.4630,2.7199,3.191
0.369000,-0.0840,0.5621,-0.5299,0.777
0.379000,0.9459,1.2029,-2.0741,2.577
0.391000,0.6424,1.3997,-1.9133,2.456
0.399000,0.2437,1.5813,-1.2973,2.060
0.409000,0.0123,1.4005,-0.2303,1.419
0.419000,0.2407,1.1059,0.6870,1.324
0.429000,0.8231,0.9585,0.8733,1.536
0.443000,1.6703,0.8816,0.7198,2.021
0.449000,1.8015,0.8339,0.4143,2.028
0.469000,1.8992,0.4783,-0.0614,1.959
0.470000,1.5927,0.0980,-0.4035,1.646
0.481000,0.9622,0.1139,-0.1688,0.984
0.496000,0.2657,0.3662,0.2245,0.505
0.500000,-0.3220,0.5833,0.6880,0.958
0.509000,-0.3839,0.5428,0.6495,0.929
0.519000,-0.1698,0.4107,0.4996,0.669
0.529000,0.2441,0.3471,0.5688,0.710
0.547000,0.7678,0.3953,1.0750,1.379
0.549000,0.8649,0.5053,1.2232,1.581
0.569000,0.5341,0.5177,0.7170,1.033
0.571000,0.6272,0.7277,0.6819,1.178
0.582000,0.6636,0.7384,0.6038,1.162
0.590000,0.7156,0.7169,0.7994,1.290
0.599000,0.5469,0.6261,1.2066,1.465
0.609000,0.6083,0.3005,0.8068,1.054
0.619000,0.6222,-0.0136,0.8281,1.036
0.629000,0.7146,-0.2423,1.1437,1.370
0.647000,0.6136,-0.2024,0.3955,0.758
0.649000,0.2197,-0.0989,0.1671,0.293
0.667000,0.1673,0.1738,0.4416,0.503
0.670000,0.0801,0.4308,0.6788,0.808
0.680000,0.1341,0.6259,-0.1109,0.650
0.690000,0.0627,0.9158,-0.0981,0.923
0.699000,-0.1068,1.1720,-0.0436,1.178
0.709000,0.3768,0.7353,2.9607,3.074
0.719000,1.1169,2.7776,0.1901,3.000
0.729000,-0.2432,1.7440,0.5708,1.851
0.739000,0.0323,0.9554,1.0779,1.441
0.749000,0.4102,0.7502,0.9049,1.245
0.766000,0.3184,0.2466,1.1076,1.179
0.769000,0.8376,0.0991,0.3506,0.913
0.779000,0.9349,-0.0050,0.0787,0.938
0.791000,0.7871,-0.2674,0.1585,0.846
0.799000,0.6037,-0.7806,0.0436,0.988
0.809000,0.4231,-1.3811,0.6785,1.596
0.819000,0.4202,-1.8533,1.1585,2.226
0.829000,0.3590,-2.2759,1.8193,2.936
0.839000,0.3069,-2.2735,2.8521,3.660
0.850000,0.6275,-2.2520,2.7068,3.577
0.869000,0.9491,-2.5965,2.5833,3.784
0.871000,1.2607,-2.8252,2.3107,3.861
0.879000,1.6638,-2.9524,1.7938,3.834
0.889000,1.8882,-2.8937,1.3858,3.723
0.899000,2.0060,-2.7501,1.3006,3.644
0.909000,1.8962,-2.9017,1.6267,3.829
