time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.004000,-0.0564,0.0497,-0.0123,0.076
0.005000,-0.1156,0.0563,0.0069,0.129
0.011000,-0.1247,0.0890,-0.0571,0.164
0.014000,-0.1267,0.1189,-0.0540,0.182
0.019000,-0.1764,0.1034,-0.0344,0.207
0.027000,-0.1760,0.0929,-0.0482,0.205
0.029000,-0.1759,0.0706,-0.0620,0.199
0.035000,-0.1570,0.0604,-0.0496,0.175
0.040000,-0.1290,0.0549,-0.0799,0.161
0.044000,-0.1107,0.0090,-0.1384,0.177
0.050000,-0.0378,0.0159,-0.0872,0.096
0.055000,0.0058,0.0084,-0.0341,0.036
0.069000,0.0799,-0.0132,0.0042,0.081
0.070000,0.1702,-0.0157,-0.0812,0.189
0.070000,0.2696,-0.0443,-0.1041,0.292
0.077000,0.2640,-0.0013,-0.0864,0.278
0.080000,0.2231,-0.0419,0.0048,0.227
0.087000,0.1872,-0.0370,0.1189,0.225
0.090000,0.1303,-0.0154,0.1371,0.190
0.096000,0.0451,-0.0201,0.0908,0.103
0.100000,0.0721,-0.0057,0.0923,0.117
0.105000,0.0418,-0.0317,0.0248,0.058
0.111000,-0.0525,-0.0218,0.0028,0.057
0.115000,-0.1176,-0.0189,0.0331,0.124
0.120000,-0.1633,0.0075,0.1109,0.198
0.128000,-0.1137,0.0334,0.1766,0.213
0.131000,-0.0766,0.0494,0.1873,0.208
0.138000,-0.0472,0.1080,0.1719,0.208
0.143000,-0.0773,0.1256,0.2066,0.254
0.145000,-0.0431,0.1525,0.3076,0.346
0.152000,0.0759,0.1436,0.4290,0.459
0.156000,0.2053,0.1040,0.4567,0.511
0.162000,0.2740,0.0882,0.4749,0.555
0.166000,0.2281,0.1010,0.4218,0.490
0.171000,0.2231,0.1372,0.3505,0.438
0.176000,0.2019,0.1800,0.2873,0.395
0.183000,0.1767,0.1675,0.2297,0.335
0.188000,0.0808,0.1337,0.2084,0.260
0.191000,0.0881,0.0881,0.3183,0.342
0.201000,0.1330,0.0330,0.3755,0.400
0.203000,0.1585,-0.1074,0.3138,0.368
0.206000,0.2337,-0.1732,0.3717,0.472
0.212000,0.2772,-0.2364,0.3345,0.495
0.217000,0.2657,-0.2900,0.3766,0.545
0.223000,-0.1047,-0.1154,0.8677,0.882
0.227000,-0.1955,-0.2019,0.7214,0.774
0.231000,-0.1554,-0.3618,0.3348,0.517
0.237000,0.2024,-0.4976,0.4991,0.733
0.243000,0.5795,-0.3246,0.7021,0.966
0.247000,0.8620,-0.4692,0.5903,1.145
0.253000,0.6549,-0.2610,0.0089,0.705
0.258000,0.4444,-0.1587,-0.6346,0.791
0.264000,0.3470,-0.1847,-0.9651,1.042
0.268000,0.2831,-0.1617,-1.1094,1.156
0.273000,0.2834,-0.1449,-1.1401,1.184
0.279000,0.3212,-0.1532,-1.0536,1.112
0.284000,0.3417,-0.1912,-0.8197,0.908
0.288000,0.3925,-0.2352,-0.5225,0.695
0.302000,0.3903,-0.2118,-0.2498,0.510
0.302000,0.3974,-0.2290,0.0277,0.460
0.303000,0.3830,-0.2558,0.2128,0.507
0.308000,0.3830,-0.2661,0.2949,0.552
0.312000,0.3855,-0.3291,0.2915,0.585
0.318000,0.3665,-0.3564,0.3078,0.597
0.323000,0.3358,-0.3386,0.2508,0.539
0.330000,0.3482,-0.3759,0.1781,0.542
0.332000,0.3367,-0.3988,0.0563,0.525
0.338000,0.3396,-0.4359,0.0188,0.553
0.345000,0.3494,-0.3893,-0.0187,0.523
0.348000,0.3281,-0.3595,-0.0752,0.492
0.354000,0.3115,-0.3488,-0.0697,0.473
0.361000,0.3043,-0.3308,-0.0314,0.451
0.364000,0.2969,-0.2938,-0.0198,0.418
0.368000,0.2966,-0.2806,-0.0086,0.408
0.375000,0.2865,-0.2294,0.0498,0.370
0.379000,0.3192,-0.2142,0.1527,0.414
0.385000,0.3324,-0.2131,0.2212,0.453
0.389000,0.3429,-0.1693,0.2653,0.465
0.394000,0.3344,-0.0949,0.3494,0.493
0.398000,0.3283,-0.0164,0.4470,0.555
0.405000,0.2913,0.0402,0.5057,0.585
0.412000,0.2854,0.0963,0.5924,0.665
0.415000,0.2626,0.1947,0.6190,0.700
0.419000,0.2661,0.2400,0.6477,0.740
0.425000,0.2170,0.3323,0.6454,0.758
0.429000,0.2037,0.4169,0.6455,0.795
0.435000,0.2000,0.4340,0.5839,0.755
0.440000,0.2365,0.4535,0.5941,0.784
0.447000,0.2346,0.4443,0.5305,0.731
0.450000,0.2968,0.3829,0.4769,0.680
0.455000,0.2847,0.3078,0.4048,0.583
0.461000,0.3083,0.2833,0.3640,0.555
0.465000,0.3555,0.2210,0.3425,0.541
0.470000,0.3784,0.1238,0.3234,0.513
0.475000,0.4203,0.0463,0.3093,0.524
0.480000,0.4239,-0.0329,0.2952,0.518
0.486000,0.4063,-0.0947,0.2836,0.504
0.490000,0.4199,-0.1964,0.2981,0.551
0.496000,0.4526,-0.2401,0.2959,0.592
0.500000,0.4661,-0.2812,0.2890,0.616
0.507000,0.4988,-0.3458,0.2752,0.666
0.512000,0.5336,-0.3552,0.2212,0.678
0.515000,0.5563,-0.4453,0.2269,0.748
0.521000,0.5930,-0.5181,0.2138,0.816
0.529000,0.6390,-0.6261,0.1297,0.904
0.531000,0.7229,-0.7237,0.0914,1.027
0.536000,0.8299,-0.8180,0.0368,1.166
0.541000,0.9267,-0.9140,0.0351,1.302
0.546000,1.0112,-0.9190,0.0239,1.367
0.551000,1.0287,-1.0072,0.0866,1.442
0.556000,1.0253,-1.0542,0.0347,1.471
0.562000,1.0675,-1.0820,0.0856,1.522
0.566000,1.0314,-1.0407,0.1553,1.473
0.571000,0.9297,-1.0405,0.2128,1.411
0.577000,0.8315,-1.0310,0.2869,1.355
0.580000,0.7749,-0.9909,0.3084,1.295
0.586000,0.7141,-0.8992,0.3635,1.204
0.590000,0.6398,-0.8489,0.3923,1.133
0.595000,0.5686,-0.7992,0.4614,1.084
0.601000,0.4860,-0.7239,0.4685,0.990
0.605000,0.4564,-0.6473,0.5354,0.956
0.616000,0.3578,-0.5620,0.5618,0.871
0.618000,0.3196,-0.4920,0.5884,0.831
0.620000,0.2650,-0.4017,0.6011,0.770
0.636000,0.1587,-0.3507,0.5313,0.656
0.637000,0.0514,-0.3552,0.4582,0.582
0.638000,0.0216,-0.3485,0.3770,0.514
0.641000,-0.0094,-0.4231,0.2735,0.504
0.647000,-0.0346,-0.4952,0.1668,0.524
0.653000,-0.1010,-0.6005,0.1142,0.620
0.658000,-0.2461,-0.7010,0.0987,0.749
0.662000,-0.3602,-0.8202,0.0938,0.901
0.668000,-0.5600,-0.9155,0.1613,1.085
0.672000,-0.7928,-0.9989,0.2652,1.303
0.678000,-0.9660,-1.0659,0.3958,1.492
0.683000,-1.1396,-1.1713,0.5624,1.728
0.688000,-1.3186,-1.1223,0.7528,1.888
0.695000,-1.4844,-1.1103,0.9715,2.093
0.698000,-1.6518,-1.0018,1.1421,2.244
0.704000,-1.7256,-0.9613,1.1914,2.307
0.708000,-1.7095,-0.8565,1.2401,2.279
0.712000,-1.6889,-0.7687,1.2343,2.229
0.718000,-1.7164,-0.7004,1.1955,2.206
0.724000,-1.7198,-0.6705,1.1522,2.176
0.732000,-1.7040,-0.6598,1.0254,2.095
0.733000,-1.7575,-0.6417,0.9369,2.093
0.739000,-1.8588,-0.5902,0.8799,2.139
0.746000,-1.9408,-0.5627,0.8399,2.188
0.748000,-2.0089,-0.5663,0.7403,2.215
0.754000,-2.0342,-0.5795,0.7174,2.233
0.758000,-2.0504,-0.5303,0.7067,2.233
0.764000,-2.0696,-0.5217,0.6789,2.240
0.769000,-2.0127,-0.4937,0.7157,2.192
0.773000,-1.9946,-0.4920,0.7595,2.190
0.779000,-1.9772,-0.3895,0.8580,2.190
0.783000,-1.8672,-0.3659,0.9443,2.124
0.790000,-1.7793,-0.3470,1.0279,2.084
0.796000,-1.6990,-0.3063,1.0634,2.028
0.799000,-1.5929,-0.2728,1.1274,1.970
0.805000,-1.4705,-0.2726,1.1602,1.893
0.810000,-1.3410,-0.2530,1.1830,1.806
0.815000,-1.2380,-0.2450,1.1047,1.677
0.820000,-1.1228,-0.2415,1.0789,1.576
0.825000,-1.0075,-0.2759,1.0792,1.502
0.830000,-0.9494,-0.2765,0.9975,1.405
0.835000,-0.8622,-0.2623,0.8892,1.266
0.840000,-0.8322,-0.3005,0.8812,1.249
0.846000,-0.8068,-0.3360,0.8201,1.198
0.850000,-0.7763,-0.3759,0.6464,1.078
0.855000,-0.7216,-0.4658,0.5013,0.994
