time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003000,0.1409,0.0885,0.1584,0.230
0.004000,0.2265,0.1256,0.1346,0.292
0.010000,0.2357,0.1338,0.0945,0.287
0.014000,0.1907,0.1017,-0.0049,0.216
0.017000,0.1653,0.0603,-0.1251,0.216
0.023000,0.1665,0.0360,-0.2425,0.296
0.027000,0.1846,0.0405,-0.3142,0.367
0.032000,0.2076,0.0640,-0.3193,0.386
0.037000,0.2211,0.0778,-0.2913,0.374
0.041000,0.2442,0.0582,-0.2232,0.336
0.047000,0.2579,0.0412,-0.1128,0.285
0.051000,0.2242,0.0289,0.0089,0.226
0.056000,0.1529,0.0120,0.0968,0.181
0.062000,0.0774,-0.0025,0.1249,0.147
0.068000,0.0285,-0.0097,0.0863,0.091
0.070000,-0.0035,-0.0050,-0.0018,0.006
0.074000,-0.0142,-0.0075,-0.0797,0.081
0.080000,-0.0108,-0.0098,-0.1263,0.127
0.085000,-0.0051,-0.0122,-0.1301,0.131
0.090000,0.0171,-0.0120,-0.1245,0.126
0.095000,0.0582,0.0000,-0.1430,0.154
0.100000,0.1183,0.0025,-0.1808,0.216
0.104000,0.1830,0.0003,-0.2164,0.283
0.110000,0.2237,-0.0089,-0.2285,0.320
0.114000,0.2407,-0.0085,-0.2100,0.320
0.120000,0.2293,0.0014,-0.1537,0.276
0.124000,0.1779,-0.0149,-0.0837,0.197
0.128000,0.1103,-0.0382,-0.0332,0.121
0.133000,0.0623,-0.0424,0.0076,0.076
0.139000,0.0382,-0.0465,0.0505,0.079
0.144000,0.0214,-0.0411,0.0910,0.102
0.148000,0.0117,-0.0359,0.1339,0.139
0.153000,-0.0051,-0.0355,0.1649,0.169
0.157000,-0.0194,-0.0446,0.1747,0.181
0.162000,-0.0266,-0.0466,0.1656,0.174
0.167000,-0.0387,-0.0463,0.1450,0.157
0.172000,-0.0483,-0.0578,0.1273,0.148
0.178000,-0.0366,-0.0574,0.0885,0.112
0.183000,-0.0204,-0.0405,0.0312,0.055
0.186000,-0.0139,-0.0355,-0.0112,0.040
0.191000,-0.0124,-0.0235,-0.0390,0.047
0.196000,-0.0397,-0.0092,-0.0499,0.064
0.201000,-0.0740,-0.0045,-0.0631,0.097
0.205000,-0.0773,-0.0070,-0.0646,0.101
0.210000,-0.0402,-0.0094,-0.0590,0.072
0.216000,0.0156,0.0049,-0.0489,0.052
0.220000,0.0544,0.0191,-0.0340,0.067
0.225000,0.0714,0.0236,-0.0336,0.082
0.230000,0.0644,0.0423,-0.0379,0.086
0.236000,0.0407,0.0538,-0.0517,0.085
0.240000,0.0147,0.0367,-0.0988,0.106
0.245000,-0.0161,0.0199,-0.1577,0.160
0.249000,-0.0373,0.0174,-0.1903,0.195
0.255000,-0.0325,0.0293,-0.1920,0.197
0.261000,-0.0090,0.0459,-0.1774,0.184
0.264000,0.0094,0.0530,-0.1347,0.145
0.270000,0.0133,0.0505,-0.0903,0.104
0.274000,0.0313,0.0504,-0.0557,0.081
0.278000,0.0516,0.0575,-0.0192,0.080
0.283000,0.0789,0.0621,0.0123,0.101
0.289000,0.1181,0.0619,0.0460,0.141
0.300000,0.1264,0.0498,0.0866,0.161
0.300000,0.1230,0.0259,0.1391,0.187
0.304000,0.1224,0.0069,0.1891,0.225
0.306000,0.1174,0.0045,0.1938,0.227
0.314000,0.1152,-0.0026,0.1442,0.185
0.318000,0.1156,-0.0191,0.0998,0.154
0.322000,0.1045,-0.0309,0.0846,0.138
0.327000,0.0771,-0.0378,0.0841,0.120
