time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003000,-0.1932,-0.0049,-1.2599,1.275
0.004000,-0.1042,-0.0352,-0.6219,0.632
0.004000,-0.0707,-0.0294,0.0550,0.094
0.009000,-0.0375,-0.0356,0.6510,0.653
0.015000,-0.0188,-0.0448,1.0837,1.085
0.020000,0.0572,-0.0380,1.2625,1.264
0.024000,0.0997,-0.0559,1.2345,1.240
0.029000,0.1113,-0.0625,1.0174,1.025
0.035000,0.1065,-0.0555,0.6210,0.633
0.039000,0.0516,-0.0346,0.2691,0.276
0.051000,0.0377,-0.0187,-0.1400,0.146
0.052000,-0.0141,-0.0291,-0.3829,0.384
0.056000,-0.0085,-0.0629,-0.6234,0.627
0.061000,-0.0340,-0.0772,-0.7069,0.712
0.066000,-0.1120,-0.0862,-0.6415,0.657
0.070000,-0.0465,-0.0806,-0.5211,0.529
0.080000,-0.0219,-0.0818,-0.2883,0.300
0.083000,0.0123,-0.0756,-0.0242,0.080
0.085000,-0.0154,-0.0671,0.1049,0.125
0.095000,-0.0764,-0.0944,0.2622,0.289
0.096000,-0.0510,-0.1145,0.3288,0.352
0.102000,-0.0425,-0.0895,0.3747,0.388
0.107000,-0.0721,-0.0624,0.3305,0.344
0.111000,-0.0994,-0.0689,0.2325,0.262
0.116000,-0.0766,-0.0398,0.1618,0.183
0.122000,-0.0562,-0.0133,0.1178,0.131
0.125000,-0.0479,0.0059,0.0431,0.065
0.131000,-0.0613,0.0012,0.0067,0.062
0.136000,-0.0366,0.0157,-0.0034,0.040
0.142000,-0.0479,-0.0056,0.0125,0.050
0.146000,-0.0233,0.0161,0.0566,0.063
0.152000,-0.0083,-0.0004,0.1102,0.111
0.159000,0.0114,0.0189,0.1087,0.111
0.162000,0.0169,0.0357,0.1359,0.142
0.167000,-0.0110,-0.0167,0.1657,0.167
0.172000,-0.0222,0.0168,0.2028,0.205
0.176000,-0.0642,0.0025,0.1565,0.169
0.183000,-0.0893,-0.0572,0.1371,0.173
0.187000,-0.0976,-0.0474,0.0846,0.138
0.196000,-0.1298,-0.0450,0.0635,0.151
0.197000,-0.1455,-0.0473,0.0378,0.158
0.203000,-0.1208,-0.0498,0.0507,0.140
0.209000,-0.0987,-0.0331,0.0421,0.112
0.212000,-0.0839,-0.0213,0.0122,0.087
0.218000,-0.0549,-0.0572,-0.0654,0.103
0.225000,-0.0903,-0.0764,-0.1782,0.214
0.227000,-0.0970,-0.0788,-0.2617,0.290
0.233000,-0.0942,-0.1050,-0.2783,0.312
0.237000,-0.1726,-0.0331,-0.1881,0.257
0.245000,-0.1552,-0.0044,-0.1082,0.189
0.247000,-0.1550,-0.0235,0.0114,0.157
0.254000,-0.1215,-0.0186,0.1209,0.172
0.259000,-0.0883,-0.0901,0.1750,0.216
0.262000,-0.0622,-0.1184,0.1962,0.237
0.268000,-0.0528,-0.0705,0.2298,0.246
0.277000,-0.0530,-0.0944,0.1613,0.194
0.278000,-0.0839,-0.1279,0.0555,0.163
0.284000,-0.1264,-0.0898,-0.0615,0.167
0.288000,-0.1760,-0.0733,-0.1207,0.226
0.300000,-0.1750,-0.0281,-0.1060,0.207
0.301000,-0.2053,-0.0189,-0.0845,0.223
0.305000,-0.2499,0.0118,-0.0134,0.251
0.309000,-0.2968,0.0496,0.0643,0.308
0.313000,-0.2052,0.0730,0.1059,0.242
0.318000,-0.1500,0.0652,0.1594,0.228
0.325000,-0.0497,0.0383,0.1795,0.190
0.328000,0.0314,0.0329,0.1402,0.147
0.333000,0.0121,0.0562,0.1251,0.138
0.338000,0.0240,0.0650,0.0313,0.076
0.344000,-0.0020,0.0548,-0.0407,0.068
0.349000,-0.0898,0.0303,-0.0529,0.109
0.353000,-0.1604,0.0227,-0.0486,0.169
0.358000,-0.2164,-0.0159,-0.0542,0.224
0.364000,-0.2653,-0.0375,-0.0217,0.269
0.369000,-0.3021,-0.0639,0.0298,0.310
0.376000,-0.3079,-0.0855,0.0694,0.327
0.379000,-0.3019,-0.0998,0.0733,0.326
0.385000,-0.2769,-0.1143,0.0991,0.316
0.389000,-0.2785,-0.1144,0.0751,0.310
0.396000,-0.2730,-0.1075,0.0276,0.295
0.400000,-0.2459,-0.1435,0.0234,0.286
0.406000,-0.2332,-0.1270,-0.0260,0.267
0.411000,-0.2088,-0.1510,-0.0634,0.265
0.416000,-0.2003,-0.1670,-0.0481,0.265
0.419000,-0.2156,-0.1592,-0.0044,0.268
0.426000,-0.2141,-0.1799,0.0199,0.280
0.430000,-0.2316,-0.1861,0.0415,0.300
0.435000,-0.2347,-0.1947,0.0747,0.314
0.440000,-0.2259,-0.2198,0.0483,0.319
0.446000,-0.2076,-0.2423,0.0506,0.323
0.451000,-0.1752,-0.2266,0.0789,0.297
0.456000,-0.1384,-0.2467,0.0358,0.285
0.461000,-0.1968,-0.2309,0.0427,0.306
0.468000,-0.2023,-0.2271,0.0327,0.306
0.471000,-0.2146,-0.2137,0.0322,0.305
0.480000,-0.2507,-0.2053,0.0364,0.326
0.481000,-0.2414,-0.1850,0.0500,0.308
0.487000,-0.2320,-0.1696,0.0991,0.304
0.497000,-0.1847,-0.1568,0.0696,0.252
0.498000,-0.1638,-0.1275,0.0762,0.221
0.503000,-0.2048,-0.1031,0.1231,0.260
0.507000,-0.1953,-0.0600,0.0865,0.222
0.511000,-0.2285,-0.0362,0.1117,0.257
0.517000,-0.2728,-0.0410,0.1175,0.300
0.521000,-0.3072,-0.0623,0.1182,0.335
0.526000,-0.3294,-0.0786,0.1780,0.383
0.531000,-0.3204,-0.0662,0.2179,0.393
0.536000,-0.3326,-0.0229,0.2402,0.411
0.545000,-0.3563,0.0012,0.2738,0.449
0.546000,-0.3463,0.0418,0.2736,0.443
0.551000,-0.3431,0.0679,0.2300,0.419
0.556000,-0.3587,0.0749,0.2483,0.443
0.561000,-0.2956,0.0510,0.2234,0.374
