time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.004,0.3549,-0.4554,-0.5747,0.815
0.004,0.3148,-0.4003,-0.6708,0.842
0.009,0.3154,-0.3234,-0.6801,0.816
0.01,0.3085,-0.2343,-0.6958,0.796
0.016,0.2771,-0.1332,-0.7057,0.77
0.039,0.2543,-0.0224,-0.6379,0.687
0.039,0.2498,0.1004,-0.5065,0.574
0.04,0.2681,0.2566,-0.3829,0.533
0.04,0.3044,0.4198,-0.3197,0.609
0.04,0.3206,0.5613,-0.2327,0.687
0.053,0.3238,0.6978,-0.1048,0.776
0.053,0.3474,0.8148,-0.0219,0.886
0.066,0.3386,0.8957,0.0426,0.958
0.067,0.2857,0.9547,0.0889,1
0.067,0.2123,1.0087,0.1171,1.037
0.068,0.1113,1.0479,0.1872,1.07
0.073,-0.0245,1.0797,0.316,1.125
0.079,-0.1953,1.1303,0.5058,1.254
0.084,-0.3603,1.1853,0.7092,1.427
0.089,-0.5173,1.2589,0.8832,1.622
0.093,-0.6925,1.3965,0.9995,1.852
0.098,-0.8572,1.6054,1.0268,2.09
0.11,-0.9347,1.7969,0.9629,2.243
0.11,-0.9462,1.8491,0.8601,2.248
0.113,-0.9826,1.7338,0.7513,2.13
0.118,-1.0415,1.511,0.5834,1.926
0.123,-1.0751,1.3005,0.2836,1.711
0.128,-1.0789,1.1742,-0.1608,1.603
0.132,-1.0288,1.1394,-0.638,1.662
0.144,-0.8935,1.1912,-1.0412,1.817
0.144,-0.7493,1.3391,-1.3972,2.075
0.147,-0.6534,1.5808,-1.7594,2.454
0.152,-0.5671,1.823,-2.0322,2.788
0.159,-0.4401,1.9842,-2.1129,2.932
0.161,-0.3007,2.0766,-1.9895,2.891
0.166,-0.192,2.136,-1.6883,2.729
0.176,-0.0705,2.2126,-1.3019,2.568
0.176,0.0664,2.3063,-0.8778,2.469
0.181,0.1474,2.3643,-0.3388,2.393
0.185,0.175,2.4082,0.294,2.432
0.194,0.1594,2.4714,0.863,2.623
0.195,0.0865,2.5179,1.2992,2.835
0.201,-0.0075,2.5143,1.6316,2.997
0.212,-0.1417,2.4581,1.9612,3.148
0.213,-0.3594,2.3397,2.3342,3.324
