time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.007000,0.0023,0.0250,0.1434,0.146
0.008000,0.0465,0.0983,0.1423,0.179
0.010000,0.0288,0.1138,0.1201,0.168
0.014000,0.0637,0.0934,0.0221,0.115
0.020000,0.0462,0.0569,-0.0587,0.094
0.023000,0.0573,0.0398,0.0296,0.076
0.029000,0.1041,0.0228,0.0769,0.131
0.035000,0.0936,0.0155,0.0477,0.106
0.040000,0.0455,-0.0154,0.0425,0.064
0.049000,0.0360,-0.0365,0.0111,0.052
0.050000,-0.0472,-0.0434,0.0182,0.067
0.055000,-0.0919,-0.0549,0.0489,0.118
0.061000,-0.0674,-0.0520,0.0176,0.087
0.065000,-0.0361,-0.0682,0.0530,0.094
0.070000,-0.0073,-0.0962,0.0146,0.098
0.075000,-0.0168,-0.0812,-0.0258,0.087
0.085000,0.0188,-0.0686,-0.0303,0.077
0.086000,0.0519,-0.0277,0.0008,0.059
0.090000,0.0826,-0.0037,-0.0372,0.091
0.096000,0.0560,-0.0060,-0.0085,0.057
0.101000,-0.0298,0.0012,0.0225,0.037
0.109000,-0.0603,0.0227,-0.0039,0.065
0.123000,-0.0763,0.0416,0.0032,0.087
0.124000,-0.0852,0.0530,0.0151,0.101
0.124000,-0.0869,0.0050,-0.0134,0.088
0.125000,-0.0696,-0.0095,-0.0393,0.080
0.131000,0.0044,-0.0285,-0.0673,0.073
0.136000,0.0252,-0.0118,-0.0951,0.099
0.151000,0.0509,-0.0141,-0.0825,0.098
0.152000,-0.0255,0.0052,0.0131,0.029
0.152000,-0.0395,0.0433,0.0722,0.093
0.156000,-0.0106,0.0264,0.0620,0.068
0.168000,-0.0485,0.0143,0.0400,0.065
0.168000,-0.0292,0.0190,0.0658,0.074
0.172000,-0.0315,0.0045,0.0606,0.068
0.184000,-0.0097,-0.0050,0.1218,0.122
0.184000,0.0024,0.0045,0.0710,0.071
0.187000,-0.0092,-0.0004,0.1014,0.102
0.221000,-0.0302,-0.0243,0.0841,0.093
0.222000,-0.0225,-0.0125,0.0267,0.037
0.222000,0.0113,-0.0389,-0.0063,0.041
0.222000,0.0113,-0.0508,-0.0059,0.052
0.223000,0.0707,-0.0673,-0.1005,0.140
0.223000,0.1105,-0.0740,-0.0567,0.145
0.223000,0.0670,-0.0618,0.0130,0.092
0.228000,0.0003,-0.0426,0.0394,0.058
0.232000,0.0053,-0.0284,0.0063,0.030
0.237000,-0.0729,-0.0286,0.0020,0.078
0.243000,-0.0697,-0.0052,0.0050,0.070
0.247000,-0.0929,0.0060,-0.0299,0.098
0.252000,-0.1137,-0.0090,-0.0027,0.114
0.257000,-0.0917,0.0094,0.0194,0.094
0.264000,-0.0459,0.0277,0.0200,0.057
0.268000,-0.0315,0.0053,0.0230,0.039
0.273000,-0.0554,-0.0192,0.0379,0.070
0.279000,-0.0552,-0.0057,0.0314,0.064
