time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003000,-1.0022,-0.0275,1.0614,1.460
0.003000,-0.7493,0.0271,0.3922,0.846
0.004000,-0.4637,0.0862,-0.2009,0.513
0.010000,-0.2267,0.1100,-0.7091,0.753
0.017000,-0.0625,0.1112,-1.1449,1.152
0.018000,0.0505,0.1190,-1.4994,1.505
0.023000,0.1627,0.1267,-1.7179,1.730
0.029000,0.2772,0.1511,-1.8151,1.842
0.033000,0.3942,0.1898,-1.8677,1.918
0.040000,0.4994,0.1854,-1.8948,1.968
0.042000,0.5475,0.1519,-1.8508,1.936
0.050000,0.5412,0.1131,-1.7572,1.842
0.053000,0.5307,0.0613,-1.6472,1.732
0.058000,0.5282,0.0081,-1.4631,1.556
0.062000,0.5079,-0.0304,-1.2068,1.310
0.067000,0.4557,-0.0716,-0.9211,1.030
0.071000,0.3715,-0.1257,-0.6390,0.750
0.077000,0.2697,-0.1673,-0.3384,0.464
0.081000,0.1813,-0.1851,0.0243,0.260
0.088000,0.1233,-0.1777,0.4042,0.458
0.091000,0.0645,-0.1530,0.7707,0.788
0.096000,-0.0146,-0.1595,1.0859,1.098
0.102000,-0.1097,-0.1859,1.3360,1.353
0.106000,-0.2116,-0.2112,1.5406,1.569
0.110000,-0.2920,-0.1999,1.7046,1.741
0.119000,-0.3393,-0.1642,1.8044,1.843
0.121000,-0.3682,-0.1402,1.8233,1.865
0.126000,-0.3789,-0.1178,1.7877,1.831
0.136000,-0.3858,-0.1041,1.6662,1.713
0.136000,-0.3793,-0.0794,1.4970,1.546
0.140000,-0.3498,-0.0408,1.2940,1.341
0.147000,-0.3259,-0.0163,1.0619,1.111
0.150000,-0.3122,-0.0077,0.8120,0.870
0.155000,-0.2802,0.0000,0.5392,0.608
0.159000,-0.2271,0.0027,0.2766,0.358
0.164000,-0.1363,0.0154,0.0213,0.139
0.169000,-0.0246,0.0266,-0.2438,0.246
0.174000,0.0793,0.0367,-0.4711,0.479
0.179000,0.2044,0.0316,-0.6131,0.647
0.183000,0.3392,0.0213,-0.7084,0.786
0.188000,0.4669,0.0249,-0.7978,0.925
0.192000,0.5735,0.0210,-0.8670,1.040
