time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.007000,0.1378,0.0394,0.0965,0.173
0.007000,0.1107,-0.0222,0.0807,0.139
0.007000,0.0696,-0.0241,0.0819,0.110
0.017000,0.0643,-0.0307,0.0475,0.086
0.017000,0.0446,-0.0040,0.0037,0.045
0.020000,0.0488,0.0249,0.0411,0.069
0.027000,0.0198,0.0060,0.0497,0.054
0.030000,-0.0303,0.0183,0.0724,0.081
0.034000,-0.0514,0.0352,0.0545,0.083
0.041000,-0.0487,0.0161,0.0869,0.101
0.050000,-0.0176,-0.0171,0.0692,0.073
0.051000,-0.0677,0.0118,0.0420,0.081
0.056000,-0.0294,-0.0071,0.0224,0.038
0.059000,-0.0268,-0.0069,0.0385,0.047
0.067000,-0.0267,-0.0089,0.1233,0.126
0.071000,-0.0075,-0.0229,0.0554,0.060
0.077000,-0.0288,-0.0321,0.0547,0.070
0.080000,-0.0381,-0.0055,0.0515,0.064
0.087000,-0.0354,-0.0361,0.0318,0.060
0.091000,-0.0208,-0.0524,0.0124,0.058
0.096000,0.0126,-0.0210,-0.0258,0.036
0.101000,-0.0019,-0.0493,-0.0661,0.082
0.107000,-0.0021,-0.0392,-0.0301,0.050
0.113000,0.0024,-0.0006,0.0694,0.069
0.118000,0.0211,-0.0169,0.0730,0.078
0.120000,0.0112,-0.0522,0.1362,0.146
0.127000,0.0113,-0.0447,0.0284,0.054
0.131000,-0.0786,-0.0446,-0.0428,0.100
0.137000,-0.1157,-0.0825,-0.0609,0.155
0.143000,-0.0790,-0.0513,-0.0266,0.098
0.148000,-0.0190,-0.0133,0.0432,0.049
0.152000,0.0170,-0.0210,-0.0129,0.030
0.157000,-0.0136,-0.0074,-0.0257,0.030
0.161000,-0.0203,-0.0390,-0.1739,0.179
0.169000,-0.0081,-0.0415,-0.1314,0.138
0.172000,-0.0199,-0.0747,0.0650,0.101
0.177000,0.0182,-0.0863,0.1268,0.154
0.182000,0.0585,-0.0741,0.1525,0.179
0.188000,0.0367,-0.0384,0.1403,0.150
0.194000,0.0080,-0.0363,0.0760,0.085
0.197000,-0.0301,0.0181,0.0478,0.059
0.202000,-0.0181,0.0411,0.0246,0.051
0.208000,-0.0202,0.0330,0.0800,0.089
0.213000,0.0158,0.0439,0.0448,0.065
0.219000,0.0397,0.0262,0.0386,0.061
0.222000,0.0234,0.0206,0.0608,0.068
0.228000,-0.0117,0.0244,0.0473,0.054
0.232000,-0.0394,-0.0312,0.0529,0.073
0.238000,-0.0456,-0.0198,0.0086,0.050
0.244000,-0.0065,-0.0275,-0.0139,0.031
0.249000,0.0656,-0.0280,0.0136,0.073
0.253000,0.1062,-0.0214,0.0124,0.109
0.258000,0.1394,0.0184,0.0017,0.141
0.263000,0.1085,0.0033,-0.0065,0.109
0.270000,0.0897,-0.0094,-0.0075,0.091
0.274000,0.0807,0.0137,-0.0703,0.108
0.278000,0.0337,0.0177,-0.0115,0.040
0.283000,-0.0035,-0.0093,0.0159,0.019
0.291000,0.0141,-0.0075,-0.0187,0.025
0.302000,0.0220,-0.0106,-0.0101,0.026
0.303000,0.0156,-0.0017,0.0269,0.031
0.304000,0.0329,0.0094,-0.0338,0.048
0.311000,0.0405,0.0252,-0.0631,0.079
0.314000,0.0434,0.0242,-0.0113,0.051
0.319000,0.0675,0.0304,-0.0218,0.077
0.325000,0.0343,0.0341,-0.0037,0.049
0.330000,0.0561,0.0189,0.0024,0.059
0.334000,0.0445,0.0322,-0.0320,0.064
0.339000,0.0662,-0.0020,-0.0947,0.116
0.345000,0.0425,-0.0026,-0.0524,0.068
0.349000,0.0238,-0.0127,0.0298,0.040
0.355000,-0.0066,-0.0203,-0.0050,0.022
0.359000,-0.0012,-0.0136,-0.0302,0.033
0.365000,0.0113,-0.0211,0.0447,0.051
0.372000,-0.0191,-0.0238,0.0048,0.031
0.375000,-0.0256,-0.0051,0.0008,0.026
0.380000,-0.0060,-0.0102,0.0181,0.022
0.385000,0.0347,-0.0390,0.0305,0.060
0.391000,0.0537,-0.0129,-0.0641,0.085
0.397000,0.0748,-0.0298,-0.0369,0.089
0.400000,0.0790,-0.0346,-0.0384,0.094
0.405000,0.0713,-0.0014,-0.0186,0.074
0.411000,0.0805,0.0245,-0.0251,0.088
0.415000,0.0373,0.0549,-0.0314,0.073
0.421000,-0.0197,0.0352,0.0167,0.044
0.426000,-0.0050,0.0345,0.0577,0.067
0.431000,-0.0567,0.0575,0.0199,0.083
0.435000,-0.0320,0.0281,-0.0507,0.066
0.441000,-0.0505,0.0086,-0.0570,0.077
0.446000,0.0023,0.0131,0.0198,0.024
0.452000,-0.0096,-0.0061,0.0197,0.023
0.458000,-0.0237,-0.0085,-0.0279,0.038
0.460000,-0.0923,0.0177,0.0176,0.096
0.466000,-0.0985,0.0127,0.0129,0.100
0.472000,-0.1000,0.0125,0.0651,0.120
0.478000,-0.0515,0.0171,0.0148,0.056
0.481000,-0.0438,-0.0163,0.0552,0.072
0.486000,-0.0053,-0.0019,0.0808,0.081
0.495000,0.0045,-0.0185,-0.0149,0.024
0.496000,0.0167,-0.0207,0.0185,0.032
0.501000,-0.0138,0.0104,0.0372,0.041
0.506000,-0.0323,0.0247,0.0510,0.065
0.520000,-0.0362,0.0223,0.0432,0.061
0.521000,-0.0306,0.0103,0.0618,0.070
0.522000,-0.0652,-0.0063,0.0683,0.095
