time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.004000,0.0592,-0.0085,0.1077,0.123
0.005000,0.0482,0.0939,0.0991,0.145
0.015000,-0.0886,0.0583,0.0213,0.108
0.025000,-0.1234,0.0403,-0.0139,0.131
0.034000,-0.0533,0.0471,0.0258,0.076
0.045000,-0.0144,0.0239,0.0190,0.034
0.054000,-0.0530,-0.0101,-0.0129,0.055
0.065000,-0.0486,-0.0034,-0.0330,0.059
0.079000,-0.0456,0.0048,-0.0080,0.047
0.085000,-0.0372,0.0050,0.0490,0.062
0.095000,-0.0530,0.0255,0.0581,0.083
0.106000,-0.0292,0.0662,0.0339,0.080
0.115000,-0.0354,0.0591,0.0539,0.087
0.125000,-0.0263,0.0449,0.1050,0.117
0.135000,-0.0127,0.0403,0.1692,0.174
0.145000,-0.0229,0.0248,0.1822,0.185
0.155000,-0.0471,0.0105,0.1951,0.201
0.166000,-0.0150,0.0034,0.2068,0.207
0.182000,0.0036,-0.0039,0.2164,0.216
0.185000,0.0076,-0.0339,0.2585,0.261
0.195000,0.0092,-0.0639,0.2551,0.263
0.205000,0.0323,-0.1275,0.2709,0.301
0.215000,0.1018,-0.1264,0.2197,0.273
0.225000,0.1267,-0.1612,0.1758,0.270
0.235000,0.1251,-0.2115,0.1797,0.304
0.245000,0.1671,-0.1829,0.1613,0.296
0.273000,0.1275,-0.2020,0.1677,0.292
0.274000,0.1124,-0.2209,0.1812,0.307
0.275000,0.1631,-0.1800,0.2131,0.323
0.285000,0.1688,-0.2237,0.2637,0.385
0.304000,0.2128,-0.2063,0.2282,0.374
0.306000,0.2407,-0.1956,0.2343,0.389
0.316000,0.2675,-0.2155,0.2552,0.428
0.328000,0.3227,-0.2061,0.2660,0.466
0.335000,0.3525,-0.1677,0.2420,0.459
0.345000,0.3468,-0.1529,0.2476,0.453
0.355000,0.3902,-0.1307,0.2652,0.490
0.372000,0.4231,-0.1117,0.2826,0.521
0.376000,0.4078,-0.0942,0.2682,0.497
0.385000,0.3810,-0.1522,0.2580,0.485
0.395000,0.3908,-0.1456,0.2252,0.474
0.404000,0.3559,-0.2214,0.2198,0.473
0.415000,0.3724,-0.2181,0.1138,0.446
0.425000,0.3441,-0.2626,0.1562,0.460
0.435000,0.3690,-0.2723,0.1295,0.477
0.445000,0.3695,-0.2710,0.1529,0.483
0.455000,0.3748,-0.2683,0.1807,0.495
0.466000,0.3516,-0.2415,0.2069,0.474
0.484000,0.3155,-0.2469,0.2043,0.450
0.486000,0.2967,-0.2323,0.1231,0.396
0.497000,0.3143,-0.1808,0.0350,0.364
0.505000,0.3188,-0.1292,0.0868,0.355
0.515000,0.3020,-0.0192,0.1343,0.331
0.526000,0.2872,-0.0177,0.0319,0.290
0.535000,0.2063,0.0037,0.1409,0.250
0.544000,0.1477,-0.0397,0.0056,0.153
0.554000,0.1340,-0.0738,-0.0969,0.181
0.565000,0.1343,-0.0779,0.0410,0.161
0.583000,0.1228,-0.0609,0.0979,0.168
0.586000,0.1191,-0.0364,0.0359,0.130
0.595000,0.0908,-0.0332,0.0500,0.109
0.605000,0.0598,-0.0263,0.1053,0.124
0.615000,0.0499,0.0012,0.1086,0.120
0.626000,0.0658,0.0094,0.0218,0.070
0.635000,0.0572,0.0023,-0.0775,0.096
0.645000,0.0511,0.0100,-0.1261,0.136
0.655000,0.0570,0.0179,-0.1549,0.166
0.665000,0.0415,0.0489,-0.0836,0.105
0.686000,-0.0311,0.0094,-0.0238,0.040
0.688000,-0.0836,0.0072,0.0427,0.094
0.697000,-0.1116,0.0061,0.0828,0.139
0.705000,-0.1319,0.0312,0.0427,0.142
0.715000,-0.1826,0.0499,0.0077,0.189
0.726000,-0.2181,0.0597,-0.0128,0.226
0.735000,-0.2561,0.0609,-0.0212,0.264
0.745000,-0.2668,0.0735,-0.0172,0.277
0.755000,-0.2803,0.0774,-0.0212,0.292
0.764000,-0.3167,0.0796,-0.0642,0.333
0.794000,-0.3780,0.0857,-0.0918,0.398
0.797000,-0.4248,0.0892,-0.0558,0.438
0.799000,-0.4461,0.0906,-0.0378,0.457
0.805000,-0.4790,0.0780,-0.0020,0.485
0.815000,-0.4971,0.1085,0.0003,0.509
0.827000,-0.5196,0.1573,0.0087,0.543
0.835000,-0.5643,0.1919,0.0529,0.598
0.845000,-0.5681,0.2387,0.1224,0.628
0.856000,-0.5574,0.2784,0.1181,0.634
0.871000,-0.5753,0.3040,0.0148,0.651
0.876000,-0.5802,0.3240,-0.0180,0.665
0.896000,-0.5602,0.3209,0.0156,0.646
0.898000,-0.6066,0.2717,-0.0064,0.665
0.904000,-0.6993,0.2049,0.0057,0.729
0.915000,-0.7739,0.1684,0.0955,0.798
0.926000,-0.8131,0.1311,0.2483,0.860
0.935000,-0.8160,0.1629,0.4617,0.952
0.945000,-0.7303,0.2164,0.6540,1.004
0.955000,-0.6020,0.2834,0.8075,1.046
0.967000,-0.5210,0.3288,0.8759,1.071
0.975000,-0.4714,0.3516,0.9645,1.130
0.986000,-0.4200,0.3314,1.0619,1.189
0.997000,-0.3785,0.2894,1.0188,1.125
1.005000,-0.3542,0.2147,0.8534,0.949
1.015000,-0.4486,-0.0334,0.7129,0.843
1.026000,-0.4671,-0.1780,0.7449,0.897
1.034000,-0.4802,-0.3325,0.8110,0.999
1.045000,-0.5103,-0.5043,0.7858,1.064
1.054000,-0.4907,-0.6627,0.6545,1.053
1.068000,-0.4482,-0.8253,0.6122,1.121
1.097000,-0.3920,-0.9776,0.5829,1.204
1.099000,-0.3414,-1.1172,0.5178,1.278
1.101000,-0.2869,-1.2359,0.4412,1.343
1.105000,-0.2749,-1.3123,0.3580,1.388
1.115000,-0.3158,-1.3799,0.3782,1.465
1.126000,-0.3059,-1.3976,0.4450,1.498
1.135000,-0.3395,-1.3395,0.4308,1.447
1.144000,-0.3554,-1.2776,0.4189,1.391
