time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002000,-0.1766,-0.1716,-0.3970,0.467
0.002000,-0.1024,-0.1338,-0.0466,0.175
0.008000,-0.0382,-0.1345,0.0898,0.166
0.012000,0.0064,-0.0640,-0.0074,0.065
0.017000,0.0413,-0.0036,-0.1583,0.164
0.021000,0.0811,-0.0127,-0.1607,0.180
0.034000,0.0496,0.0093,-0.0777,0.093
0.035000,-0.0031,0.0097,0.0069,0.012
0.037000,-0.0004,-0.0041,-0.0111,0.012
0.042000,-0.0287,-0.0085,-0.0193,0.036
0.051000,0.0145,-0.0152,-0.0084,0.023
0.052000,0.0193,0.0066,-0.0258,0.033
0.057000,0.0382,-0.0264,-0.0480,0.067
0.062000,0.0022,-0.0210,-0.0416,0.047
0.068000,-0.0001,-0.0324,0.0004,0.032
0.076000,0.0023,0.0039,0.0231,0.024
0.077000,0.0118,-0.0006,0.0363,0.038
0.083000,-0.0382,0.0164,0.0088,0.043
0.087000,-0.0143,-0.0025,0.0150,0.021
0.093000,-0.0000,-0.0141,-0.0168,0.022
0.098000,0.0116,-0.0089,0.0325,0.036
0.103000,-0.0007,0.0175,0.0077,0.019
0.109000,0.0276,-0.0085,0.0307,0.042
0.113000,0.0271,-0.0106,0.0441,0.053
0.119000,-0.0279,-0.0269,0.0239,0.046
0.126000,-0.0421,-0.0217,0.0349,0.059
0.129000,-0.0015,0.0001,0.0364,0.036
0.134000,-0.0135,0.0312,0.0425,0.054
0.141000,-0.0015,0.0264,0.0343,0.043
0.143000,0.0388,0.0360,0.0142,0.055
0.149000,0.0671,-0.0092,0.0466,0.082
0.154000,0.0526,-0.0065,0.0194,0.056
0.159000,0.0217,-0.0133,-0.0386,0.046
0.165000,0.0221,-0.0272,-0.0249,0.043
0.169000,0.0464,-0.0600,0.0268,0.080
0.184000,0.0111,-0.0831,0.0593,0.103
0.185000,0.0356,-0.0846,0.0511,0.105
0.185000,0.0386,-0.0838,0.0716,0.117
0.191000,0.0155,-0.1400,0.0611,0.154
0.194000,0.0378,-0.1625,0.0863,0.188
0.199000,0.0672,-0.1302,0.0995,0.177
0.205000,0.0678,-0.1385,0.1388,0.207
0.213000,0.0662,-0.1801,0.1635,0.252
0.215000,0.0670,-0.1785,0.1905,0.270
0.220000,0.0939,-0.1509,0.2007,0.268
0.225000,0.0992,-0.1331,0.1967,0.257
0.229000,0.1047,-0.1439,0.2069,0.273
0.236000,0.0769,-0.1095,0.2053,0.245
0.241000,0.0542,-0.1017,0.2516,0.277
0.245000,0.0435,-0.0845,0.2430,0.261
0.251000,0.0519,-0.0841,0.2275,0.248
0.255000,0.0363,-0.0386,0.2383,0.244
0.259000,0.0231,-0.0362,0.2585,0.262
0.266000,0.0646,-0.0528,0.2738,0.286
0.271000,0.0676,-0.0718,0.2845,0.301
0.282000,0.0800,-0.0621,0.3119,0.328
0.283000,0.1183,-0.0597,0.3272,0.353
0.285000,0.1302,-0.1001,0.3331,0.371
0.301000,0.1157,-0.0903,0.3414,0.372
0.302000,0.1346,-0.0997,0.3355,0.375
0.302000,0.1414,-0.1565,0.3276,0.390
0.316000,0.1267,-0.1892,0.3081,0.383
0.317000,0.1477,-0.2265,0.3316,0.428
0.318000,0.1184,-0.2397,0.3361,0.429
0.320000,0.1061,-0.1935,0.3169,0.386
0.325000,0.1199,-0.2000,0.2792,0.364
0.331000,0.1049,-0.1709,0.3014,0.362
0.337000,0.1161,-0.1635,0.2904,0.353
0.347000,0.1010,-0.1634,0.3369,0.388
0.348000,0.0837,-0.1562,0.3166,0.363
0.351000,0.0996,-0.1373,0.3537,0.392
0.358000,0.0940,-0.1329,0.3409,0.378
0.361000,0.1074,-0.1737,0.3356,0.393
0.366000,0.1064,-0.1881,0.3114,0.379
0.374000,0.1122,-0.1954,0.3806,0.442
0.377000,0.1132,-0.2360,0.3735,0.456
0.381000,0.1166,-0.2551,0.3551,0.453
0.387000,0.1105,-0.3003,0.2803,0.425
0.392000,0.0880,-0.3240,0.1521,0.369
0.398000,0.0755,-0.3358,-0.1192,0.364
0.402000,-0.0458,-0.3477,-0.1121,0.368
0.408000,-0.1758,-0.3193,0.1353,0.389
0.411000,-0.1010,-0.3101,0.1932,0.379
0.418000,0.0368,-0.3582,0.1251,0.381
0.428000,0.0735,-0.3679,0.1813,0.417
0.436000,0.0981,-0.3420,0.4110,0.544
0.436000,0.0919,-0.2999,0.4350,0.536
0.437000,0.0432,-0.3295,0.4020,0.522
0.444000,-0.0051,-0.3636,0.5238,0.638
0.447000,-0.0508,-0.2763,0.3237,0.429
0.453000,-0.1601,-0.2277,0.2015,0.344
0.458000,-0.2188,-0.2793,0.3275,0.483
0.462000,-0.2103,-0.2950,0.4696,0.593
0.467000,-0.1853,-0.3036,0.4256,0.555
0.476000,-0.2057,-0.3574,0.2899,0.504
0.478000,-0.2494,-0.4180,0.1486,0.509
0.483000,-0.1904,-0.4542,0.2076,0.534
0.488000,-0.2103,-0.5447,0.1949,0.616
0.493000,-0.2368,-0.6035,0.2108,0.682
0.499000,-0.2296,-0.6144,0.2408,0.699
0.504000,-0.2435,-0.5896,0.2684,0.692
0.508000,-0.2855,-0.5532,0.2127,0.658
0.514000,-0.3390,-0.4933,0.2029,0.632
0.520000,-0.3252,-0.3557,0.2527,0.544
0.525000,-0.3682,-0.2809,0.3070,0.556
0.528000,-0.4509,-0.1428,0.3517,0.589
0.533000,-0.4757,0.0108,0.3818,0.610
0.542000,-0.5168,0.1228,0.4213,0.678
0.545000,-0.6025,0.2765,0.5177,0.841
0.548000,-0.5994,0.3767,0.5326,0.886
0.554000,-0.6295,0.4570,0.5311,0.942
0.564000,-0.6475,0.5888,0.5297,1.023
0.565000,-0.6297,0.6959,0.5400,1.083
0.568000,-0.6478,0.6833,0.5075,1.070
0.583000,-0.5991,0.6994,0.5227,1.059
0.585000,-0.5650,0.7011,0.5426,1.051
0.585000,-0.5737,0.7004,0.5431,1.056
0.590000,-0.6038,0.6666,0.5982,1.080
0.594000,-0.5859,0.6260,0.6551,1.079
0.599000,-0.5706,0.5501,0.6854,1.048
0.604000,-0.5675,0.4915,0.6629,1.002
0.609000,-0.5360,0.4478,0.6617,0.962
0.616000,-0.4906,0.4118,0.6981,0.947
0.621000,-0.4433,0.3453,0.6908,0.890
0.626000,-0.4202,0.3175,0.7071,0.882
0.629000,-0.4495,0.2307,0.6942,0.859
0.635000,-0.4122,0.1329,0.6691,0.797
0.643000,-0.3943,0.0693,0.6626,0.774
0.645000,-0.3505,0.0326,0.6198,0.713
0.650000,-0.3167,0.0107,0.6123,0.689
0.655000,-0.3450,-0.0157,0.5687,0.665
0.661000,-0.3305,-0.0678,0.4609,0.571
0.666000,-0.2664,-0.0766,0.3795,0.470
0.672000,-0.2410,-0.0756,0.3053,0.396
0.675000,-0.1732,-0.0151,0.3855,0.423
0.680000,-0.1395,0.0212,0.4982,0.518
0.685000,-0.1323,-0.0022,0.4271,0.447
0.697000,-0.0779,-0.0729,0.3827,0.397
0.697000,-0.0785,-0.0789,0.4266,0.441
0.699000,-0.0936,-0.1419,0.4346,0.467
0.705000,-0.1086,-0.1094,0.2910,0.329
0.713000,-0.0978,-0.0511,0.3032,0.323
0.716000,-0.0613,-0.0860,0.3699,0.385
0.721000,0.0343,-0.1658,0.4151,0.448
0.725000,0.0056,-0.2737,0.4558,0.532
0.731000,-0.0702,-0.3119,0.4280,0.534
0.736000,-0.1168,-0.3690,0.3845,0.546
0.743000,-0.1893,-0.4923,0.4012,0.663
0.746000,-0.1948,-0.6098,0.4039,0.757
0.752000,-0.1812,-0.7146,0.3213,0.804
0.757000,-0.2416,-0.7307,0.3418,0.842
0.761000,-0.3085,-0.8036,0.3408,0.926
0.767000,-0.3490,-0.8926,0.3327,1.014
0.772000,-0.3038,-0.9214,0.4031,1.051
0.777000,-0.2736,-0.9429,0.4539,1.082
0.783000,-0.2650,-0.9688,0.4257,1.091
0.787000,-0.2352,-0.9755,0.4616,1.105
0.793000,-0.2317,-0.9726,0.3615,1.063
0.796000,-0.2520,-0.9149,0.4067,1.032
0.802000,-0.3242,-0.8575,0.4060,1.003
0.806000,-0.3791,-0.7981,0.3832,0.963
0.811000,-0.4053,-0.7224,0.4097,0.924
0.818000,-0.5003,-0.6257,0.4545,0.921
0.822000,-0.5403,-0.5321,0.3985,0.857
0.834000,-0.5231,-0.4178,0.4377,0.800
0.835000,-0.4875,-0.3424,0.5096,0.784
0.836000,-0.4717,-0.2913,0.5403,0.774
0.855000,-0.4825,-0.2335,0.4968,0.731
0.857000,-0.5053,-0.1998,0.4842,0.728
0.858000,-0.4880,-0.1521,0.4881,0.707
0.858000,-0.4450,-0.1545,0.4842,0.675
0.862000,-0.4501,-0.1306,0.4751,0.667
0.867000,-0.4601,-0.1235,0.4944,0.687
0.872000,-0.4536,-0.1140,0.5133,0.694
0.877000,-0.4497,-0.1378,0.5008,0.687
0.882000,-0.4675,-0.1256,0.4763,0.679
0.886000,-0.4497,-0.0731,0.4397,0.633
0.891000,-0.4182,-0.0091,0.4102,0.586
0.897000,-0.4013,0.0545,0.4234,0.586
0.902000,-0.3728,0.0512,0.4289,0.571
0.907000,-0.2876,0.0764,0.4603,0.548
0.913000,-0.2817,0.0896,0.5007,0.581
0.919000,-0.3114,0.1195,0.4952,0.597
0.924000,-0.3053,0.1183,0.5084,0.605
0.932000,-0.3423,0.1505,0.4712,0.602
0.933000,-0.3698,0.1445,0.5123,0.648
0.939000,-0.3830,0.1435,0.5262,0.666
0.951000,-0.3939,0.1522,0.5370,0.683
0.952000,-0.3620,0.1609,0.5423,0.672
0.953000,-0.3400,0.2055,0.5374,0.668
0.959000,-0.3706,0.2332,0.5723,0.721
0.964000,-0.4270,0.2442,0.5989,0.775
0.969000,-0.4070,0.2436,0.6055,0.769
0.974000,-0.3896,0.2098,0.5661,0.718
0.979000,-0.4149,0.1932,0.5477,0.714
0.985000,-0.4446,0.1175,0.5241,0.697
0.990000,-0.4099,0.0261,0.5190,0.662
0.994000,-0.4014,0.0068,0.4541,0.606
0.999000,-0.3950,-0.0217,0.4294,0.584
1.004000,-0.3529,-0.0426,0.4088,0.542
1.010000,-0.3581,-0.0702,0.3356,0.496
1.014000,-0.3390,-0.1021,0.2790,0.451
1.020000,-0.3528,-0.0362,0.2389,0.428
1.027000,-0.3804,0.0649,0.2889,0.482
1.029000,-0.3861,0.1035,0.3381,0.524
1.035000,-0.4034,0.1800,0.3461,0.561
1.041000,-0.4559,0.3106,0.3251,0.640
1.046000,-0.4818,0.4901,0.3871,0.789
1.050000,-0.4672,0.6848,0.5341,0.986
1.054000,-0.4265,0.8375,0.6705,1.154
1.059000,-0.4267,0.9794,0.7320,1.295
1.065000,-0.4105,1.1273,0.8337,1.461
1.069000,-0.4018,1.2929,0.8465,1.597
1.077000,-0.4124,1.4073,0.8806,1.711
1.079000,-0.3402,1.5043,0.9190,1.795
1.085000,-0.2664,1.5910,0.8476,1.822
1.104000,-0.2239,1.6890,0.7529,1.863
1.106000,-0.2219,1.7814,0.6351,1.904
1.107000,-0.2005,1.8564,0.5352,1.942
1.108000,-0.2356,1.8950,0.4484,1.961
1.124000,-0.3220,1.9570,0.3647,2.017
1.126000,-0.3932,1.9379,0.4096,2.019
1.126000,-0.3379,1.8027,0.4181,1.881
1.127000,-0.2286,1.5929,0.2952,1.636
1.130000,-0.2054,1.3255,0.1112,1.346
1.135000,-0.2296,1.1032,0.0144,1.127
1.142000,-0.2675,0.8970,-0.1176,0.943
1.146000,-0.2838,0.6928,-0.1682,0.767
1.150000,-0.2122,0.4714,-0.1808,0.548
1.155000,-0.1980,0.2494,-0.2620,0.412
1.160000,-0.1933,0.0767,-0.3323,0.392
1.166000,-0.1861,-0.1163,-0.4441,0.495
1.171000,-0.1167,-0.3030,-0.6234,0.703
1.185000,-0.0925,-0.4479,-0.7962,0.918
1.187000,-0.0567,-0.5766,-0.9315,1.097
1.188000,0.0248,-0.7075,-1.0378,1.256
1.207000,0.1138,-0.7831,-1.0604,1.323
1.209000,0.1912,-0.8084,-1.1287,1.401
1.210000,0.2666,-0.8026,-1.2779,1.532
1.211000,0.3403,-0.8136,-1.3858,1.643
1.211000,0.3283,-0.7960,-1.4623,1.697
1.216000,0.3455,-0.7810,-1.4712,1.701
1.221000,0.3848,-0.7278,-1.4485,1.666
1.226000,0.3980,-0.6655,-1.5109,1.698
1.231000,0.4618,-0.6585,-1.5032,1.705
1.237000,0.4971,-0.6447,-1.5137,1.719
1.243000,0.5228,-0.6407,-1.5187,1.729
1.246000,0.5390,-0.6417,-1.5061,1.724
1.252000,0.5458,-0.6837,-1.4713,1.712
1.257000,0.4975,-0.7020,-1.4332,1.672
1.262000,0.4919,-0.7470,-1.3989,1.660
1.267000,0.4260,-0.7803,-1.3994,1.658
1.272000,0.4601,-0.8020,-1.4085,1.685
1.278000,0.5603,-0.8288,-1.4333,1.748
1.282000,0.6957,-0.7841,-1.4545,1.793
1.287000,0.7631,-0.6946,-1.4743,1.800
1.295000,0.8346,-0.6367,-1.4786,1.813
1.298000,0.9245,-0.5912,-1.5679,1.914
1.302000,0.8776,-0.5007,-1.6415,1.928
1.311000,0.8471,-0.4275,-1.6420,1.896
1.312000,0.8975,-0.3405,-1.5671,1.838
1.318000,0.8707,-0.2325,-1.5031,1.753
1.322000,0.9200,-0.0771,-1.4357,1.707
1.335000,1.0454,0.0491,-1.3532,1.711
1.336000,1.1034,0.1701,-1.3656,1.764
1.337000,1.1087,0.3002,-1.3128,1.744
1.358000,1.0951,0.4900,-1.2836,1.757
1.361000,1.0456,0.5860,-1.1966,1.694
1.362000,0.9532,0.7274,-1.1214,1.642
1.363000,0.9615,0.9211,-1.1060,1.731
1.364000,0.9052,1.0979,-1.0426,1.764
1.368000,0.8442,1.2169,-1.0199,1.798
1.373000,0.8022,1.3071,-0.9610,1.810
1.379000,0.7744,1.3780,-0.7276,1.740
1.382000,0.7440,1.4177,-0.5541,1.694
1.389000,0.7012,1.3736,-0.6439,1.671
1.394000,0.6414,1.3058,-0.6478,1.593
1.398000,0.5478,1.1449,-0.5899,1.400
1.404000,0.4706,0.9341,-0.6232,1.218
1.410000,0.4843,0.7237,-0.6331,1.077
1.413000,0.5046,0.4826,-0.6215,0.935
1.419000,0.4553,0.3207,-0.6291,0.840
1.424000,0.3942,0.1519,-0.6703,0.792
1.429000,0.3281,-0.1292,-0.6708,0.758
1.434000,0.3242,-0.3931,-0.6234,0.805
1.440000,0.2677,-0.6254,-0.6122,0.915
1.445000,0.2470,-0.8121,-0.6320,1.058
1.449000,0.2262,-1.0679,-0.5512,1.223
1.454000,0.2481,-1.2755,-0.4945,1.390
1.461000,0.2650,-1.4876,-0.4737,1.584
1.464000,0.2962,-1.6564,-0.4721,1.748
1.470000,0.2938,-1.8296,-0.4706,1.912
1.474000,0.3347,-1.9547,-0.4981,2.045
1.487000,0.3590,-2.1179,-0.5138,2.209
1.490000,0.3952,-2.2426,-0.5391,2.340
1.511000,0.4531,-2.2833,-0.5215,2.385
1.512000,0.4348,-2.2664,-0.5303,2.368
1.513000,0.4404,-2.2282,-0.5484,2.337
1.514000,0.4630,-2.1278,-0.5497,2.246
1.515000,0.4281,-2.0275,-0.5125,2.135
1.516000,0.4222,-1.9489,-0.5352,2.065
1.519000,0.4023,-1.7819,-0.5313,1.902
1.526000,0.4063,-1.6367,-0.4987,1.759
1.530000,0.3676,-1.4702,-0.4660,1.585
1.535000,0.3673,-1.3421,-0.3854,1.444
1.541000,0.3886,-1.2070,-0.3409,1.313
1.545000,0.3359,-1.0888,-0.2771,1.173
1.550000,0.2885,-0.9493,-0.2373,1.020
1.555000,0.2701,-0.8387,-0.2070,0.905
1.560000,0.2447,-0.8000,-0.1456,0.849
1.565000,0.2148,-0.7062,-0.1205,0.748
1.571000,0.2543,-0.6243,-0.0912,0.680
1.587000,0.2629,-0.5855,-0.0549,0.644
1.589000,0.2718,-0.5203,-0.0910,0.594
1.591000,0.2879,-0.4551,-0.0582,0.542
1.592000,0.2969,-0.3922,-0.0379,0.493
1.596000,0.3586,-0.3937,-0.0470,0.535
1.601000,0.4490,-0.4094,-0.0663,0.611
1.606000,0.4460,-0.4369,-0.1078,0.634
1.611000,0.5149,-0.4737,-0.1451,0.715
1.615000,0.5936,-0.5055,-0.2142,0.809
1.620000,0.5935,-0.5562,-0.2719,0.858
1.626000,0.6270,-0.5708,-0.2391,0.881
1.631000,0.6369,-0.6284,-0.1925,0.915
1.636000,0.6398,-0.6785,-0.2016,0.954
1.641000,0.6670,-0.7284,-0.2210,1.012
1.647000,0.6681,-0.7110,-0.2031,0.997
1.652000,0.6530,-0.6837,-0.0286,0.946
1.656000,0.6668,-0.6873,0.0420,0.958
1.666000,0.6736,-0.7049,0.0086,0.975
1.668000,0.6902,-0.6410,0.0220,0.942
1.672000,0.6831,-0.5528,0.0366,0.880
1.688000,0.6883,-0.4838,0.0578,0.843
1.689000,0.6748,-0.3860,-0.0125,0.777
1.690000,0.6400,-0.2857,-0.0908,0.707
1.697000,0.6224,-0.1637,-0.1220,0.655
1.698000,0.6408,-0.0347,-0.0554,0.644
1.701000,0.6858,0.0729,0.0751,0.694
1.706000,0.7262,0.2114,0.1981,0.782
1.713000,0.7670,0.3403,0.2731,0.882
1.717000,0.7794,0.4522,0.4149,0.992
1.722000,0.8110,0.6167,0.4965,1.133
1.727000,0.8380,0.7140,0.5968,1.252
1.732000,0.8265,0.8043,0.7181,1.359
1.737000,0.7668,0.9017,0.8174,1.438
1.744000,0.7760,0.9896,0.9065,1.550
1.747000,0.7628,1.0058,0.9660,1.590
1.753000,0.7559,1.0129,1.0435,1.639
1.758000,0.7675,1.0202,1.0887,1.678
1.763000,0.7380,1.0352,1.1445,1.711
1.769000,0.6916,1.0458,1.1559,1.705
1.773000,0.6717,1.0831,1.0560,1.655
1.786000,0.6525,1.1493,0.9768,1.643
1.788000,0.5411,1.3115,0.9970,1.734
1.791000,0.3684,1.4620,1.0924,1.862
1.805000,0.3236,1.6319,1.0523,1.969
1.807000,0.2678,1.8211,0.9344,2.064
1.807000,0.2107,1.9626,0.7726,2.120
1.808000,0.0779,2.1593,0.6389,2.253
1.813000,0.0250,2.3632,0.5835,2.434
1.818000,0.0754,2.5576,0.5704,2.622
1.823000,0.1785,2.6492,0.5257,2.707
1.828000,0.2148,2.7383,0.4953,2.791
1.833000,0.3398,2.8441,0.4819,2.905
1.838000,0.4788,2.8420,0.4766,2.921
1.844000,0.5771,2.8683,0.4243,2.956
1.849000,0.6658,2.8538,0.3369,2.950
1.853000,0.6609,2.7721,0.2670,2.862
1.858000,0.6102,2.6353,0.2578,2.717
1.865000,0.5806,2.4578,0.2422,2.537
1.869000,0.5124,2.3331,0.1650,2.394
1.875000,0.3743,2.1508,0.0314,2.183
1.879000,0.2767,1.9734,-0.1061,1.995
1.885000,0.2579,1.7649,-0.2238,1.798
1.890000,0.2293,1.5900,-0.3310,1.640
1.896000,0.1791,1.3745,-0.4232,1.449
1.900000,0.1385,1.1447,-0.5052,1.259
1.905000,0.0860,0.9104,-0.6753,1.137
1.922000,0.0431,0.6548,-0.8833,1.100
1.924000,-0.0573,0.3540,-1.0860,1.144
1.929000,-0.1504,0.0416,-1.3312,1.340
1.930000,-0.2126,-0.3040,-1.5711,1.614
1.931000,-0.2344,-0.6397,-1.7289,1.858
1.944000,-0.2255,-0.8986,-1.7927,2.018
1.945000,-0.1908,-1.1143,-1.7649,2.096
1.946000,-0.1349,-1.2632,-1.7480,2.161
1.950000,-0.0388,-1.3333,-1.6893,2.152
1.955000,0.0425,-1.4038,-1.5576,2.097
1.960000,0.1067,-1.4580,-1.4508,2.060
1.965000,0.1274,-1.4960,-1.4336,2.076
1.970000,0.1381,-1.5011,-1.4099,2.064
1.975000,0.0745,-1.4709,-1.4301,2.053
1.980000,0.0731,-1.4628,-1.4392,2.053
1.986000,0.0646,-1.3716,-1.5140,2.044
1.992000,0.0014,-1.2594,-1.5060,1.963
2.005000,-0.0853,-1.1743,-1.5490,1.946
2.007000,-0.1382,-1.0516,-1.5523,1.880
2.008000,-0.1619,-0.9488,-1.5398,1.816
2.026000,-0.1830,-0.8443,-1.5112,1.741
2.027000,-0.1963,-0.7429,-1.5099,1.694
2.028000,-0.2236,-0.6471,-1.4425,1.597
2.029000,-0.2483,-0.4825,-1.3879,1.490
2.031000,-0.2561,-0.4144,-1.4326,1.513
2.035000,-0.2279,-0.3492,-1.4592,1.518
2.042000,-0.2141,-0.2007,-1.4130,1.443
2.046000,-0.1645,-0.1270,-1.4278,1.443
2.052000,-0.1822,-0.1158,-1.4491,1.465
2.056000,-0.1642,-0.1527,-1.2495,1.269
2.061000,-0.1108,-0.0893,-1.0303,1.040
2.066000,-0.0390,-0.1123,-0.9662,0.973
2.072000,0.0326,-0.2072,-0.9928,1.015
2.078000,0.0130,-0.2923,-0.8806,0.928
2.081000,-0.0333,-0.3464,-0.8899,0.956
2.087000,-0.0561,-0.4722,-0.9565,1.068
