time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.005000,0.5865,0.2636,-0.3965,0.755
0.006000,0.1730,0.1445,-0.0892,0.242
0.024000,0.0435,-0.0518,0.0535,0.086
0.029000,0.1002,0.0458,0.1969,0.226
0.049000,0.2365,0.1218,0.2903,0.394
0.050000,0.2278,0.1484,0.2081,0.342
0.058000,0.0624,0.1377,0.1561,0.217
0.065000,-0.0397,0.1135,-0.0117,0.121
0.073000,-0.0483,0.0914,0.0436,0.112
0.083000,0.0878,0.0888,0.1847,0.223
0.093000,0.1837,0.1660,0.3706,0.446
0.104000,0.1475,0.1136,0.2335,0.299
0.119000,-0.0533,0.0174,0.0515,0.076
0.126000,-0.1859,-0.0643,-0.0013,0.197
0.135000,-0.2032,-0.1250,0.1332,0.273
0.159000,-0.1258,-0.1441,0.1497,0.243
0.161000,-0.1350,-0.1965,0.0394,0.242
0.168000,-0.1071,-0.2541,-0.3888,0.477
0.179000,-0.0521,-0.0481,-0.5298,0.534
0.185000,-0.0657,-0.0929,-0.7047,0.714
0.195000,0.0542,-0.0255,-0.5539,0.557
0.205000,0.0725,-0.0237,-0.2586,0.270
0.214000,-0.0067,-0.1666,0.1044,0.197
0.242000,-0.1222,-0.2352,0.3305,0.424
0.243000,-0.2349,-0.2528,0.3787,0.512
0.246000,-0.3130,-0.2738,0.4158,0.588
0.265000,-0.3428,-0.2503,0.3536,0.552
0.267000,-0.2764,-0.2173,0.2749,0.446
0.282000,-0.2337,-0.1626,0.2129,0.355
0.284000,-0.1639,-0.1270,0.0816,0.223
0.294000,0.0114,-0.0325,0.0327,0.047
0.315000,0.0942,0.0272,-0.0099,0.099
0.316000,0.0878,0.0668,-0.1306,0.171
0.324000,0.1145,0.0967,-0.2247,0.270
0.335000,0.1986,0.1276,-0.1763,0.295
0.351000,0.2638,0.0832,-0.0837,0.289
0.355000,0.2654,0.0565,0.0151,0.272
0.364000,0.1381,0.0472,-0.0570,0.157
0.374000,0.0235,-0.0535,-0.1526,0.163
0.384000,0.0418,-0.0661,-0.2189,0.232
0.398000,0.0530,-0.0896,-0.2023,0.227
0.405000,0.0950,-0.0920,-0.1779,0.222
0.414000,0.1255,-0.0250,-0.2804,0.308
0.431000,0.0859,-0.0222,-0.3716,0.382
0.434000,-0.0616,-0.0804,-0.3515,0.366
0.444000,-0.1185,-0.0969,-0.2249,0.272
0.472000,-0.1389,-0.0939,-0.0770,0.184
0.473000,-0.0600,-0.0936,-0.0293,0.115
