time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.004000,0.4956,-0.1249,-0.2440,0.566
0.004000,0.0845,0.0275,-0.5805,0.587
0.012000,-0.2466,0.1810,-1.0363,1.080
0.013000,-0.7553,0.3881,-1.4227,1.657
0.018000,-1.3033,0.6753,-1.6803,2.231
0.023000,-1.6685,0.9919,-1.8092,2.653
0.033000,-1.7761,1.1585,-1.9124,2.855
0.034000,-1.7058,1.0506,-1.8987,2.760
0.038000,-1.4934,0.7735,-1.6407,2.350
0.049000,-1.1745,0.4251,-1.2047,1.735
0.050000,-0.7387,0.0411,-0.7072,1.024
0.052000,-0.1161,-0.4147,-0.2553,0.501
0.084000,0.5550,-0.9972,0.1303,1.149
0.084000,1.0526,-1.6084,0.4498,1.974
0.085000,1.3073,-2.1094,0.5930,2.552
0.085000,1.4469,-2.3374,0.6435,2.823
0.085000,1.6090,-2.1179,0.6966,2.750
0.086000,1.7829,-1.5520,0.7288,2.474
0.086000,1.7658,-0.9581,0.8387,2.177
0.092000,1.4504,-0.5279,0.9737,1.825
0.113000,0.9918,-0.2875,0.9473,1.401
0.114000,0.5808,-0.1765,0.7541,0.968
0.114000,0.2409,-0.1135,0.5279,0.591
0.114000,0.0029,-0.0311,0.2851,0.287
0.115000,-0.1073,0.0659,0.0204,0.128
0.130000,-0.2244,0.1729,-0.1349,0.314
0.131000,-0.4017,0.3017,-0.2000,0.541
0.131000,-0.6348,0.4426,-0.1727,0.793
0.135000,-0.8712,0.6313,0.0216,1.076
0.139000,-1.0271,0.8148,0.3281,1.351
0.165000,-1.0763,0.9138,0.6277,1.545
0.166000,-1.0694,0.9355,0.8779,1.670
0.166000,-1.0379,0.8558,1.0790,1.725
0.167000,-1.0570,0.6410,1.2005,1.723
0.167000,-0.9876,0.5663,1.2421,1.685
0.174000,-0.6374,0.7181,1.2038,1.540
0.174000,-0.2305,0.7854,1.0805,1.356
0.179000,-0.0130,0.7686,0.8936,1.179
0.183000,0.0395,0.6846,0.6596,0.952
0.188000,-0.0061,0.5504,0.4096,0.686
0.192000,-0.1121,0.4068,0.1382,0.444
0.197000,-0.1709,0.2303,-0.1742,0.336
0.202000,-0.1135,0.0473,-0.4752,0.491
0.206000,0.0076,-0.0366,-0.6819,0.683
0.211000,0.1354,-0.0691,-0.8306,0.844
0.217000,0.2800,-0.0933,-0.8445,0.895
0.221000,0.4224,-0.0542,-0.7000,0.819
0.227000,0.5726,0.0096,-0.5021,0.762
0.231000,0.6899,0.0502,-0.2913,0.751
0.236000,0.6976,0.0171,-0.0695,0.701
0.251000,0.6267,-0.0588,0.1830,0.656
0.252000,0.5511,-0.1513,0.3731,0.682
0.252000,0.5160,-0.2296,0.5156,0.765
0.255000,0.5094,-0.2723,0.6946,0.903
0.260000,0.5194,-0.3202,0.8408,1.039
0.265000,0.5556,-0.3710,0.9259,1.142
0.270000,0.5867,-0.3984,0.9378,1.176
0.279000,0.6221,-0.3975,0.8622,1.135
0.279000,0.6788,-0.3802,0.7371,1.072
0.284000,0.7017,-0.3561,0.6127,0.997
0.289000,0.6235,-0.4040,0.5273,0.911
0.297000,0.4970,-0.4760,0.5335,0.871
0.298000,0.5437,-0.3593,0.5857,0.876
0.303000,0.7568,-0.1665,0.6218,0.994
0.315000,0.8802,-0.0889,0.6586,1.103
0.316000,0.7769,-0.1268,0.7753,1.105
0.318000,0.5975,-0.1941,0.9172,1.112
0.322000,0.5962,-0.1974,0.9526,1.141
0.332000,0.6971,-0.1416,0.9752,1.207
0.333000,0.7158,-0.1177,0.9968,1.233
0.338000,0.6357,-0.1496,0.9624,1.163
0.349000,0.5593,-0.1702,0.9080,1.080
0.350000,0.5373,-0.1843,0.8645,1.034
0.353000,0.5648,-0.1893,0.8078,1.004
0.356000,0.6227,-0.1612,0.7137,0.961
0.385000,0.6605,-0.1166,0.5963,0.898
0.385000,0.6590,-0.0649,0.4696,0.812
0.385000,0.5471,-0.0036,0.3693,0.660
0.386000,0.4607,0.0436,0.2088,0.508
0.386000,0.4542,0.0146,0.0265,0.455
0.386000,0.3666,-0.0570,-0.0750,0.378
0.392000,0.2383,-0.1065,-0.0983,0.279
0.414000,0.1697,-0.1436,-0.0506,0.228
0.414000,0.1772,-0.1563,-0.0086,0.236
0.415000,0.2460,-0.1231,-0.0033,0.275
0.415000,0.2758,-0.0847,-0.0325,0.290
0.415000,0.2162,-0.0744,-0.0818,0.243
0.432000,0.1491,-0.0684,-0.1513,0.223
0.433000,0.1031,-0.0473,-0.2555,0.280
0.433000,0.0878,-0.0230,-0.3898,0.400
0.434000,0.0788,-0.0053,-0.5205,0.526
0.439000,0.0258,0.0060,-0.6117,0.612
0.466000,-0.0428,0.0011,-0.6729,0.674
0.467000,-0.1078,-0.0272,-0.6966,0.705
0.467000,-0.1983,-0.0719,-0.6469,0.680
0.468000,-0.2830,-0.0924,-0.5211,0.600
0.468000,-0.3091,-0.0793,-0.3407,0.467
0.468000,-0.2621,-0.0066,-0.1124,0.285
0.474000,-0.1442,0.1207,0.1759,0.258
0.482000,-0.0176,0.2379,0.4336,0.495
0.484000,0.0436,0.3113,0.6107,0.687
0.488000,0.0036,0.3218,0.7482,0.814
0.499000,-0.0653,0.3219,0.8703,0.930
0.500000,-0.0716,0.3619,0.9027,0.975
0.502000,-0.0344,0.3869,0.8383,0.924
0.507000,-0.0347,0.3421,0.7222,0.800
0.517000,-0.0821,0.2396,0.5735,0.627
0.518000,-0.1479,0.0965,0.3990,0.436
0.524000,-0.1793,-0.0537,0.2223,0.291
0.533000,-0.1020,-0.1869,0.1223,0.246
0.534000,0.0414,-0.2671,0.0389,0.273
0.536000,0.2728,-0.2465,-0.0712,0.375
0.580000,0.5614,-0.2091,-0.0785,0.604
0.581000,0.7855,-0.2362,0.0263,0.821
0.581000,0.9045,-0.3158,0.1429,0.969
0.582000,0.9421,-0.3954,0.2092,1.043
0.582000,0.9238,-0.4366,0.2586,1.054
0.583000,0.8658,-0.4612,0.3276,1.034
0.583000,0.7819,-0.4742,0.4257,1.009
0.584000,0.7079,-0.4803,0.5555,1.020
0.584000,0.6649,-0.4751,0.6694,1.056
0.585000,0.6241,-0.4657,0.7940,1.112
0.589000,0.5470,-0.4858,0.9246,1.179
0.595000,0.4553,-0.4924,1.0446,1.241
0.598000,0.3470,-0.4303,1.1181,1.247
0.603000,0.1483,-0.3090,0.9603,1.020
0.610000,-0.1695,-0.2166,0.5853,0.647
0.612000,-0.5529,-0.1579,0.2110,0.612
0.619000,-0.8933,-0.0589,0.0146,0.895
0.624000,-1.0985,0.1686,0.0826,1.114
0.627000,-1.2167,0.4046,0.2952,1.316
0.632000,-1.2574,0.4794,0.4756,1.427
0.637000,-1.2016,0.4912,0.6359,1.445
0.645000,-1.0990,0.4685,0.8767,1.482
0.647000,-0.8412,0.4138,1.1361,1.473
0.651000,-0.4705,0.3320,1.2965,1.419
0.657000,-0.1391,0.2401,1.3363,1.365
0.678000,0.0987,0.1309,1.2892,1.300
0.679000,0.1524,-0.0170,1.2269,1.236
0.679000,0.0551,-0.1855,1.1888,1.204
0.680000,-0.0296,-0.3270,1.1427,1.189
0.680000,0.0340,-0.3634,1.1151,1.173
0.686000,0.2142,-0.3098,1.1010,1.164
0.690000,0.3250,-0.2335,1.1004,1.171
0.697000,0.2359,-0.1988,1.2082,1.247
0.701000,-0.0283,-0.1889,1.4072,1.420
0.705000,-0.2886,-0.1395,1.5592,1.592
0.710000,-0.3188,-0.0058,1.6503,1.681
0.715000,-0.0893,0.1948,1.6621,1.676
0.719000,0.2815,0.3171,1.6331,1.687
0.724000,0.4674,0.3024,1.6844,1.774
0.729000,0.3489,0.2304,1.8556,1.902
0.734000,0.2090,0.1394,2.0794,2.095
0.739000,0.1575,0.0486,2.3031,2.309
0.748000,0.1992,0.0292,2.4959,2.504
0.749000,0.4053,0.1327,2.5466,2.582
0.755000,0.6894,0.2746,2.4689,2.578
0.777000,0.8808,0.3417,2.3168,2.502
0.778000,0.9480,0.3171,2.1744,2.393
0.779000,0.8906,0.2250,2.1306,2.320
0.779000,0.6820,0.0724,2.1879,2.293
0.780000,0.4321,-0.0568,2.2388,2.281
0.783000,0.3941,-0.1003,2.1230,2.162
0.787000,0.5515,-0.1659,1.9056,1.991
0.793000,0.7346,-0.3445,1.7518,1.931
0.797000,0.8427,-0.6095,1.7075,1.999
0.801000,0.8037,-0.9179,1.7417,2.126
0.807000,0.5668,-1.1572,1.8214,2.231
0.812000,0.2246,-1.2077,1.8439,2.216
0.816000,0.0330,-1.0958,1.6582,1.988
0.821000,0.0205,-0.9695,1.2878,1.612
0.834000,0.1159,-0.9171,0.8925,1.285
0.835000,0.3197,-0.9572,0.5314,1.141
0.836000,0.4984,-1.0823,0.2180,1.211
0.868000,0.5159,-1.2419,-0.0104,1.345
0.869000,0.4390,-1.3591,-0.2358,1.448
0.870000,0.3991,-1.3933,-0.5237,1.541
0.870000,0.4314,-1.3155,-0.8629,1.631
0.871000,0.4445,-1.1713,-1.2495,1.769
0.871000,0.4164,-1.0396,-1.7086,2.043
0.872000,0.3782,-0.9537,-2.1740,2.404
0.882000,0.3107,-0.9615,-2.4192,2.622
0.883000,0.1705,-1.0367,-2.3469,2.571
0.884000,-0.0541,-0.9832,-2.2239,2.432
0.889000,0.0662,-0.5862,-2.1053,2.186
0.901000,0.3246,-0.2719,-2.1720,2.213
0.902000,0.1771,-0.2676,-2.1792,2.203
0.903000,-0.1445,-0.3269,-1.7747,1.810
0.908000,-0.2471,-0.4139,-1.4276,1.507
0.916000,0.0251,-0.4282,-1.3077,1.376
0.917000,0.4216,-0.3462,-1.2951,1.405
0.923000,0.6533,-0.2302,-1.3154,1.487
0.932000,0.7566,-0.0754,-1.4428,1.631
0.933000,0.8034,0.0366,-1.7273,1.905
0.938000,0.6830,-0.0160,-2.0564,2.167
0.984000,0.3997,-0.1710,-2.3433,2.383
0.985000,0.0796,-0.3876,-2.5545,2.585
0.986000,-0.1842,-0.6037,-2.7065,2.779
0.987000,-0.3392,-0.7618,-2.7895,2.911
0.987000,-0.3927,-0.8647,-2.8248,2.980
0.988000,-0.4188,-0.9170,-2.8363,3.010
0.988000,-0.4581,-0.9260,-2.7617,2.949
0.989000,-0.5416,-0.8489,-2.5626,2.753
0.989000,-0.6046,-0.6953,-2.2266,2.410
0.990000,-0.5871,-0.4940,-1.8828,2.033
0.990000,-0.4554,-0.3024,-1.5548,1.648
0.997000,-0.2162,-0.1565,-1.1923,1.222
1.000000,0.0325,-0.0442,-0.8525,0.854
1.005000,0.2525,0.0417,-0.5997,0.652
1.019000,0.3336,0.1036,-0.4552,0.574
1.020000,0.2611,0.1176,-0.3951,0.488
1.021000,0.1424,0.0599,-0.3448,0.378
1.024000,0.0776,-0.0002,-0.2876,0.298
1.034000,0.1292,-0.0148,-0.2475,0.280
1.035000,0.2134,-0.0221,-0.2265,0.312
1.039000,0.2080,-0.0247,-0.1767,0.274
1.049000,0.1441,0.0014,-0.0884,0.169
1.050000,0.1729,0.0776,-0.0546,0.197
1.053000,0.2611,0.1729,-0.0604,0.319
1.057000,0.2872,0.2297,0.0114,0.368
1.102000,0.2705,0.2506,0.1612,0.402
1.103000,0.2733,0.2643,0.3413,0.511
1.104000,0.2167,0.3042,0.5881,0.697
1.104000,0.0955,0.4086,0.8780,0.973
1.105000,0.0533,0.5033,1.1801,1.284
1.105000,0.1427,0.5500,1.4251,1.534
1.105000,0.3377,0.5752,1.5583,1.695
1.106000,0.5570,0.5765,1.6082,1.797
1.106000,0.6957,0.5635,1.5534,1.793
1.107000,0.7178,0.5147,1.4220,1.674
1.115000,0.6756,0.4255,1.2186,1.457
1.116000,0.5879,0.2864,0.8968,1.110
1.121000,0.4569,0.1188,0.4676,0.664
1.125000,0.3277,-0.0197,-0.0746,0.337
1.137000,0.2150,-0.1173,-0.6207,0.667
1.138000,0.1426,-0.1693,-0.9823,1.007
1.140000,0.1470,-0.1685,-1.1742,1.195
1.184000,0.1974,-0.1008,-1.2612,1.281
1.185000,0.2511,-0.0045,-1.2963,1.320
1.186000,0.2773,0.0726,-1.3273,1.358
1.186000,0.2305,0.0969,-1.3853,1.408
1.187000,0.1131,0.0733,-1.4776,1.484
1.187000,-0.0373,-0.0029,-1.6065,1.607
1.188000,-0.1589,-0.1557,-1.7552,1.769
1.188000,-0.2041,-0.3132,-1.8066,1.845
1.188000,-0.1709,-0.4419,-1.7605,1.823
1.189000,-0.0878,-0.5681,-1.6333,1.732
1.195000,-0.0267,-0.6608,-1.4392,1.584
1.199000,0.0004,-0.7032,-1.2949,1.474
1.203000,-0.0068,-0.7288,-1.2265,1.427
1.208000,-0.0795,-0.7354,-1.1425,1.361
1.218000,-0.1555,-0.7180,-1.0259,1.262
1.219000,-0.1677,-0.6912,-0.8880,1.138
1.222000,-0.1374,-0.6308,-0.6709,0.931
1.234000,-0.0664,-0.5083,-0.4052,0.653
1.235000,0.0600,-0.3453,-0.1313,0.374
1.237000,0.1800,-0.1657,0.1318,0.278
1.242000,0.3276,0.0138,0.3317,0.466
1.249000,0.4595,0.1739,0.4612,0.674
1.252000,0.4992,0.2908,0.5250,0.781
1.257000,0.5135,0.3455,0.5254,0.812
1.302000,0.4999,0.3595,0.4505,0.763
1.303000,0.4390,0.3496,0.3001,0.636
1.304000,0.3351,0.3135,0.1122,0.472
1.304000,0.1782,0.2558,-0.0682,0.319
1.305000,0.0541,0.1887,-0.2079,0.286
1.305000,0.0394,0.1431,-0.3406,0.372
1.306000,0.0793,0.1287,-0.4377,0.463
1.306000,0.0925,0.1334,-0.4608,0.489
1.306000,0.0095,0.1620,-0.4290,0.459
1.307000,-0.1578,0.2169,-0.3226,0.420
1.315000,-0.2997,0.2598,-0.1940,0.442
1.316000,-0.3395,0.2955,-0.1199,0.466
1.320000,-0.1740,0.3048,-0.0810,0.360
1.324000,0.0679,0.2568,-0.0129,0.266
1.336000,0.2023,0.1897,0.0725,0.287
1.337000,0.2986,0.1156,0.1174,0.341
1.339000,0.3807,0.0583,0.0856,0.395
1.385000,0.3767,0.0058,0.0273,0.378
1.386000,0.3441,-0.0681,-0.0007,0.351
1.387000,0.4073,-0.1037,-0.0461,0.423
1.387000,0.5282,-0.1298,-0.1067,0.554
1.388000,0.5850,-0.1749,-0.1658,0.633
1.388000,0.5896,-0.2416,-0.2449,0.683
1.388000,0.5443,-0.3488,-0.2795,0.704
1.389000,0.4153,-0.4512,-0.2336,0.656
1.389000,0.3268,-0.5080,-0.2125,0.640
1.390000,0.3579,-0.5098,-0.2208,0.661
1.393000,0.4512,-0.4878,-0.2082,0.696
1.397000,0.5086,-0.4944,-0.1721,0.730
1.402000,0.4273,-0.5058,-0.1339,0.676
1.406000,0.3386,-0.5029,-0.1651,0.628
1.421000,0.3237,-0.5143,-0.2272,0.649
1.422000,0.3661,-0.5640,-0.2511,0.718
1.423000,0.4874,-0.6256,-0.2774,0.840
1.426000,0.6256,-0.6751,-0.3925,1.001
1.435000,0.6850,-0.7127,-0.5965,1.155
1.436000,0.6557,-0.7334,-0.8299,1.287
1.441000,0.6073,-0.7303,-1.0810,1.439
1.450000,0.5828,-0.7153,-1.3239,1.614
1.451000,0.6038,-0.7219,-1.5516,1.815
1.455000,0.6511,-0.7429,-1.7336,1.995
1.460000,0.6745,-0.7592,-1.7787,2.048
1.504000,0.6888,-0.7587,-1.6991,1.984
1.505000,0.6840,-0.6937,-1.5206,1.806
1.506000,0.6434,-0.5666,-1.2644,1.528
1.506000,0.6101,-0.3919,-1.0283,1.258
1.507000,0.5790,-0.1838,-0.8666,1.058
1.507000,0.5598,0.0001,-0.7573,0.942
1.508000,0.5666,0.1385,-0.6546,0.877
1.508000,0.5587,0.2360,-0.5510,0.819
1.509000,0.5171,0.2904,-0.4102,0.721
1.509000,0.4703,0.3281,-0.2128,0.612
1.515000,0.4517,0.3897,-0.0042,0.597
1.518000,0.4903,0.4919,0.1655,0.714
1.523000,0.5622,0.6179,0.2557,0.874
1.537000,0.6172,0.7342,0.2638,0.995
1.538000,0.6484,0.8169,0.1922,1.061
1.538000,0.6705,0.8804,0.0738,1.109
1.542000,0.7195,0.9319,-0.0389,1.178
1.584000,0.7816,0.9833,-0.1512,1.265
1.585000,0.7966,1.0060,-0.2682,1.311
1.585000,0.7578,0.9640,-0.4000,1.290
1.586000,0.7081,0.8648,-0.5637,1.252
1.586000,0.6093,0.7274,-0.7115,1.186
1.587000,0.4565,0.5662,-0.8101,1.089
1.587000,0.2853,0.4029,-0.8666,0.997
1.587000,0.0618,0.2565,-0.8687,0.908
1.587000,-0.2049,0.1367,-0.7561,0.795
1.590000,-0.4699,0.0337,-0.5306,0.710
1.597000,-0.6426,-0.0333,-0.2756,0.700
1.599000,-0.6054,-0.0644,-0.0576,0.611
1.604000,-0.4302,-0.1073,0.0832,0.451
1.609000,-0.2989,-0.1861,0.1539,0.384
1.620000,-0.2811,-0.2911,0.1952,0.449
1.621000,-0.3122,-0.3887,0.2118,0.542
1.624000,-0.2795,-0.4576,0.1966,0.571
1.635000,-0.1710,-0.4976,0.1564,0.549
1.636000,-0.0509,-0.5496,0.1437,0.570
1.639000,0.0645,-0.6039,0.0956,0.615
1.643000,0.1731,-0.6509,-0.0218,0.674
1.651000,0.2461,-0.6979,-0.1658,0.758
1.652000,0.2789,-0.7352,-0.3082,0.845
1.658000,0.3124,-0.7582,-0.3656,0.898
1.704000,0.3513,-0.7619,-0.3527,0.910
1.705000,0.3407,-0.7466,-0.3867,0.907
1.705000,0.2372,-0.7265,-0.4917,0.909
1.706000,0.0791,-0.7185,-0.6174,0.951
1.706000,-0.0716,-0.7176,-0.7015,1.006
1.706000,-0.2533,-0.7071,-0.7010,1.027
1.707000,-0.4735,-0.6967,-0.6324,1.053
1.707000,-0.6149,-0.6505,-0.5697,1.061
1.708000,-0.6537,-0.5852,-0.5366,1.028
1.708000,-0.6856,-0.5367,-0.5258,1.017
1.716000,-0.6865,-0.5073,-0.5732,1.028
1.716000,-0.6060,-0.4804,-0.7125,1.052
1.721000,-0.5184,-0.4631,-0.9030,1.140
1.726000,-0.5147,-0.4793,-1.0371,1.253
1.736000,-0.5878,-0.4740,-1.0907,1.327
1.737000,-0.6422,-0.4327,-1.0590,1.312
1.740000,-0.6516,-0.3581,-0.8960,1.164
1.785000,-0.6590,-0.2428,-0.6253,0.940
1.786000,-0.6309,-0.1038,-0.3637,0.736
1.787000,-0.5554,0.0327,-0.1780,0.584
1.787000,-0.4826,0.1571,-0.0344,0.509
1.788000,-0.4196,0.2574,0.0218,0.493
1.788000,-0.3880,0.3312,-0.0527,0.513
1.789000,-0.4428,0.3476,-0.2028,0.598
1.789000,-0.5627,0.3185,-0.3977,0.759
1.789000,-0.6758,0.2895,-0.6138,0.958
1.790000,-0.7345,0.2581,-0.8514,1.154
1.793000,-0.7530,0.2674,-1.1037,1.363
1.798000,-0.7528,0.3103,-1.3374,1.566
1.803000,-0.7553,0.3435,-1.5265,1.737
1.807000,-0.7485,0.3695,-1.6423,1.842
1.821000,-0.7416,0.4075,-1.6680,1.870
1.822000,-0.7585,0.4837,-1.6344,1.866
1.824000,-0.7418,0.5838,-1.5844,1.844
1.827000,-0.6383,0.6765,-1.5200,1.782
1.835000,-0.5127,0.7429,-1.4507,1.709
1.836000,-0.4102,0.7758,-1.3833,1.638
1.841000,-0.3283,0.7751,-1.2937,1.543
1.852000,-0.2575,0.7720,-1.1889,1.441
1.853000,-0.2241,0.7833,-1.0592,1.336
1.856000,-0.2066,0.7778,-0.9114,1.216
1.861000,-0.2053,0.7364,-0.7478,1.069
1.903000,-0.2371,0.6782,-0.6019,0.937
1.903000,-0.2806,0.6034,-0.5069,0.837
1.904000,-0.2952,0.4927,-0.4847,0.752
1.904000,-0.2739,0.3773,-0.5472,0.719
1.905000,-0.2836,0.2382,-0.6491,0.747
1.905000,-0.3077,0.0514,-0.8029,0.861
1.905000,-0.3463,-0.1352,-1.0064,1.073
1.906000,-0.4161,-0.2905,-1.1666,1.272
1.906000,-0.4548,-0.4169,-1.2692,1.411
1.909000,-0.4793,-0.5192,-1.3841,1.554
1.915000,-0.5256,-0.6357,-1.5089,1.720
1.919000,-0.5744,-0.7712,-1.5840,1.853
1.924000,-0.5971,-0.9065,-1.6290,1.958
1.937000,-0.6128,-1.0200,-1.6871,2.064
1.938000,-0.6527,-1.0928,-1.7366,2.153
1.938000,-0.6977,-1.1343,-1.7082,2.166
1.942000,-0.7071,-1.1495,-1.6186,2.107
1.952000,-0.6832,-1.1335,-1.5418,2.032
1.953000,-0.6596,-1.0697,-1.4849,1.945
1.957000,-0.6433,-0.9773,-1.3878,1.815
1.994000,-0.6343,-0.8778,-1.2406,1.647
1.995000,-0.6467,-0.7761,-1.1293,1.515
1.995000,-0.6565,-0.6721,-1.0945,1.442
1.996000,-0.6828,-0.5873,-1.0905,1.414
1.996000,-0.7257,-0.5170,-1.1150,1.427
1.996000,-0.7492,-0.4444,-1.2137,1.494
1.996000,-0.7653,-0.3791,-1.3558,1.602
1.997000,-0.7860,-0.3496,-1.4696,1.703
2.001000,-0.7921,-0.3489,-1.5338,1.761
2.006000,-0.7743,-0.3433,-1.5581,1.773
2.011000,-0.7420,-0.3138,-1.5545,1.751
2.015000,-0.7169,-0.2532,-1.5325,1.711
2.020000,-0.7014,-0.1903,-1.5017,1.668
2.024000,-0.6834,-0.1202,-1.4333,1.592
2.032000,-0.6294,-0.0167,-1.3462,1.486
2.034000,-0.5197,0.0891,-1.2596,1.366
2.039000,-0.3826,0.1957,-1.1245,1.204
2.067000,-0.3004,0.3039,-0.9593,1.050
2.068000,-0.2915,0.3850,-0.8259,0.957
2.069000,-0.3415,0.4299,-0.7619,0.939
2.069000,-0.4122,0.4364,-0.7286,0.944
2.069000,-0.4729,0.4214,-0.7185,0.958
2.070000,-0.5333,0.3899,-0.6982,0.961
2.074000,-0.5790,0.3443,-0.6390,0.929
2.080000,-0.6223,0.2873,-0.6317,0.932
2.084000,-0.6346,0.2401,-0.7210,0.990
2.088000,-0.5851,0.2052,-0.8232,1.031
2.093000,-0.5527,0.1754,-0.8763,1.051
2.103000,-0.5875,0.1362,-0.9139,1.095
2.104000,-0.6702,0.0949,-0.9577,1.173
2.107000,-0.7864,0.0468,-0.9767,1.255
2.119000,-0.8886,0.0086,-0.9782,1.322
2.120000,-0.9270,0.0181,-0.9934,1.359
2.121000,-0.9137,0.0630,-1.0219,1.372
2.126000,-0.8680,0.1266,-1.0306,1.353
2.134000,-0.8231,0.1872,-1.0456,1.344
2.137000,-0.7931,0.2425,-1.0860,1.366
2.142000,-0.7708,0.2902,-1.0635,1.345
2.153000,-0.7607,0.3185,-0.9667,1.271
2.154000,-0.7532,0.3180,-0.8553,1.183
2.156000,-0.7220,0.3032,-0.7553,1.088
2.216000,-0.6837,0.2908,-0.6880,1.013
2.217000,-0.6549,0.2810,-0.6558,0.968
2.217000,-0.6211,0.2759,-0.6797,0.961
2.218000,-0.5896,0.2756,-0.7811,1.017
2.218000,-0.5913,0.2683,-0.9479,1.149
2.219000,-0.6239,0.2562,-1.1419,1.326
2.220000,-0.6563,0.2728,-1.3206,1.500
2.220000,-0.6887,0.3201,-1.4487,1.636
2.220000,-0.6759,0.3908,-1.5176,1.707
2.221000,-0.5682,0.4871,-1.5206,1.695
2.221000,-0.4065,0.5921,-1.4275,1.598
2.222000,-0.2388,0.6868,-1.2913,1.482
2.222000,-0.0840,0.7783,-1.1480,1.390
2.223000,0.0222,0.8953,-0.9429,1.300
