time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003,0.2165,-0.0189,0.367,0.426
0.003,0.2671,-0.002,0.3357,0.429
0.006,0.3364,-0.0308,0.2696,0.432
0.013,0.4032,-0.1712,-0.4014,0.594
0.015,0.3905,-0.1722,-0.7916,0.899
0.023,0.0232,0.0555,-0.6327,0.636
0.025,-0.4072,0.1963,-0.4901,0.667
0.031,-0.5855,0.1487,-0.2757,0.664
0.036,-0.5945,0.1848,-0.1229,0.635
0.041,-0.4689,0.1732,-0.0118,0.5
0.047,-0.2259,0.1045,0.0628,0.257
0.052,-0.08,0.0716,0.0873,0.138
0.058,0.0295,0.0436,0.0716,0.089
0.061,0.1051,0.0226,0.0446,0.116
0.067,0.1519,-0.0077,0.0179,0.153
0.073,0.0895,-0.0282,-0.0229,0.097
0.076,0.0655,-0.0295,-0.0396,0.082
0.083,0.0797,-0.0092,-0.0326,0.087
0.087,0.058,-0.0293,-0.0142,0.067
0.097,0.0246,-0.0443,-0.0222,0.055
0.098,0.0411,-0.0496,0.0053,0.065
0.104,0.0385,-0.0429,0.0207,0.061
0.107,-0.0307,-0.041,0.0738,0.09
0.112,-0.0256,-0.0201,0.0672,0.075
0.118,-0.0373,-0.0374,0.0416,0.067
0.134,-0.0274,-0.0332,0.014,0.045
0.135,-0.0106,-0.0339,0.0388,0.053
0.136,0.0273,-0.0489,0.0066,0.056
0.14,0.0793,-0.0446,-0.0232,0.094
0.143,0.1073,-0.0284,0.0162,0.112
0.148,0.121,-0.0315,0.0125,0.126
0.153,0.1132,-0.0415,0.0634,0.136
0.158,0.115,-0.0468,0.1329,0.182
0.163,0.1025,-0.0211,0.1567,0.188
0.168,0.1043,-0.0027,0.1304,0.167
0.173,0.1059,0.0012,0.1115,0.154
0.179,0.1027,-0.0091,0.1045,0.147
0.184,0.0901,0.0044,0.1047,0.138
0.19,0.0822,-0.0369,0.1525,0.177
0.193,0.1218,-0.0517,0.1571,0.205
0.199,0.1113,-0.0354,0.1497,0.19
0.204,0.1366,-0.0763,0.1638,0.227
0.209,0.1737,-0.0955,0.1826,0.269
0.214,0.1987,-0.0672,0.1562,0.262
0.22,0.2093,-0.0629,0.1445,0.262
0.231,0.1724,-0.0873,0.1401,0.239
