time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002000,-0.2808,-0.0553,-0.6067,0.671
0.003000,-0.3223,-0.0213,-0.3852,0.503
0.008000,-0.2806,-0.0282,-0.1985,0.345
0.013000,-0.2035,-0.0590,-0.0126,0.212
0.025000,-0.1721,-0.1113,0.0749,0.218
0.026000,-0.1574,-0.1707,0.1242,0.263
0.028000,-0.1024,-0.2013,0.2283,0.321
0.032000,0.0257,-0.1420,0.2326,0.274
0.041000,0.1268,-0.0335,0.1447,0.195
0.042000,0.1702,0.0121,0.0816,0.189
0.047000,0.1731,-0.0021,0.0310,0.176
0.061000,0.1047,-0.0376,-0.0073,0.111
0.061000,0.0368,-0.0537,-0.0335,0.073
0.062000,0.0336,-0.0340,-0.0311,0.057
0.067000,0.0781,-0.0050,0.0068,0.079
0.076000,0.1247,0.0285,0.0349,0.133
0.077000,0.1380,0.0475,0.0389,0.151
0.081000,0.1182,0.0426,0.0333,0.130
0.094000,0.0942,0.0354,0.0228,0.103
0.094000,0.0848,0.0449,0.0099,0.096
0.095000,0.0949,0.0425,0.0016,0.104
0.102000,0.1004,0.0330,0.0194,0.107
0.128000,0.0608,0.0260,0.0679,0.095
0.129000,-0.0138,0.0023,0.1042,0.105
0.129000,-0.0903,-0.0141,0.0975,0.134
0.129000,-0.1472,-0.0422,0.0458,0.160
0.130000,-0.1588,-0.0676,-0.0151,0.173
0.130000,-0.1204,-0.0738,-0.0565,0.152
0.140000,-0.0611,-0.0538,-0.0667,0.105
0.141000,-0.0142,-0.0174,-0.0435,0.049
0.160000,-0.0011,0.0020,-0.0202,0.020
0.161000,-0.0310,0.0046,-0.0091,0.033
0.161000,-0.0702,-0.0022,0.0020,0.070
0.162000,-0.0950,0.0029,0.0106,0.096
0.175000,-0.1127,0.0246,0.0002,0.115
0.176000,-0.1187,0.0391,-0.0148,0.126
0.176000,-0.1035,0.0416,-0.0321,0.116
0.192000,-0.0721,0.0275,-0.0468,0.090
0.193000,-0.0173,0.0158,-0.0139,0.027
0.193000,0.0560,0.0351,0.0640,0.092
0.194000,0.1146,0.0635,0.1559,0.204
0.229000,0.1539,0.0842,0.2474,0.303
0.230000,0.2002,0.0855,0.3054,0.375
0.230000,0.2272,0.0769,0.3160,0.397
0.231000,0.2185,0.0610,0.2984,0.375
0.231000,0.1935,0.0544,0.2672,0.334
0.231000,0.1664,0.0690,0.2318,0.294
0.232000,0.1493,0.0834,0.1875,0.254
0.232000,0.1444,0.0927,0.1175,0.208
0.240000,0.1589,0.0687,0.0196,0.174
0.241000,0.1663,0.0427,-0.0848,0.191
0.260000,0.1668,0.0430,-0.1839,0.252
0.261000,0.1724,0.0316,-0.2730,0.324
0.261000,0.1733,-0.0033,-0.3380,0.380
0.262000,0.1672,-0.0519,-0.3742,0.413
0.276000,0.1612,-0.0977,-0.3464,0.394
0.277000,0.1458,-0.1239,-0.2833,0.342
0.277000,0.1326,-0.1286,-0.2421,0.304
0.294000,0.1499,-0.1356,-0.2105,0.292
0.295000,0.1999,-0.1569,-0.1646,0.303
0.295000,0.2658,-0.1498,-0.1328,0.333
0.295000,0.3140,-0.1335,-0.1315,0.366
0.328000,0.3471,-0.1199,-0.1794,0.409
0.329000,0.3652,-0.0996,-0.2548,0.456
0.329000,0.3588,-0.0821,-0.3550,0.511
0.329000,0.3377,-0.0553,-0.4469,0.563
0.330000,0.3068,-0.0193,-0.4856,0.575
0.330000,0.2973,-0.0003,-0.5024,0.584
0.330000,0.3330,0.0256,-0.4975,0.599
0.340000,0.4113,0.0679,-0.5020,0.653
0.340000,0.4845,0.1144,-0.5065,0.710
0.362000,0.5290,0.1652,-0.4847,0.736
0.363000,0.5499,0.2107,-0.4726,0.755
0.363000,0.5544,0.2415,-0.4961,0.782
0.364000,0.5687,0.2530,-0.5503,0.831
0.364000,0.5905,0.2526,-0.6139,0.888
0.367000,0.6220,0.2571,-0.6631,0.945
0.377000,0.6465,0.2808,-0.6673,0.971
0.378000,0.6308,0.3093,-0.6388,0.950
0.382000,0.5966,0.3308,-0.6139,0.918
0.409000,0.5369,0.3644,-0.5971,0.882
0.410000,0.4777,0.3864,-0.5791,0.844
0.411000,0.4640,0.3968,-0.5573,0.827
0.411000,0.5026,0.4218,-0.5484,0.855
0.411000,0.5574,0.4517,-0.5283,0.891
0.412000,0.5926,0.4863,-0.5016,0.916
0.421000,0.6081,0.5065,-0.4776,0.924
0.421000,0.6160,0.5241,-0.4417,0.922
0.444000,0.6162,0.5416,-0.3916,0.909
0.445000,0.6016,0.5373,-0.3508,0.880
0.445000,0.6080,0.5257,-0.3264,0.868
0.445000,0.6258,0.5234,-0.3157,0.875
0.445000,0.6098,0.5065,-0.2923,0.845
0.460000,0.5554,0.4704,-0.2111,0.758
0.461000,0.4889,0.4340,-0.1151,0.664
0.461000,0.4175,0.4069,-0.0115,0.583
0.477000,0.3981,0.4010,0.0093,0.565
0.478000,0.4281,0.4065,-0.0211,0.591
0.478000,0.4407,0.4258,-0.0216,0.613
0.478000,0.4479,0.4445,-0.0687,0.635
0.496000,0.4500,0.4343,-0.1407,0.641
0.497000,0.4351,0.4003,-0.2259,0.633
0.498000,0.4486,0.3807,-0.3006,0.661
0.498000,0.4977,0.4016,-0.3412,0.725
0.537000,0.5417,0.4294,-0.3553,0.777
0.538000,0.5620,0.4355,-0.3907,0.811
0.538000,0.5707,0.4179,-0.4355,0.831
0.539000,0.5848,0.4006,-0.4568,0.843
0.539000,0.5925,0.3955,-0.4927,0.866
0.540000,0.6129,0.4025,-0.5291,0.904
0.540000,0.6198,0.3930,-0.5470,0.915
0.541000,0.6206,0.3861,-0.5393,0.908
0.541000,0.5297,0.3817,-0.4823,0.812
0.549000,0.4926,0.2871,-0.4333,0.716
0.550000,0.5350,0.2124,-0.4874,0.754
0.563000,0.4642,0.2310,-0.5015,0.721
0.564000,0.3238,0.2449,-0.4068,0.575
0.564000,0.1423,0.2039,-0.3534,0.432
0.578000,-0.0324,0.1348,-0.3623,0.388
0.579000,-0.1676,0.0709,-0.3973,0.437
0.580000,-0.2729,0.0244,-0.4466,0.524
0.584000,-0.3771,0.0166,-0.5009,0.627
0.623000,-0.4659,0.0066,-0.4674,0.660
0.624000,-0.5374,-0.0151,-0.3275,0.629
0.624000,-0.5820,-0.0367,-0.1531,0.603
0.625000,-0.5883,-0.0703,0.0418,0.594
0.625000,-0.5590,-0.1229,0.2336,0.618
0.626000,-0.5183,-0.1709,0.4108,0.683
0.626000,-0.5140,-0.2097,0.6026,0.819
0.626000,-0.5599,-0.2137,0.7998,0.999
0.628000,-0.6678,-0.2067,0.9552,1.184
0.633000,-0.8276,-0.2033,1.0026,1.316
0.639000,-0.9963,-0.1914,0.9167,1.367
0.643000,-1.1479,-0.1921,0.6743,1.345
0.647000,-1.2753,-0.1979,0.3166,1.329
0.652000,-1.3571,-0.1754,-0.0708,1.370
0.656000,-1.4054,-0.1291,-0.4312,1.476
0.662000,-1.4462,-0.0616,-0.7296,1.621
0.666000,-1.4606,0.0201,-0.9672,1.752
0.678000,-1.4674,0.0851,-1.1496,1.866
0.679000,-1.4427,0.1171,-1.2846,1.935
0.680000,-1.2482,0.1124,-1.4523,1.918
0.685000,-0.9857,0.1589,-1.6798,1.954
0.705000,-0.8633,0.2710,-1.8383,2.049
0.706000,-0.8521,0.3674,-1.8802,2.097
0.706000,-0.8587,0.4050,-1.8605,2.089
0.707000,-0.8280,0.4053,-1.7075,1.940
0.709000,-0.7719,0.3969,-1.4497,1.690
0.714000,-0.7386,0.3749,-1.2206,1.475
0.719000,-0.7473,0.3750,-1.0796,1.365
0.724000,-0.8057,0.3756,-1.0190,1.352
0.729000,-0.8876,0.3385,-1.0148,1.390
0.733000,-0.9741,0.2804,-1.0404,1.453
0.738000,-1.0609,0.2228,-1.0427,1.504
0.743000,-1.1146,0.1703,-1.0263,1.525
0.748000,-1.1570,0.1157,-0.9908,1.528
0.755000,-1.2361,0.0613,-0.9050,1.533
0.758000,-1.3663,0.0142,-0.7783,1.573
0.763000,-1.5286,-0.0328,-0.6156,1.648
0.768000,-1.6777,-0.0797,-0.4334,1.735
0.773000,-1.7515,-0.1052,-0.3126,1.782
0.778000,-1.7237,-0.1069,-0.2772,1.749
0.782000,-1.6134,-0.0849,-0.2890,1.641
0.794000,-1.4610,-0.0533,-0.3146,1.495
0.795000,-1.3069,-0.0338,-0.3183,1.346
0.796000,-1.1990,-0.0335,-0.2788,1.231
0.801000,-1.1371,-0.0332,-0.2223,1.159
0.823000,-1.0853,-0.0258,-0.1751,1.100
0.823000,-1.0172,-0.0209,-0.1347,1.026
0.824000,-0.9664,-0.0281,-0.0820,0.970
0.824000,-0.9496,-0.0547,0.0264,0.952
0.826000,-0.9286,-0.0911,0.1427,0.944
0.830000,-0.8577,-0.1015,0.2143,0.890
0.836000,-0.7297,-0.0980,0.2653,0.783
0.842000,-0.5587,-0.0854,0.3485,0.664
0.845000,-0.3684,-0.0641,0.4473,0.583
0.850000,-0.2089,-0.0578,0.5378,0.580
0.857000,-0.0846,-0.0453,0.6250,0.632
0.860000,0.0046,-0.0336,0.6969,0.698
0.865000,0.0564,-0.0325,0.7369,0.740
0.869000,0.0467,-0.0299,0.7045,0.707
0.874000,-0.0126,-0.0591,0.5659,0.569
0.879000,-0.0762,-0.0984,0.3259,0.349
0.884000,-0.1513,-0.1118,0.0174,0.189
0.896000,-0.2427,-0.1180,-0.3216,0.420
0.898000,-0.3745,-0.1287,-0.6583,0.768
0.898000,-0.5446,-0.1630,-0.9261,1.087
0.903000,-0.6908,-0.1966,-1.1229,1.333
0.925000,-0.7799,-0.2033,-1.2608,1.496
0.926000,-0.8284,-0.1829,-1.3498,1.594
0.926000,-0.8247,-0.1501,-1.4160,1.646
0.927000,-0.7712,-0.1310,-1.4809,1.675
0.927000,-0.7132,-0.1210,-1.5157,1.679
0.933000,-0.6581,-0.0961,-1.4844,1.627
0.937000,-0.5986,-0.0304,-1.3941,1.517
0.942000,-0.5656,0.0691,-1.3019,1.421
0.946000,-0.5812,0.1256,-1.2365,1.372
0.951000,-0.6235,0.1201,-1.1715,1.333
0.956000,-0.6638,0.1315,-1.0854,1.279
0.960000,-0.7258,0.1647,-0.9830,1.233
0.966000,-0.8120,0.2171,-0.8978,1.230
0.975000,-0.8435,0.3007,-0.8320,1.222
0.976000,-0.8009,0.3818,-0.7518,1.163
0.980000,-0.7412,0.4291,-0.6094,1.051
0.985000,-0.7289,0.4666,-0.4333,0.968
0.992000,-0.7707,0.5133,-0.2810,0.968
0.995000,-0.8618,0.5621,-0.1598,1.041
0.999000,-0.9280,0.5986,-0.0694,1.106
1.021000,-0.9044,0.6275,0.0163,1.101
1.021000,-0.8292,0.6657,0.0996,1.068
1.022000,-0.7549,0.6941,0.1564,1.037
1.022000,-0.7224,0.7174,0.2013,1.038
1.024000,-0.7388,0.7571,0.2703,1.092
1.029000,-0.7447,0.7965,0.3275,1.139
1.033000,-0.7116,0.8309,0.3226,1.141
1.038000,-0.6779,0.8938,0.3012,1.162
1.046000,-0.6513,0.9686,0.2847,1.201
1.048000,-0.6486,1.0312,0.2731,1.248
1.052000,-0.7063,1.0604,0.2711,1.303
1.058000,-0.8031,1.0585,0.3172,1.366
1.063000,-0.9011,1.0566,0.4521,1.460
1.067000,-0.9859,1.0857,0.6115,1.589
1.075000,-1.0193,1.1051,0.7570,1.683
1.077000,-1.0011,1.0932,0.8960,1.732
1.081000,-0.9647,1.0666,1.0672,1.791
1.104000,-0.8952,1.0824,1.2926,1.909
1.105000,-0.8853,1.1494,1.9510,2.431
1.106000,-0.8375,1.2437,2.2725,2.723
1.106000,-0.6755,1.3008,1.6713,2.223
1.107000,-0.6314,1.2495,1.0106,1.727
1.111000,-0.7291,1.1167,0.4283,1.401
1.116000,-0.8325,0.9626,-0.1983,1.288
1.121000,-0.9322,0.8713,-0.7935,1.503
1.125000,-0.8319,0.7520,-1.2216,1.658
1.129000,-0.4951,0.6959,-1.4623,1.693
1.135000,-0.2538,0.7963,-1.5353,1.748
