time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.006000,-0.4767,0.0600,0.0365,0.482
0.007000,-0.5277,0.0612,-0.1812,0.561
0.011000,-0.5974,0.0655,-0.3221,0.682
0.020000,-0.5621,0.1370,-0.4451,0.730
0.030000,-0.1740,0.1920,-0.8090,0.849
0.048000,0.6491,0.2886,0.0880,0.716
0.049000,-0.4634,0.2561,-0.0740,0.535
0.060000,0.0301,0.1551,-0.4489,0.476
0.070000,0.1423,0.0501,-0.1192,0.192
0.079000,0.1879,0.0454,-0.2034,0.281
0.089000,-0.0811,0.2253,-0.0833,0.254
0.099000,-0.0127,0.2386,-0.1411,0.278
0.110000,-0.2407,0.0355,-0.0137,0.244
0.120000,-0.3403,-0.0110,-0.0174,0.341
0.135000,-0.1689,-0.0076,-0.0928,0.193
0.141000,-0.2263,0.0163,-0.0552,0.233
0.150000,-0.0899,0.1158,-0.1087,0.182
0.170000,-0.0045,0.1834,-0.1021,0.210
0.172000,-0.0099,0.2288,-0.1230,0.260
0.180000,0.0226,0.2264,-0.2268,0.321
0.191000,-0.0944,0.1489,-0.2403,0.298
0.200000,-0.0945,0.1172,-0.2956,0.332
0.210000,-0.0341,0.1131,-0.2703,0.295
0.220000,0.0388,0.1164,-0.2162,0.249
0.239000,0.1043,0.1258,-0.2034,0.261
0.241000,0.1292,0.1292,-0.2386,0.301
0.250000,0.1611,0.1503,-0.3332,0.399
0.266000,0.1648,0.1618,-0.3684,0.435
0.270000,0.1286,0.1220,-0.3816,0.421
0.280000,0.1261,0.0954,-0.2705,0.313
0.291000,0.1484,0.0716,-0.1119,0.199
0.300000,0.2047,0.1234,0.0661,0.248
0.319000,0.2765,0.1680,0.3277,0.461
0.320000,0.1916,0.1115,-0.1799,0.286
0.330000,0.1338,0.1857,-0.2494,0.339
0.344000,0.1238,0.1476,-0.1656,0.254
0.349000,0.1209,0.1634,-0.1057,0.229
0.360000,0.1621,0.1767,-0.0695,0.250
0.369000,0.2578,0.1866,0.2547,0.408
0.380000,0.2198,0.0225,-0.2750,0.353
0.390000,0.1644,-0.0171,-0.2365,0.289
0.400000,0.1465,-0.0921,-0.1639,0.238
0.410000,0.1301,-0.1752,0.0172,0.219
0.420000,0.0834,-0.2162,0.1488,0.275
0.429000,-0.0247,-0.1818,0.2354,0.299
0.440000,-0.1348,-0.1499,0.2630,0.331
0.450000,-0.2348,-0.1171,0.2335,0.351
0.460000,-0.4217,-0.0486,0.2108,0.474
0.470000,-0.5009,-0.0390,0.2223,0.549
0.480000,-0.5521,-0.0055,0.2195,0.594
0.490000,-0.6425,0.0018,0.2211,0.679
0.499000,-0.7499,-0.0515,0.2245,0.784
0.510000,-0.8304,-0.1101,0.1682,0.854
0.520000,-0.8440,-0.1417,0.1429,0.868
0.533000,-0.7224,-0.0878,0.1390,0.741
0.556000,-0.6060,-0.0359,0.2497,0.656
0.560000,-0.4923,0.0320,0.3788,0.622
0.561000,-0.3853,0.1051,0.5054,0.644
0.569000,-0.2853,0.1856,0.5974,0.688
0.580000,-0.1851,0.2278,0.6964,0.756
0.591000,-0.0803,0.2469,0.7349,0.779
0.600000,-0.0151,0.2036,0.7038,0.733
0.610000,0.0240,0.1227,0.6488,0.661
0.620000,0.0728,0.0318,0.6342,0.639
0.629000,0.1017,-0.0581,0.6699,0.680
0.649000,0.0827,-0.1302,0.7699,0.785
0.651000,0.1153,-0.1327,0.8027,0.822
0.661000,-0.0165,-0.2599,0.7732,0.816
0.670000,0.0300,-0.2520,0.7172,0.761
0.680000,-0.1049,-0.3541,0.6809,0.775
0.691000,-0.1789,-0.4132,0.4934,0.668
0.700000,-0.2822,-0.3999,0.7809,0.922
0.710000,-0.2354,-0.2550,0.7524,0.829
0.720000,-0.2567,-0.2427,0.8682,0.937
0.730000,-0.2925,-0.2724,0.7581,0.857
0.751000,-0.3950,-0.0987,0.7227,0.829
0.753000,-0.4109,-0.2031,0.5592,0.723
0.763000,-0.4246,-0.1976,0.4904,0.678
0.770000,-0.5065,-0.1385,0.4331,0.681
0.780000,-0.4805,-0.1383,0.4100,0.647
0.791000,-0.4832,-0.0916,0.4165,0.644
0.799000,-0.5160,-0.0796,0.4220,0.671
0.810000,-0.4732,-0.0174,0.4044,0.623
0.820000,-0.4695,-0.0342,0.3508,0.587
0.830000,-0.4455,-0.0477,0.2926,0.535
0.841000,-0.4397,0.0071,0.3176,0.542
0.856000,-0.4164,0.0126,0.3504,0.544
0.860000,-0.4359,0.0949,0.4442,0.630
0.869000,-0.4090,0.0860,0.2393,0.482
0.880000,-0.5071,0.0879,0.1342,0.532
0.892000,-0.5744,0.0915,0.2924,0.651
0.900000,-0.5821,0.1098,0.3085,0.668
0.910000,-0.6579,0.0865,0.1827,0.688
0.920000,-0.7059,0.0933,0.2242,0.747
0.932000,-0.7356,0.1866,0.3187,0.823
0.952000,-0.9350,0.3939,0.1746,1.029
0.954000,-1.0211,0.5346,0.0298,1.153
0.964000,-0.9165,0.7715,-0.0214,1.198
0.970000,-0.5820,0.9956,0.0136,1.153
0.979000,-0.1479,1.0967,-0.0056,1.107
0.991000,0.1848,1.0708,-0.2237,1.109
0.999000,0.3249,0.9657,-0.6339,1.200
1.010000,0.2160,0.7240,-0.9375,1.204
1.020000,0.0393,0.4841,-1.0083,1.119
1.029000,-0.0579,0.3239,-0.9807,1.034
1.052000,-0.0986,0.4148,-0.8823,0.980
1.054000,-0.1331,0.6352,-0.5500,0.851
1.060000,0.0599,1.0329,-0.1762,1.050
1.069000,0.3561,1.4411,0.1418,1.491
1.080000,0.7618,1.6517,0.2294,1.833
1.092000,1.1436,1.5696,-0.0679,1.943
1.100000,1.3390,1.2533,-0.6470,1.945
1.110000,1.3567,0.8165,-1.2256,2.002
1.120000,1.2187,0.3200,-1.4823,1.945
1.130000,0.9960,-0.1782,-1.4262,1.749
1.151000,0.6983,-0.6571,-1.2749,1.595
1.153000,0.4215,-1.0266,-1.1379,1.590
1.162000,0.1089,-1.2170,-1.0910,1.638
1.169000,-0.1641,-1.2532,-1.0463,1.641
1.179000,-0.3182,-1.0614,-1.0193,1.506
1.192000,-0.1268,-0.5361,-0.9551,1.103
1.200000,0.0873,0.0472,-0.8500,0.856
1.210000,0.3672,0.5317,-0.6461,0.914
1.219000,0.5445,0.8751,-0.4103,1.109
1.230000,0.8058,1.1669,-0.3347,1.457
1.240000,1.1517,1.3659,-0.3983,1.831
1.252000,1.1881,1.3731,-0.4562,1.872
1.264000,1.0396,1.1523,-0.3912,1.601
1.270000,0.8500,0.8585,-0.2487,1.233
1.280000,0.6543,0.5685,-0.1393,0.878
1.290000,0.5102,0.3287,-0.1458,0.624
1.299000,1.3026,0.1924,-0.4423,1.389
1.313000,-0.0749,-0.2282,0.1508,0.284
