time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.005000,-0.1981,-0.0354,-0.9001,0.922
0.006000,-0.1719,-0.0473,-1.1415,1.155
0.006000,-0.1380,-0.0531,-1.1419,1.151
0.016000,-0.2425,-0.1385,-0.2087,0.349
0.017000,-0.2570,-0.1664,0.6960,0.760
0.021000,-0.3151,-0.1192,0.9664,1.023
0.027000,-0.3189,-0.0713,0.6770,0.752
0.031000,-0.2117,-0.0221,0.1635,0.268
0.036000,-0.1054,0.0149,-0.2888,0.308
0.041000,0.0047,0.0308,-0.4725,0.474
0.052000,0.0738,0.0495,-0.3806,0.391
0.052000,0.1401,0.0519,-0.1623,0.221
0.057000,0.2061,0.1044,0.0013,0.231
0.063000,0.1837,0.1302,0.1164,0.253
0.067000,0.1758,0.1151,0.0743,0.223
0.072000,0.0989,0.1714,-0.1003,0.222
0.080000,0.0131,0.1678,-0.2688,0.317
0.082000,-0.0078,0.1716,-0.3413,0.382
0.089000,-0.0739,0.1757,-0.2950,0.351
0.092000,-0.0470,0.1681,-0.2736,0.324
0.106000,-0.0321,0.1298,-0.1695,0.216
0.106000,-0.0318,0.1489,-0.0567,0.162
0.110000,-0.0009,0.1083,0.0339,0.113
0.113000,-0.0128,0.0632,0.0717,0.096
0.117000,-0.0341,0.0135,0.0219,0.043
0.123000,-0.0053,-0.0193,-0.0200,0.028
0.129000,-0.0337,-0.0566,0.0288,0.072
0.133000,-0.0096,-0.1198,0.0915,0.151
0.138000,0.0045,-0.1896,0.1396,0.235
0.142000,0.0493,-0.2043,0.2019,0.291
0.149000,0.0840,-0.2144,0.2617,0.349
0.153000,0.0687,-0.2602,0.3120,0.412
0.158000,0.0562,-0.2844,0.3149,0.428
0.163000,0.0319,-0.3039,0.2326,0.384
0.170000,-0.0182,-0.2829,0.2057,0.350
0.174000,-0.1035,-0.2693,0.1983,0.350
0.177000,-0.0954,-0.2630,0.1721,0.328
0.184000,-0.0566,-0.2163,0.1866,0.291
0.190000,-0.0184,-0.1869,0.1989,0.274
0.194000,0.0312,-0.0888,0.1519,0.179
0.199000,0.1090,-0.0557,0.0958,0.155
0.204000,0.1102,-0.0182,0.0617,0.128
0.214000,0.0828,0.0189,-0.0125,0.086
0.214000,0.0724,0.0511,-0.0814,0.120
0.219000,0.0905,0.1116,-0.0955,0.173
0.225000,0.0847,0.1575,-0.1499,0.233
0.230000,0.1005,0.1864,-0.1448,0.257
0.234000,0.1210,0.1868,-0.0974,0.243
0.239000,0.1177,0.2014,-0.1051,0.256
0.245000,0.0976,0.1875,-0.0534,0.218
0.250000,0.0847,0.1547,-0.0617,0.187
0.255000,0.0695,0.1413,-0.0510,0.166
0.259000,0.0567,0.1186,-0.0074,0.132
0.265000,0.0535,0.0581,0.0096,0.080
0.271000,0.0384,0.0433,0.0144,0.060
0.275000,0.0615,0.0168,0.0856,0.107
0.280000,0.0630,-0.0048,0.1564,0.169
0.285000,0.1074,-0.0334,0.1104,0.158
0.291000,0.1110,-0.0429,0.1291,0.176
0.303000,0.1409,-0.0857,0.1598,0.230
0.304000,0.1373,-0.1021,0.1120,0.204
0.306000,0.1767,-0.1278,0.0838,0.234
0.311000,0.2040,-0.1464,0.1343,0.285
0.315000,0.1696,-0.1482,0.2012,0.302
0.321000,0.1711,-0.1643,0.1917,0.305
0.330000,0.1630,-0.1471,0.2298,0.318
0.330000,0.1362,-0.1657,0.2276,0.313
0.336000,0.1475,-0.1820,0.2232,0.324
0.341000,0.1301,-0.1816,0.2049,0.303
0.346000,0.0797,-0.1741,0.2035,0.279
0.352000,0.0606,-0.1977,0.2143,0.298
0.356000,0.0890,-0.1617,0.1537,0.240
0.361000,0.0862,-0.1592,0.1508,0.236
0.366000,0.0976,-0.1094,0.0886,0.171
0.373000,0.1300,-0.1004,0.0745,0.180
0.376000,0.1597,-0.0986,0.0297,0.190
0.381000,0.1750,-0.0825,0.0042,0.193
0.386000,0.2115,-0.0356,0.0048,0.215
0.393000,0.2240,-0.0270,-0.0161,0.226
0.399000,0.2362,-0.0207,-0.0275,0.239
0.401000,0.2389,-0.0191,-0.0322,0.242
0.406000,0.2249,0.0015,0.0201,0.226
0.414000,0.2442,0.0220,0.0315,0.247
0.417000,0.2610,0.0187,-0.0215,0.263
0.422000,0.2183,-0.0225,0.0492,0.225
0.428000,0.1902,-0.0276,0.0478,0.198
0.432000,0.1935,-0.0184,0.0034,0.194
0.437000,0.2253,-0.0258,0.0614,0.235
0.442000,0.2662,-0.0045,0.0474,0.270
0.447000,0.2237,-0.0641,0.0688,0.243
0.453000,0.2432,-0.0566,0.0425,0.253
0.458000,0.2367,-0.0253,0.0708,0.248
0.462000,0.2301,-0.0416,0.0628,0.242
0.468000,0.1974,-0.0221,0.1095,0.227
0.474000,0.2077,0.0377,0.1199,0.243
0.478000,0.1822,0.0639,0.1085,0.221
0.482000,0.2139,0.0709,0.1207,0.256
0.489000,0.1932,0.0756,0.1493,0.256
0.495000,0.1822,0.0329,0.2155,0.284
0.498000,0.1142,0.0879,0.1456,0.205
0.503000,0.1037,0.1139,0.1738,0.232
0.508000,0.1170,0.0708,0.1779,0.224
0.516000,0.1017,0.0732,0.1893,0.227
0.517000,0.0697,0.0945,0.1841,0.218
0.522000,0.0357,0.0538,0.1719,0.184
0.528000,0.0233,0.0301,0.1457,0.151
0.533000,0.0038,-0.0291,0.1079,0.112
0.537000,0.0248,-0.0475,0.0468,0.071
0.544000,0.0360,-0.1015,0.0481,0.118
0.548000,0.0686,-0.1431,0.0495,0.166
0.553000,0.0582,-0.1940,0.0224,0.204
0.558000,0.0670,-0.2421,-0.0114,0.251
0.563000,0.0828,-0.2565,-0.0519,0.275
0.569000,0.0890,-0.2971,-0.0682,0.318
0.575000,0.0596,-0.3208,-0.0461,0.330
0.579000,0.0683,-0.3325,-0.0145,0.340
0.584000,0.0841,-0.3537,-0.0330,0.365
0.589000,0.0642,-0.3225,-0.0036,0.329
0.596000,0.0350,-0.2964,0.0139,0.299
0.598000,0.0226,-0.2825,0.0362,0.286
0.604000,0.0340,-0.2284,0.0799,0.244
0.608000,0.0217,-0.1606,0.0476,0.169
0.621000,0.0473,-0.1244,0.0513,0.143
0.623000,0.0679,-0.1004,0.0624,0.136
