time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002000,-0.1143,-0.0777,0.0442,0.145
0.003000,-0.0908,-0.0696,0.1826,0.215
0.006000,-0.0212,-0.0627,0.1201,0.137
0.028000,0.0028,-0.0131,0.1363,0.137
0.028000,0.0266,0.0063,0.1753,0.177
0.028000,0.0871,-0.0031,0.1472,0.171
0.028000,0.1709,0.0244,0.0285,0.175
0.032000,0.1210,0.0385,0.0420,0.134
0.035000,0.1226,0.0394,0.0093,0.129
0.042000,0.0826,0.0178,-0.0539,0.100
0.046000,0.0690,0.0188,-0.1235,0.143
0.051000,0.0509,0.0199,-0.1167,0.129
0.061000,0.0187,0.0151,-0.1328,0.135
0.062000,-0.0404,-0.0170,-0.0338,0.055
0.066000,-0.0992,-0.0108,-0.0237,0.103
0.079000,-0.1078,-0.0106,0.0086,0.109
0.079000,-0.1152,-0.0009,0.0002,0.115
0.081000,-0.0383,-0.0221,0.0072,0.045
0.098000,-0.0474,-0.0349,0.0438,0.073
0.098000,-0.0148,-0.0321,0.0673,0.076
0.099000,-0.0015,-0.0626,-0.0008,0.063
0.102000,0.0153,-0.0738,0.0530,0.092
0.135000,0.0639,-0.0874,-0.0157,0.109
0.135000,0.0719,-0.0581,0.0211,0.095
0.135000,0.1167,-0.0588,0.0089,0.131
0.135000,0.1376,-0.0558,0.0313,0.152
0.135000,0.0824,-0.0743,0.0895,0.143
0.135000,0.0801,-0.0772,0.0617,0.127
0.141000,0.0518,-0.0789,0.0198,0.096
0.142000,0.0203,-0.1102,0.0176,0.113
0.148000,-0.0073,-0.1163,0.0175,0.118
0.152000,0.0140,-0.0998,0.0304,0.105
0.162000,0.0363,-0.0929,0.0419,0.108
0.162000,-0.0023,-0.1110,0.0819,0.138
0.168000,-0.0004,-0.1373,0.0323,0.141
0.182000,-0.0021,-0.1432,0.0412,0.149
0.182000,-0.0122,-0.1193,0.0157,0.121
0.182000,0.1132,-0.1503,0.0009,0.188
0.199000,0.1141,-0.1798,-0.0104,0.213
0.199000,0.1933,-0.1794,-0.0047,0.264
0.199000,0.1900,-0.1789,-0.0231,0.262
0.203000,0.2011,-0.1618,0.0559,0.264
0.234000,0.2086,-0.1211,0.0013,0.241
0.234000,0.2183,-0.0570,0.0279,0.227
0.234000,0.1984,-0.0290,0.1087,0.228
0.234000,0.2036,-0.0096,0.1842,0.275
0.234000,0.1551,0.0726,0.1963,0.261
0.234000,0.0890,0.1588,0.2856,0.339
0.238000,0.0420,0.2193,0.2986,0.373
