time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.004000,-0.0073,0.0035,-0.0497,0.050
0.005000,0.0302,0.0133,0.0898,0.096
0.005000,0.0530,-0.0055,0.1191,0.131
0.013000,0.0852,-0.0123,0.0890,0.124
0.014000,0.0793,-0.0310,0.0356,0.092
0.021000,0.0304,-0.0448,0.0137,0.056
0.025000,-0.0727,-0.0632,0.0609,0.114
0.031000,-0.1442,-0.0412,0.0485,0.158
0.035000,-0.1728,-0.0147,0.0247,0.175
0.046000,-0.1373,-0.0027,0.0487,0.146
0.047000,-0.1094,-0.0288,0.0295,0.117
0.051000,-0.0154,-0.0381,0.0295,0.051
0.061000,0.0491,0.0144,0.1007,0.113
0.063000,0.1676,-0.0023,0.1046,0.198
0.065000,0.2376,0.0096,0.1560,0.284
0.087000,0.2166,0.0000,0.1784,0.281
0.088000,0.1697,-0.0237,0.2173,0.277
0.088000,0.1469,-0.0022,0.2631,0.301
0.089000,0.1004,0.0239,0.2302,0.252
0.092000,0.0778,0.0379,0.1881,0.207
0.096000,0.0505,0.0209,0.1677,0.176
0.101000,0.0897,0.0111,0.1358,0.163
0.118000,0.1001,0.0204,0.1136,0.153
0.119000,0.1223,0.0177,0.1319,0.181
0.119000,0.1252,-0.0086,0.1497,0.195
0.133000,0.2014,-0.0276,0.1268,0.240
0.134000,0.3057,-0.0559,0.1826,0.360
0.134000,0.2929,-0.0436,0.1905,0.352
0.148000,0.2709,-0.0908,0.1414,0.319
0.149000,0.2657,-0.1067,0.0928,0.301
0.150000,0.2084,-0.1296,0.0634,0.253
0.153000,0.1395,-0.1523,0.0272,0.208
0.164000,0.1521,-0.1605,0.0696,0.232
0.165000,0.1359,-0.1948,0.0712,0.248
0.167000,0.1199,-0.1742,0.0917,0.230
0.180000,0.0873,-0.1561,0.0455,0.185
0.181000,0.0976,-0.1096,0.1063,0.181
0.182000,0.1457,-0.0729,0.2350,0.286
0.205000,0.1479,-0.0627,0.2912,0.333
0.206000,0.1666,-0.0596,0.3207,0.366
0.207000,0.1732,-0.0638,0.3858,0.428
0.207000,0.1584,-0.0751,0.4271,0.462
0.208000,0.1365,-0.1292,0.3618,0.408
0.212000,0.1383,-0.1498,0.3048,0.367
0.217000,0.1542,-0.2059,0.2342,0.348
0.230000,0.1532,-0.2544,0.2380,0.381
0.230000,0.1878,-0.2527,0.2348,0.393
0.233000,0.2860,-0.2320,0.2482,0.444
0.247000,0.3597,-0.2305,0.3400,0.546
0.248000,0.4448,-0.2408,0.2981,0.587
0.248000,0.5130,-0.1965,0.2805,0.617
0.253000,0.5908,-0.2120,0.2091,0.662
0.265000,0.5761,-0.2180,0.0676,0.620
0.266000,0.4984,-0.1504,0.0327,0.522
0.269000,0.3579,-0.1166,-0.0158,0.377
0.280000,0.2996,-0.0188,0.0047,0.300
0.281000,0.2158,0.0662,-0.0014,0.226
0.284000,0.1942,0.0771,0.2297,0.311
0.298000,0.1891,0.0451,0.4395,0.481
0.299000,0.2334,-0.0033,0.5527,0.600
0.299000,0.2818,-0.0704,0.5395,0.613
0.316000,0.2916,-0.1538,0.4154,0.530
0.317000,0.3677,-0.2698,0.2955,0.543
0.317000,0.3697,-0.3279,0.1883,0.529
0.319000,0.3051,-0.4044,0.1055,0.517
0.337000,0.2336,-0.4588,0.1628,0.540
0.339000,0.2335,-0.5838,0.2331,0.671
0.339000,0.1688,-0.7552,0.2995,0.830
0.347000,0.0974,-0.9132,0.3862,0.996
0.348000,-0.0306,-1.0722,0.5932,1.226
0.349000,-0.2720,-1.2251,0.8912,1.539
0.362000,-0.5383,-1.2867,1.0850,1.767
0.364000,-0.8037,-1.2814,1.2253,1.947
0.364000,-0.9332,-1.3429,1.1773,2.015
0.370000,-0.9085,-1.4232,0.9666,1.946
