time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.004000,-0.0688,0.1251,-0.5441,0.563
0.004000,-0.3063,0.1249,-0.8694,0.930
0.008000,-0.4118,0.0636,-0.9935,1.077
0.042000,-0.4875,0.0521,-0.9928,1.107
0.043000,-0.5422,0.0352,-0.9430,1.088
0.043000,-0.6583,0.0355,-0.6231,0.907
0.043000,-0.6694,0.0227,-0.2293,0.708
0.043000,-0.3855,0.0350,-0.1644,0.421
0.044000,0.0725,0.0677,-0.3897,0.402
0.044000,0.0361,0.0009,-0.1973,0.201
0.048000,-0.0724,-0.0463,0.0312,0.091
0.061000,-0.1319,-0.1085,0.1996,0.263
0.061000,-0.0193,-0.1384,0.2566,0.292
0.062000,0.0551,-0.2195,0.3023,0.378
0.079000,0.0850,-0.2990,0.4437,0.542
0.080000,0.1029,-0.3533,0.4092,0.550
0.080000,0.0875,-0.3802,0.4440,0.591
0.083000,0.0926,-0.4321,0.4879,0.658
0.096000,0.0716,-0.4923,0.4637,0.680
0.096000,0.0237,-0.5071,0.4133,0.655
0.098000,-0.0252,-0.5518,0.4570,0.717
0.162000,-0.0323,-0.5227,0.4532,0.693
0.162000,-0.0370,-0.5618,0.5014,0.754
0.162000,-0.0168,-0.5556,0.5676,0.794
0.163000,0.0211,-0.5307,0.6042,0.805
0.163000,-0.0116,-0.4826,0.6331,0.796
0.163000,0.0154,-0.3508,0.6353,0.726
0.163000,0.0007,-0.3391,0.6905,0.769
0.163000,-0.0057,-0.2970,0.7000,0.760
0.163000,0.0151,-0.2140,0.6710,0.704
0.164000,0.0193,-0.0927,0.5398,0.548
0.164000,0.0296,-0.0094,0.5387,0.540
0.164000,0.0647,0.0931,0.3837,0.400
0.164000,0.0486,0.1662,0.3065,0.352
0.169000,0.0470,0.2492,0.2743,0.374
0.174000,0.0928,0.3233,0.1105,0.354
0.179000,0.0823,0.3624,0.0630,0.377
0.200000,0.0721,0.4012,-0.1529,0.435
0.200000,0.0608,0.4364,-0.1587,0.468
0.201000,0.0935,0.4775,-0.2697,0.556
0.201000,0.1022,0.4520,-0.3782,0.598
0.204000,0.0430,0.4425,-0.4014,0.599
0.209000,0.0210,0.4014,-0.4910,0.635
0.214000,-0.0294,0.3990,-0.5063,0.645
0.239000,-0.0082,0.3424,-0.5191,0.622
0.239000,-0.0320,0.2866,-0.5505,0.621
0.240000,0.0065,0.2470,-0.5967,0.646
0.240000,-0.1116,0.1997,-0.5308,0.578
0.240000,-0.1279,0.2080,-0.4966,0.553
0.245000,-0.1028,0.1677,-0.4019,0.447
0.250000,0.0018,0.1387,-0.3822,0.407
0.262000,-0.0274,0.0969,-0.2053,0.229
0.262000,-0.0313,0.0640,-0.2427,0.253
0.266000,0.0598,0.0327,-0.1936,0.205
0.277000,0.0636,0.0112,-0.1057,0.124
0.277000,0.1044,0.0219,0.0016,0.107
0.281000,0.0788,-0.0566,0.0393,0.105
0.296000,0.0598,-0.1083,0.0308,0.128
0.296000,-0.0075,-0.1051,0.0799,0.132
0.297000,-0.0470,-0.1033,0.0553,0.126
0.301000,-0.1360,-0.0979,0.0371,0.172
0.328000,-0.1330,-0.0974,-0.0094,0.165
0.328000,-0.1327,-0.1137,-0.0375,0.179
0.328000,-0.0544,-0.0704,-0.0058,0.089
0.329000,0.0387,-0.0941,0.0220,0.104
0.329000,0.0407,-0.0784,0.0984,0.132
0.332000,0.0892,-0.0450,0.1483,0.179
0.343000,0.1516,-0.0512,0.1552,0.223
0.343000,0.1624,-0.0611,0.1732,0.245
0.346000,0.1615,-0.0948,0.1703,0.253
0.351000,0.1700,-0.1236,0.1669,0.268
0.359000,0.2436,-0.1073,0.1700,0.316
0.362000,0.2321,-0.1187,0.1132,0.284
0.367000,0.2310,-0.1183,0.1489,0.299
0.378000,0.2190,-0.1525,0.0968,0.284
0.378000,0.1881,-0.1129,0.0311,0.222
0.382000,0.1525,-0.1176,0.0480,0.198
0.395000,0.1431,-0.0973,0.1100,0.205
0.396000,0.1287,-0.1034,0.0502,0.173
0.398000,0.1499,-0.1094,0.0350,0.189
0.430000,0.1042,-0.1106,0.0483,0.159
0.430000,0.1405,-0.1225,0.0353,0.190
0.430000,0.0967,-0.1023,0.0593,0.153
0.431000,0.0756,-0.0954,0.0249,0.124
0.431000,0.0795,-0.1159,0.0827,0.163
0.431000,0.1095,-0.0876,0.0794,0.161
0.432000,0.1260,-0.0917,0.0287,0.158
0.438000,0.1924,-0.0874,0.1403,0.254
0.443000,0.2013,-0.0821,0.1098,0.244
0.448000,0.2101,-0.0282,0.1012,0.235
0.456000,0.1834,-0.0151,0.1401,0.231
0.458000,0.1913,0.0097,0.1243,0.228
0.463000,0.1600,0.0485,0.1266,0.210
0.468000,0.1956,0.0692,0.1454,0.253
0.473000,0.1987,0.0422,0.0845,0.220
0.478000,0.1970,0.0285,0.1061,0.226
0.484000,0.1859,0.0565,0.0752,0.208
0.490000,0.2020,0.0534,0.0503,0.215
0.493000,0.2307,0.0219,0.0350,0.234
0.498000,0.2795,0.0014,0.0254,0.281
0.521000,0.2744,-0.0497,-0.0223,0.280
0.521000,0.2588,-0.0789,-0.0403,0.274
0.521000,0.2894,-0.0840,-0.0144,0.302
0.521000,0.3150,-0.1293,0.0201,0.341
0.523000,0.3108,-0.1694,0.0327,0.355
0.529000,0.3066,-0.1937,0.0642,0.368
0.534000,0.3143,-0.2154,0.1286,0.402
0.539000,0.3182,-0.2512,0.1225,0.424
0.544000,0.3353,-0.2938,0.1890,0.484
0.549000,0.3263,-0.2376,0.1849,0.444
0.554000,0.3481,-0.2555,0.1634,0.462
0.560000,0.3888,-0.1926,0.2207,0.487
0.565000,0.3507,-0.1327,0.2481,0.450
0.570000,0.2916,-0.1279,0.2693,0.417
0.575000,0.2921,-0.0804,0.2429,0.388
0.580000,0.2937,-0.0203,0.2274,0.372
0.585000,0.3012,0.0394,0.1679,0.347
0.590000,0.2838,0.0916,0.2050,0.362
0.595000,0.2828,0.1243,0.1976,0.367
0.600000,0.2664,0.1698,0.1759,0.362
0.609000,0.2845,0.1877,0.1826,0.387
0.610000,0.2979,0.2270,0.1830,0.417
0.615000,0.3230,0.2636,0.2330,0.478
0.633000,0.3098,0.2680,0.1778,0.447
0.634000,0.3326,0.2427,0.1976,0.457
0.634000,0.3103,0.2190,0.2311,0.445
0.635000,0.2872,0.1480,0.2451,0.406
0.640000,0.2680,0.1287,0.2138,0.366
0.645000,0.2554,0.0419,0.2159,0.337
