time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.007000,0.5924,1.0601,-4.0435,4.222
0.007000,0.8487,1.1033,-3.1155,3.412
0.007000,1.0879,0.9901,-1.9474,2.441
0.008000,1.3350,0.8051,-0.6690,1.696
0.008000,1.6187,0.6472,0.4655,1.804
0.008000,1.9241,0.4669,1.4959,2.482
0.008000,2.2006,0.2700,2.4095,3.274
0.008000,2.3819,0.0956,3.2891,4.062
0.032000,2.3903,-0.1053,4.0258,4.683
0.033000,2.2341,-0.2787,4.5320,5.060
0.033000,1.9829,-0.4222,4.7074,5.125
0.033000,1.6078,-0.5099,4.5644,4.866
0.034000,1.1465,-0.6133,4.3373,4.528
0.040000,0.6438,-0.7178,3.9996,4.114
0.043000,0.1539,-0.7918,3.5266,3.618
0.056000,-0.2523,-0.8276,2.9970,3.119
0.057000,-0.5280,-0.8340,2.4053,2.600
0.057000,-0.6720,-0.8081,1.7963,2.081
0.061000,-0.7902,-0.7444,1.2674,1.669
0.070000,-0.7779,-0.6352,0.7584,1.258
0.070000,-0.7069,-0.4657,0.3499,0.916
0.076000,-0.6297,-0.2020,0.0917,0.668
0.084000,-0.5050,0.2041,-0.1242,0.559
0.085000,-0.3462,0.6571,-0.2431,0.781
0.091000,-0.1519,1.1455,-0.3276,1.201
0.096000,-0.0144,1.4973,-0.3539,1.539
0.099000,-0.1116,1.5933,-0.2644,1.619
0.106000,-0.3541,1.4501,-0.1548,1.501
0.109000,-0.2229,1.2619,-0.2402,1.304
0.113000,-0.0163,1.0480,-0.4463,1.139
0.119000,0.2361,0.7627,-0.5672,0.979
0.122000,0.5081,0.3003,-0.3059,0.665
0.141000,0.7967,-0.2996,-0.0278,0.852
0.142000,1.0528,-0.9014,-0.0073,1.386
0.142000,1.1448,-1.4651,-0.1460,1.865
0.142000,1.0805,-1.8212,-0.2857,2.137
0.154000,0.8871,-1.9302,-0.2446,2.138
0.154000,0.6669,-1.8385,-0.0990,1.958
0.164000,0.4297,-1.5995,0.1585,1.664
0.164000,0.2047,-1.2860,0.4587,1.381
0.173000,0.0360,-0.9414,0.7565,1.208
0.173000,-0.0496,-0.5446,0.9708,1.114
0.176000,-0.0064,-0.1791,1.0776,1.092
0.185000,0.1608,0.1432,1.0434,1.065
0.186000,0.3637,0.4279,0.9015,1.062
0.190000,0.5984,0.6519,0.7424,1.155
0.196000,0.8344,0.8714,0.4937,1.304
0.199000,1.0799,1.0639,0.1046,1.520
0.205000,1.2807,1.2546,-0.3848,1.834
0.210000,1.4331,1.4238,-0.8583,2.195
0.217000,1.4611,1.4304,-1.0526,2.300
0.219000,1.7012,1.4424,-1.7252,2.820
0.224000,1.3083,0.7584,-1.8878,2.419
0.229000,0.6377,0.0517,-1.2746,1.426
0.233000,0.2897,-0.4763,-1.3453,1.456
0.238000,0.1222,-0.8999,-1.5302,1.779
0.243000,-0.0629,-1.2514,-1.4220,1.895
0.246000,-0.1755,-1.4534,-1.1924,1.888
0.252000,-0.1422,-1.4639,-0.8700,1.709
0.256000,0.0724,-1.3220,-0.5525,1.435
0.273000,0.3912,-1.0261,-0.1872,1.114
0.274000,0.7955,-0.7418,0.2216,1.110
0.274000,1.1568,-0.5321,0.6311,1.421
0.274000,1.4065,-0.4045,1.0011,1.773
0.281000,1.5837,-0.3187,1.3390,2.098
0.289000,1.7752,-0.2581,1.5612,2.378
0.293000,1.9597,-0.2012,1.7564,2.639
0.313000,2.1566,-0.1338,1.8315,2.833
0.314000,2.3009,-0.1055,1.8293,2.941
0.314000,2.4500,-0.1632,1.3716,2.813
0.314000,2.5161,-0.1852,1.8534,3.131
0.314000,2.5688,-0.1294,2.2840,3.440
0.327000,2.5487,-0.2183,2.4055,3.511
0.327000,2.4675,-0.2966,2.4166,3.466
0.348000,2.4015,-0.3568,2.2982,3.343
0.348000,2.3317,-0.3821,2.1603,3.202
0.348000,2.3282,-0.3697,2.0314,3.112
0.348000,2.3553,-0.3286,1.8012,2.983
0.349000,2.3508,-0.2797,1.5412,2.825
0.358000,2.2208,-0.2299,1.2561,2.562
0.358000,1.9411,-0.1666,0.9265,2.157
0.377000,1.6004,-0.1943,0.6166,1.726
0.377000,1.3327,-0.2000,0.3285,1.387
0.378000,1.1448,-0.2166,0.0356,1.166
0.378000,0.9813,-0.2700,-0.1953,1.036
0.390000,0.8685,-0.3190,-0.4603,1.033
0.390000,0.8443,-0.3799,-0.7188,1.172
0.390000,0.8487,-0.4332,-0.9543,1.349
0.433000,0.8499,-0.4737,-1.2101,1.553
0.434000,0.8309,-0.5468,-1.3474,1.675
0.434000,0.7742,-0.5833,-1.4431,1.738
0.435000,0.6841,-0.6168,-1.4371,1.707
0.435000,0.6273,-0.6238,-1.3486,1.613
0.436000,0.5557,-0.6289,-1.2037,1.467
0.436000,0.5424,-0.6065,-1.1003,1.368
0.437000,0.5629,-0.5357,-1.0307,1.291
0.437000,0.6115,-0.4439,-0.9253,1.195
0.437000,0.6998,-0.3290,-0.8461,1.146
