time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.005000,0.9311,0.8413,-0.6613,1.418
0.006000,0.9148,0.9886,-0.5028,1.438
0.006000,0.9087,1.0598,-0.3054,1.429
0.040000,0.8649,1.0212,-0.1073,1.343
0.040000,0.7809,0.8610,0.0846,1.165
0.040000,0.7093,0.6631,0.2298,0.998
0.041000,0.7102,0.5374,0.3624,0.962
0.041000,0.7115,0.4717,0.5642,1.023
0.041000,0.6127,0.3893,0.7132,1.018
0.042000,0.4754,0.2807,0.7381,0.922
0.042000,0.4026,0.1507,0.7058,0.826
0.048000,0.4278,0.0615,0.6643,0.792
0.052000,0.4911,0.0249,0.6209,0.792
0.058000,0.5355,0.0026,0.5829,0.792
0.061000,0.5562,-0.0246,0.6249,0.837
0.066000,0.5533,-0.0761,0.7401,0.927
0.078000,0.5100,-0.1565,0.8329,0.989
0.078000,0.3663,-0.2804,0.9131,1.023
0.082000,0.1528,-0.4596,0.9785,1.092
0.128000,-0.0666,-0.6106,1.0129,1.185
0.128000,-0.2735,-0.6810,1.0143,1.252
0.129000,-0.4588,-0.6854,0.9784,1.280
0.129000,-0.6228,-0.6956,0.9509,1.333
0.129000,-0.7248,-0.7451,0.9485,1.407
0.130000,-0.7286,-0.8028,0.9424,1.436
0.130000,-0.7132,-0.8327,0.9373,1.442
0.130000,-0.7144,-0.8013,0.9042,1.404
0.130000,-0.6837,-0.7204,0.8140,1.284
0.131000,-0.5947,-0.6377,0.6996,1.118
0.138000,-0.4948,-0.5746,0.5989,0.966
0.139000,-0.4031,-0.5023,0.5211,0.829
0.159000,-0.3099,-0.4088,0.4300,0.669
0.159000,-0.2391,-0.2963,0.3490,0.517
0.160000,-0.2213,-0.1863,0.3112,0.425
0.160000,-0.1698,-0.1240,0.2970,0.364
0.173000,-0.0653,-0.1190,0.2849,0.316
0.174000,-0.0249,-0.1353,0.2673,0.301
0.174000,-0.0511,-0.1560,0.2323,0.284
0.178000,-0.0865,-0.1836,0.1655,0.262
0.182000,-0.1143,-0.2204,0.0667,0.257
0.218000,-0.1659,-0.2521,-0.0402,0.304
0.219000,-0.2749,-0.2643,-0.1099,0.397
0.219000,-0.4131,-0.2714,-0.1495,0.516
0.219000,-0.4896,-0.2784,-0.1730,0.589
0.219000,-0.4877,-0.2516,-0.1854,0.579
0.220000,-0.4525,-0.2032,-0.2009,0.535
0.220000,-0.4093,-0.2599,0.2018,0.525
0.226000,-0.1413,-0.3214,1.6023,1.640
0.227000,0.1231,-0.2538,2.2965,2.314
0.231000,-0.1197,-0.1718,1.2777,1.295
0.242000,-0.3933,-0.0899,0.5066,0.648
0.243000,-0.2520,-0.0489,0.9019,0.938
0.245000,-0.2093,-0.2138,1.1740,1.212
0.250000,-0.4959,-0.4410,0.2566,0.712
0.259000,-0.4711,-0.2832,-1.0911,1.222
0.259000,-0.0754,0.1204,-2.3328,2.337
0.265000,0.4676,0.6118,-3.1576,3.250
0.275000,1.2853,1.3177,-3.1426,3.642
0.276000,2.0106,1.9269,-2.3122,3.620
0.280000,2.2521,2.1023,-0.9059,3.211
0.285000,2.1030,1.8804,0.4948,2.864
0.293000,1.6700,1.3620,1.4212,2.581
0.294000,1.0745,0.7125,1.9072,2.302
0.299000,0.6025,0.1164,2.0721,2.161
0.344000,0.3173,-0.4407,1.8824,1.959
0.345000,0.0524,-0.9014,1.5389,1.784
0.345000,-0.2627,-1.1893,1.1439,1.671
0.345000,-0.6075,-1.4193,0.5960,1.655
0.346000,-0.8551,-1.6343,0.0120,1.845
0.346000,-0.8759,-1.6671,-0.3615,1.918
0.346000,-0.7744,-1.4630,-0.3807,1.699
0.346000,-0.8399,-1.1204,-0.1021,1.404
0.347000,-0.8613,-0.7350,0.2259,1.155
0.347000,-0.5386,-0.2545,0.5127,0.786
0.353000,-0.3097,0.2065,0.9526,1.023
0.361000,-0.3180,0.3968,1.3231,1.418
0.361000,-0.4301,0.3623,1.2679,1.387
0.366000,-0.6683,0.1941,0.9759,1.199
0.371000,-0.8558,-0.0476,0.7049,1.110
0.376000,-1.0048,-0.3245,0.4783,1.159
0.380000,-1.0294,-0.4930,0.0584,1.143
0.408000,-0.9369,-0.5389,-0.4642,1.176
0.408000,-0.8661,-0.6224,-0.6502,1.249
0.409000,-0.6701,-0.6814,-0.4309,1.048
0.409000,-0.2834,-0.5915,-0.2069,0.688
0.409000,0.1077,-0.3864,-0.2375,0.466
0.410000,0.2357,-0.2074,-0.4591,0.556
0.419000,0.1436,-0.1047,-0.7242,0.746
0.419000,0.0704,0.0005,-0.9406,0.943
0.427000,0.0304,0.0556,-1.2170,1.219
0.429000,-0.0914,0.0032,-1.7415,1.744
0.434000,-0.2643,-0.1090,-2.5374,2.553
0.440000,-0.4697,-0.2475,-3.3287,3.371
0.443000,-0.6194,-0.3692,-3.8296,3.897
0.448000,-0.5670,-0.4477,-4.1150,4.178
0.457000,-0.3527,-0.4306,-4.2353,4.272
0.458000,-0.0642,-0.2817,-4.2039,4.214
0.463000,0.1820,-0.0514,-4.0747,4.079
0.468000,0.2161,0.1122,-3.7498,3.758
0.476000,0.0019,0.0826,-3.1742,3.175
0.477000,-0.2940,-0.0536,-2.3119,2.331
0.483000,-0.4569,-0.1147,-1.2414,1.328
0.496000,-0.4754,-0.0505,-0.3002,0.565
0.497000,-0.5490,-0.0525,0.4136,0.689
0.497000,-0.6657,-0.2022,1.1798,1.370
0.502000,-0.6051,-0.3106,2.0312,2.142
0.542000,-0.3184,-0.2897,2.6128,2.648
0.543000,0.0064,-0.2092,2.7990,2.807
0.543000,0.2096,-0.2176,2.8797,2.895
0.544000,0.4238,-0.2791,3.0436,3.086
0.544000,0.8127,-0.2695,3.2017,3.314
0.544000,1.2721,-0.1675,3.2890,3.530
0.545000,1.5973,-0.0355,3.3364,3.699
0.545000,1.7337,0.0427,3.3197,3.745
0.545000,1.6881,0.0338,3.1070,3.536
0.557000,1.5103,-0.0741,2.7096,3.103
0.557000,1.3385,-0.2159,2.3202,2.687
0.576000,1.3086,-0.3486,1.9613,2.383
0.577000,1.3336,-0.5125,1.4875,2.063
0.577000,1.2961,-0.7216,0.8921,1.731
0.577000,1.2942,-0.8898,0.2305,1.587
0.622000,1.3260,-1.0003,-0.4960,1.733
0.623000,1.1883,-1.0028,-1.1482,1.933
0.623000,1.3681,-0.8184,-2.0141,2.569
0.624000,1.8783,-0.5621,-2.9186,3.516
0.624000,1.8805,-0.4012,-2.9278,3.503
0.624000,1.2767,-0.3860,-2.0277,2.427
0.625000,0.4065,-0.4491,-0.9914,1.162
0.625000,-0.3444,-0.5164,-0.2304,0.662
0.625000,-0.8843,-0.6764,0.3289,1.161
0.625000,-1.1987,-0.6614,0.8125,1.592
0.656000,-1.2005,-0.1945,1.0594,1.613
0.656000,-0.8428,0.4725,1.1161,1.476
0.656000,-0.3575,0.9160,1.2442,1.586
0.657000,-0.1941,0.8922,1.5446,1.794
0.657000,-0.2810,0.6169,1.9439,2.059
0.657000,-0.3525,0.3342,2.2631,2.315
0.658000,-0.2910,0.1517,2.3951,2.417
0.689000,-0.0692,0.0619,2.2422,2.244
0.690000,0.1577,-0.0404,1.9168,1.924
