time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003000,0.0019,0.2811,0.9120,0.954
0.003000,0.0323,0.3295,0.9163,0.974
0.008000,-0.0164,0.2799,0.8530,0.898
0.013000,-0.1224,0.1878,0.7606,0.793
0.020000,-0.2164,0.1199,0.6368,0.683
0.025000,-0.2344,0.0928,0.4913,0.552
0.028000,-0.1958,0.0681,0.3503,0.407
0.033000,-0.1677,0.0222,0.1968,0.260
0.038000,-0.1927,-0.0518,-0.0098,0.200
0.043000,-0.2419,-0.1204,-0.1958,0.334
0.048000,-0.2318,-0.1193,-0.3380,0.427
0.051000,-0.2199,-0.1324,-0.4773,0.542
0.057000,-0.2227,-0.1521,-0.6072,0.664
0.061000,-0.1376,-0.0906,-0.7042,0.723
0.066000,-0.0601,-0.0411,-0.8021,0.805
0.071000,0.0027,-0.0390,-0.9391,0.940
0.076000,0.0916,-0.0555,-1.0463,1.052
0.080000,0.0760,-0.1102,-1.1320,1.140
0.085000,-0.0233,-0.1667,-1.2153,1.227
0.090000,-0.0529,-0.1700,-1.2578,1.270
0.097000,0.0112,-0.1227,-1.2286,1.235
0.099000,0.0712,-0.1061,-1.2233,1.230
0.106000,0.0866,-0.1224,-1.2826,1.291
0.110000,0.0979,-0.1120,-1.3037,1.312
0.115000,0.0786,-0.0941,-1.2792,1.285
0.119000,0.0476,-0.0351,-1.2088,1.210
0.124000,0.0237,0.0195,-1.1046,1.105
0.130000,-0.0695,-0.0453,-0.9782,0.982
0.134000,-0.1458,-0.1672,-0.8127,0.842
0.139000,-0.0471,-0.1906,-0.6603,0.689
0.143000,0.2294,-0.0704,-0.4514,0.511
0.149000,0.3847,0.0067,-0.2455,0.456
0.154000,0.3111,-0.0836,-0.1235,0.345
0.159000,0.2479,-0.1930,-0.0398,0.317
0.169000,0.2906,-0.1779,-0.0350,0.343
0.169000,0.3382,-0.0600,-0.0515,0.347
0.172000,0.2228,-0.0021,-0.0677,0.233
0.177000,0.0665,-0.0853,-0.0860,0.138
0.182000,0.0275,-0.2116,-0.0752,0.226
0.190000,0.0940,-0.2206,-0.0520,0.245
0.192000,0.2351,-0.1006,0.0029,0.256
0.196000,0.2042,-0.0980,0.0894,0.244
0.201000,0.0562,-0.2008,0.1145,0.238
0.208000,0.0518,-0.1961,0.1404,0.247
0.212000,0.0397,-0.1485,0.1986,0.251
0.216000,-0.0830,-0.1730,0.2005,0.278
0.220000,-0.1513,-0.1858,0.2155,0.322
0.226000,-0.1773,-0.1581,0.2365,0.335
0.231000,-0.2400,-0.1738,0.2131,0.365
0.236000,-0.1766,-0.1252,0.2077,0.300
0.240000,0.0253,0.0117,0.2845,0.286
0.247000,-0.0170,-0.0336,0.3813,0.383
0.250000,-0.0376,-0.0861,0.3327,0.346
0.256000,0.2315,0.0216,0.2680,0.355
0.260000,0.2903,0.0621,0.2396,0.381
0.265000,0.1506,0.0116,0.1948,0.247
0.270000,0.0203,-0.0867,0.1479,0.173
0.274000,0.0476,-0.0845,0.0655,0.117
0.286000,0.1391,-0.0107,0.0695,0.156
0.287000,0.1803,0.0750,0.0952,0.217
0.289000,0.2025,0.1103,0.1257,0.263
0.294000,0.0931,-0.0050,0.1275,0.158
0.310000,0.0074,-0.0699,0.0789,0.106
0.311000,0.0504,0.0421,0.0185,0.068
0.311000,0.1386,0.2042,-0.0321,0.249
0.314000,0.2244,0.2777,-0.0110,0.357
0.318000,0.2196,0.2076,-0.0092,0.302
0.323000,0.1239,0.0707,-0.0362,0.147
0.327000,0.0927,0.0487,-0.0993,0.144
0.333000,0.0874,0.0962,-0.1336,0.186
0.337000,0.0291,0.0575,-0.1058,0.124
0.342000,0.0682,-0.1341,-0.0230,0.152
0.347000,0.0351,-0.2635,0.1318,0.297
0.352000,-0.0752,-0.1703,0.0451,0.192
0.356000,-0.0640,-0.0964,-0.1227,0.169
0.361000,0.2847,-0.1039,0.1067,0.321
0.370000,0.7818,-0.0493,0.1997,0.808
0.371000,0.6568,0.0075,0.1497,0.674
0.376000,0.2590,-0.0554,0.2604,0.371
0.381000,0.1698,-0.0705,0.3143,0.364
0.384000,0.2336,-0.0117,0.3688,0.437
0.390000,0.3740,0.0685,0.4216,0.568
0.395000,0.5528,0.1795,0.4033,0.707
0.400000,0.6748,0.2424,0.3592,0.802
0.404000,0.7837,0.3028,0.4134,0.936
0.409000,0.9470,0.4134,0.4220,1.116
0.414000,1.1025,0.5240,0.1788,1.234
0.419000,1.1592,0.5534,-0.1707,1.296
0.424000,1.1291,0.5067,-0.4521,1.318
0.430000,0.9830,0.4030,-0.6992,1.272
0.434000,0.7540,0.3120,-0.9629,1.262
0.439000,0.5240,0.2652,-1.1634,1.303
0.443000,0.1156,0.1768,-1.2233,1.241
0.448000,0.0207,0.0828,-1.6117,1.614
0.453000,0.3839,0.0597,-2.1104,2.146
0.459000,0.4327,0.0826,-1.9705,2.019
0.466000,0.1818,0.0869,-1.4600,1.474
0.467000,0.0450,0.0557,-0.9708,0.973
0.472000,0.0631,-0.0231,-0.6096,0.613
0.478000,0.0993,-0.0726,-0.2636,0.291
0.482000,0.1659,-0.0624,0.0969,0.202
0.488000,0.2247,-0.0787,0.3537,0.426
0.492000,0.1805,-0.1214,0.5011,0.546
0.497000,0.0481,-0.1737,0.6071,0.633
0.502000,-0.0869,-0.2049,0.7577,0.790
0.506000,-0.1841,-0.2318,0.8674,0.917
0.512000,-0.2418,-0.2734,0.9033,0.974
0.521000,-0.2860,-0.3224,0.9392,1.033
0.522000,-0.3244,-0.3865,0.9327,1.060
0.527000,-0.2515,-0.3650,0.9122,1.014
0.531000,-0.0333,-0.2486,0.8848,0.920
0.535000,0.2085,-0.1328,0.7902,0.828
0.540000,0.3640,-0.0701,0.6569,0.754
0.545000,0.2703,-0.1370,0.5276,0.608
0.549000,-0.0775,-0.3356,0.3996,0.528
0.554000,-0.3308,-0.4671,0.2628,0.630
0.559000,-0.4853,-0.5267,0.0763,0.720
0.568000,-0.3321,-0.3496,-0.0669,0.487
0.572000,0.3042,0.0713,-0.1405,0.343
0.574000,0.9897,0.3889,-0.1475,1.074
0.586000,1.4889,0.5509,-0.0858,1.590
0.587000,1.6419,0.5383,-0.0346,1.728
0.588000,1.4416,0.4064,-0.0036,1.498
0.594000,1.0978,0.2940,-0.0165,1.137
0.598000,0.6328,0.1389,-0.1260,0.660
0.604000,-0.1934,-0.2579,-0.3724,0.493
0.608000,-0.9491,-0.5775,-0.6176,1.271
0.613000,-1.1226,-0.5419,-0.7485,1.454
0.618000,-0.8403,-0.3171,-0.7898,1.196
0.623000,-0.2879,-0.0612,-0.7702,0.824
0.628000,0.3181,0.1348,-0.7661,0.840
0.634000,0.7872,0.3284,-0.7319,1.124
0.637000,0.9932,0.4358,-0.6388,1.259
0.642000,0.9504,0.4403,-0.5321,1.175
0.646000,0.7493,0.3686,-0.4694,0.958
0.652000,0.5042,0.2564,-0.4313,0.711
0.656000,0.2841,0.1468,-0.3841,0.500
0.661000,-0.0243,-0.0057,-0.3105,0.311
0.668000,-0.2559,-0.0577,-0.1625,0.309
0.672000,-0.2772,-0.0452,-0.0209,0.282
0.675000,-0.2775,-0.1047,0.0498,0.301
0.688000,-0.3597,-0.1452,0.1287,0.409
0.689000,-0.4589,-0.1477,0.2205,0.530
0.693000,-0.4605,-0.1480,0.1912,0.520
0.696000,-0.4030,-0.1269,0.1126,0.437
0.706000,-0.3412,-0.0796,0.1063,0.366
0.707000,-0.2174,0.0153,0.1578,0.269
0.712000,-0.0504,0.1124,0.1857,0.223
0.715000,0.1503,0.1806,0.1827,0.298
0.720000,0.3421,0.2080,0.1994,0.447
0.725000,0.4362,0.1683,0.2311,0.522
0.733000,0.4400,0.0902,0.2611,0.520
0.734000,0.3628,-0.0262,0.2586,0.446
0.739000,0.2499,-0.1642,0.2188,0.371
0.743000,0.1321,-0.3070,0.1489,0.366
0.748000,-0.0075,-0.4235,0.0729,0.430
0.753000,-0.1334,-0.4803,0.0121,0.499
0.758000,-0.0898,-0.5108,-0.0980,0.528
0.763000,0.0397,-0.4744,-0.2365,0.532
0.768000,0.0543,-0.3807,-0.3722,0.535
0.772000,0.0238,-0.3085,-0.5368,0.620
0.777000,-0.0090,-0.2769,-0.7043,0.757
0.782000,-0.0871,-0.2690,-0.8535,0.899
0.791000,-0.1820,-0.2679,-0.9919,1.043
0.791000,-0.2362,-0.2737,-1.1175,1.175
0.796000,-0.2400,-0.2648,-1.2352,1.286
0.801000,-0.2369,-0.2531,-1.3501,1.394
0.806000,-0.3081,-0.2696,-1.4145,1.473
0.810000,-0.4419,-0.2928,-1.4071,1.504
0.816000,-0.4925,-0.3227,-1.3807,1.501
0.820000,-0.4144,-0.3161,-1.3759,1.471
0.826000,-0.3033,-0.2375,-1.3492,1.403
0.831000,-0.1853,-0.1514,-1.2621,1.285
0.835000,-0.0748,-0.0699,-1.0999,1.105
0.840000,-0.0121,-0.1055,-0.8478,0.854
0.845000,0.0268,-0.1960,-0.6203,0.651
0.850000,0.0752,-0.1931,-0.4454,0.491
0.855000,0.0999,-0.1235,-0.1981,0.254
0.860000,0.0941,-0.0446,0.0622,0.121
0.868000,0.1032,-0.0236,0.1898,0.217
0.870000,0.1730,0.0259,0.2400,0.297
0.881000,0.1646,0.0796,0.2990,0.350
0.882000,0.0203,0.0660,0.3646,0.371
0.886000,-0.1764,0.0257,0.3987,0.437
0.889000,-0.3493,-0.0246,0.3657,0.506
0.895000,-0.4721,-0.0682,0.2633,0.545
0.901000,-0.6076,-0.0835,0.1417,0.629
0.905000,-0.7272,-0.0849,-0.0159,0.732
0.908000,-0.7931,-0.0531,-0.2076,0.822
0.913000,-0.8554,-0.0050,-0.3741,0.934
0.918000,-0.9024,0.0072,-0.5614,1.063
0.923000,-0.8740,0.0480,-0.8012,1.187
0.928000,-0.7271,0.1510,-1.0174,1.260
0.932000,-0.5376,0.2638,-1.1437,1.291
0.937000,-0.3434,0.3696,-1.2525,1.350
0.942000,-0.1373,0.4542,-1.3537,1.434
0.947000,0.0115,0.5104,-1.4596,1.546
0.951000,0.0887,0.5528,-1.5440,1.642
0.957000,0.0725,0.5479,-1.5496,1.645
0.963000,-0.0204,0.4693,-1.5075,1.579
0.968000,-0.1255,0.3435,-1.4513,1.497
0.972000,-0.2024,0.2399,-1.3999,1.435
0.977000,-0.2488,0.1798,-1.2932,1.329
0.981000,-0.2695,0.1418,-1.1120,1.153
0.989000,-0.2571,0.1112,-0.9110,0.953
1.002000,-0.2216,0.0881,-0.7066,0.746
1.003000,-0.2202,0.0437,-0.4816,0.531
1.003000,-0.2481,0.0114,-0.2713,0.368
1.004000,-0.2695,-0.0210,-0.0442,0.274
1.009000,-0.2626,-0.0343,0.1978,0.331
1.017000,-0.2274,-0.0143,0.3544,0.421
1.020000,-0.1854,0.0030,0.4642,0.500
1.025000,-0.1080,0.0511,0.5322,0.545
1.028000,-0.0620,0.0916,0.6017,0.612
1.033000,0.0224,0.1221,0.7089,0.720
1.039000,0.1597,0.1426,0.7773,0.806
1.044000,0.1970,0.1148,0.8188,0.850
1.049000,0.2064,0.1368,0.8027,0.840
1.052000,0.2404,0.2014,0.7075,0.774
1.057000,0.2010,0.1961,0.5878,0.651
1.062000,0.0690,0.1117,0.4240,0.444
1.068000,-0.0268,0.0487,0.1682,0.177
1.074000,-0.0553,0.0455,-0.1061,0.128
1.077000,-0.0884,0.0255,-0.3372,0.349
1.089000,-0.1139,-0.0420,-0.5065,0.521
1.091000,-0.1341,-0.0686,-0.6047,0.623
1.091000,-0.1155,-0.0376,-0.6849,0.696
1.107000,-0.0628,-0.0589,-0.7207,0.726
1.108000,-0.0814,-0.1205,-0.6476,0.664
1.109000,-0.1044,-0.1246,-0.5850,0.607
1.110000,-0.0143,-0.1117,-0.5805,0.591
1.118000,0.0909,-0.1298,-0.5456,0.568
1.121000,0.1491,-0.1406,-0.4584,0.502
1.126000,0.2179,-0.1489,-0.3715,0.456
1.143000,0.2829,-0.1740,-0.3014,0.449
1.145000,0.2699,-0.2828,-0.2001,0.439
1.145000,0.1788,-0.4226,-0.0505,0.462
1.146000,0.1363,-0.4644,-0.0175,0.484
1.159000,0.1902,-0.4394,-0.0795,0.485
1.160000,0.2422,-0.4504,-0.1073,0.523
1.161000,0.2712,-0.4591,-0.1128,0.545
1.175000,0.3108,-0.3437,-0.1366,0.483
1.177000,0.3704,-0.1808,-0.2024,0.459
1.177000,0.3662,-0.1044,-0.2862,0.476
1.180000,0.2453,-0.0666,-0.3950,0.470
1.206000,0.0430,-0.0099,-0.5121,0.514
1.207000,-0.1786,0.0488,-0.6279,0.655
1.208000,-0.3554,0.0713,-0.7642,0.846
1.209000,-0.4634,0.0698,-0.9186,1.031
1.210000,-0.5198,0.1063,-1.0577,1.183
1.210000,-0.6111,0.1570,-1.1820,1.340
1.219000,-0.7806,0.1264,-1.3373,1.554
1.220000,-0.8753,0.1079,-1.5098,1.749
1.223000,-0.8357,0.1685,-1.6426,1.851
1.228000,-0.7092,0.2486,-1.7435,1.899
1.235000,-0.5318,0.3552,-1.8296,1.938
1.238000,-0.3895,0.4695,-1.9276,2.022
1.243000,-0.3540,0.5243,-1.9828,2.081
1.250000,-0.4279,0.5127,-1.9474,2.059
1.252000,-0.4267,0.5495,-1.9266,2.048
1.258000,-0.3074,0.6227,-1.8795,2.004
1.260000,-0.2062,0.6268,-1.7078,1.831
1.268000,-0.1396,0.5571,-1.4612,1.570
1.273000,-0.0811,0.4974,-1.2109,1.312
1.276000,-0.0187,0.4784,-1.0138,1.121
1.280000,0.0043,0.4761,-0.8597,0.983
1.289000,-0.0335,0.4857,-0.7242,0.873
