time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.005000,0.1367,0.0163,0.0625,0.151
0.006000,0.1430,0.0260,0.1181,0.187
0.009000,0.0687,-0.0025,0.0854,0.110
0.013000,-0.0929,-0.0187,-0.1278,0.159
0.019000,-0.0848,-0.0631,0.0119,0.106
0.026000,-0.1981,-0.0286,0.1526,0.252
0.028000,-0.2014,-0.0040,0.1807,0.271
0.034000,-0.1693,-0.0082,0.1564,0.231
0.039000,-0.0760,0.0066,0.0804,0.111
0.050000,0.0545,-0.0168,0.0288,0.064
0.051000,0.1317,-0.0613,0.0014,0.145
0.054000,0.1086,-0.0413,0.0121,0.117
0.059000,0.1167,-0.0357,0.0488,0.131
0.065000,0.0868,-0.0349,0.0875,0.128
0.070000,0.0548,-0.0318,0.0738,0.097
0.084000,-0.0007,-0.0216,0.0531,0.057
0.084000,-0.0414,-0.0400,0.1040,0.119
0.086000,-0.0532,-0.0227,0.0976,0.113
0.089000,-0.0484,-0.0293,0.0841,0.101
0.095000,-0.0199,-0.0407,0.0399,0.060
0.100000,0.0036,-0.0377,0.0176,0.042
0.106000,0.0149,-0.0252,0.0762,0.082
0.112000,-0.0022,-0.0129,0.0726,0.074
0.115000,-0.0143,-0.0054,0.0715,0.073
0.120000,-0.0311,0.0186,0.0372,0.052
0.126000,-0.0595,0.0115,-0.0231,0.065
0.131000,-0.0545,0.0188,-0.0189,0.061
0.135000,-0.0378,-0.0118,0.0090,0.041
0.141000,-0.0069,-0.0304,0.0699,0.077
0.147000,0.0403,-0.0276,0.0639,0.080
0.152000,0.0493,-0.0389,0.0889,0.109
0.156000,0.0655,-0.0621,0.0780,0.119
0.161000,0.0816,-0.0899,0.1148,0.167
0.167000,0.0313,-0.1032,0.0968,0.145
0.171000,0.0457,-0.0879,0.1049,0.144
0.179000,0.0362,-0.1108,0.1059,0.157
0.181000,0.0316,-0.1074,0.0762,0.135
0.189000,0.0343,-0.1088,0.0563,0.127
0.192000,0.0300,-0.0650,0.0675,0.098
0.198000,0.0019,-0.0337,0.1145,0.119
