time,ax,ay,az,atotal
0.02645111083984375,-0.05,0.39,0.03,0.39
0.026819229125976562,-0.07,0.63,0.98,1.16
0.027894973754882812,-0.2,0.79,1.34,1.56
0.03791999816894531,-0.28,0.57,1.05,1.22
0.04788804054260254,-0.1,0.16,0.51,0.54
0.06046605110168457,0.07,-0.22,-0.03,0.23
0.06772804260253906,0.07,-0.4,-0.28,0.49
0.07795095443725586,-0.02,-0.37,-0.26,0.45
0.08801412582397461,-0.01,-0.31,-0.16,0.34
0.0978541374206543,-0.01,-0.27,0.05,0.27
0.11202812194824219,-0.04,-0.18,0.19,0.26
0.11776018142700195,-0.05,-0.08,0.15,0.17
0.12799906730651855,-0.08,0.03,0.01,0.08
0.13790607452392578,-0.07,0.12,-0.17,0.21
0.14790010452270508,-0.09,0.13,-0.37,0.4
0.16260814666748047,-0.11,0.09,-0.4,0.42
0.16782808303833008,-0.16,0.1,-0.2,0.27
0.17794203758239746,-0.12,0.1,0.06,0.16
0.18793511390686035,-0.06,0.09,0.19,0.21
0.19802308082580566,-0.08,0.07,0.22,0.24
0.21296024322509766,-0.14,0.02,0.23,0.27
0.21781611442565918,-0.14,0.04,0.14,0.2
0.22796916961669922,-0.08,0.09,-0.06,0.13
0.23787403106689453,-0.03,0.06,-0.14,0.15
0.24794816970825195,-0.03,-0.04,-0.06,0.07
0.2627120018005371,-0.01,-0.1,0.02,0.1
0.2678041458129883,-0.02,-0.14,0.0,0.14
0.277921199798584,0.0,-0.08,-0.01,0.08
0.2880840301513672,0.01,-0.02,-0.03,0.03
0.2980630397796631,-0.02,-0.01,0.01,0.02
0.3135089874267578,-0.04,0.06,0.03,0.07
0.31779909133911133,-0.08,0.14,0.03,0.16
0.3280630111694336,-0.2,0.18,-0.05,0.27
0.33803796768188477,-0.18,0.18,-0.16,0.3
0.348114013671875,-0.12,0.09,-0.21,0.25
0.3642902374267578,0.02,-0.08,-0.18,0.19
0.3679060935974121,0.15,-0.2,-0.14,0.28
0.37816715240478516,0.18,-0.28,0.02,0.33
0.3880951404571533,0.07,-0.32,0.21,0.38
0.39808011054992676,0.02,-0.25,0.3,0.39
0.4146242141723633,-0.03,-0.12,0.18,0.21
0.4179060459136963,-0.11,-0.02,0.0,0.11
0.4282069206237793,-0.16,0.07,-0.09,0.19
0.4381389617919922,-0.1,0.1,-0.11,0.17
0.4480409622192383,-0.05,0.06,-0.19,0.2
0.46519994735717773,-0.06,0.04,-0.17,0.18
0.4680180549621582,-0.04,0.02,-0.04,0.06
0.4781632423400879,0.01,0.01,-0.01,0.01
0.4880962371826172,0.03,0.05,0.03,0.06
0.4980912208557129,0.0,0.08,0.14,0.16
0.515592098236084,-0.09,0.09,0.2,0.23
0.5181441307067871,-0.08,0.07,0.1,0.14
0.5282621383666992,-0.06,0.11,-0.02,0.12
0.5381011962890625,-0.12,0.13,-0.04,0.18
0.5480751991271973,-0.13,0.06,-0.02,0.14
0.5653619766235352,-0.08,-0.02,-0.07,0.1
0.5682759284973145,-0.02,-0.03,-0.16,0.16
0.5781891345977783,-0.04,-0.01,-0.23,0.23
0.5881321430206299,-0.05,-0.03,-0.19,0.19
0.5981030464172363,-0.03,-0.14,-0.1,0.17
0.6155340671539307,0.03,-0.25,0.02,0.25
0.6183261871337891,0.06,-0.2,0.12,0.24
0.6282062530517578,0.02,-0.05,0.22,0.22
0.6380410194396973,-0.12,0.02,0.25,0.27
0.6480281352996826,-0.04,0.06,0.28,0.28
0.6654801368713379,0.01,0.15,0.24,0.28
0.6682310104370117,-0.03,0.28,0.19,0.33
0.6782360076904297,0.0,0.44,0.05,0.44
0.6880202293395996,0.01,0.47,-0.14,0.49
0.6980271339416504,-0.03,0.41,-0.3,0.5
0.7153081893920898,-0.02,0.31,-0.33,0.45
0.7185811996459961,-0.04,0.14,-0.32,0.35
0.7280950546264648,-0.06,-0.04,-0.2,0.21
0.7382211685180664,-0.02,-0.24,-0.07,0.25
0.7481091022491455,0.07,-0.39,0.06,0.4
0.7650070190429688,0.04,-0.49,0.16,0.51
0.7685890197753906,-0.01,-0.55,0.18,0.57
0.7781691551208496,0.01,-0.52,0.15,0.54
0.7882471084594727,-0.05,-0.47,0.1,0.48
0.7981562614440918,-0.19,-0.38,-0.01,0.42
0.815446138381958,-0.25,-0.26,-0.13,0.38
0.8186922073364258,-0.29,-0.14,-0.19,0.37
0.8283720016479492,-0.27,-0.13,-0.17,0.34
0.8381600379943848,-0.25,-0.2,0.0,0.32
0.8481240272521973,-0.29,-0.29,0.3,0.5
0.8650741577148438,-0.25,-0.44,0.61,0.79
0.8687560558319092,-0.25,-0.51,0.76,0.94
0.8782610893249512,-0.21,-0.45,0.96,1.08
0.8881840705871582,-0.33,-0.35,1.07,1.17
0.8981320858001709,-0.52,-0.27,1.02,1.17
0.9157419204711914,-0.62,-0.1,1.02,1.19
0.9179692268371582,-0.78,0.1,1.01,1.28
0.9282021522521973,-0.81,0.24,0.98,1.29
0.9381680488586426,-0.76,0.29,0.89,1.2
0.9481220245361328,-0.6,0.33,0.73,1.0
0.965630054473877,-0.54,0.24,0.55,0.8
0.9680061340332031,-0.57,0.05,0.31,0.65
0.9782261848449707,-0.69,-0.06,0.23,0.72
0.9882800579071045,-0.77,-0.2,0.27,0.84
0.9981260299682617,-0.83,-0.42,0.4,1.01
1.0158581733703613,-0.9,-0.6,0.7,1.28
1.0179100036621094,-0.85,-0.73,1.05,1.53
1.0282540321350098,-0.71,-0.79,1.31,1.68
1.0380990505218506,-0.64,-0.7,1.51,1.78
1.0481162071228027,-0.55,-0.48,1.54,1.7
1.065101146697998,-0.5,-0.24,1.39,1.49
1.0680532455444336,-0.41,-0.02,1.16,1.23
1.0782530307769775,-0.38,0.16,0.92,1.0
1.0882019996643066,-0.37,0.16,0.7,0.8
1.0981969833374023,-0.3,0.07,0.63,0.7
1.1155810356140137,-0.31,-0.13,0.6,0.68
1.1180109977722168,-0.32,-0.38,0.6,0.77
1.1282200813293457,-0.36,-0.61,0.7,0.99
1.1380550861358643,-0.35,-0.77,0.87,1.21
1.1481900215148926,-0.39,-0.95,0.99,1.42
1.1660001277923584,-0.43,-1.05,1.13,1.6
1.1680290699005127,-0.35,-1.08,1.22,1.66
1.1781971454620361,-0.15,-1.05,1.25,1.63
1.1882400512695312,-0.02,-0.93,1.03,1.38
1.198202133178711,0.11,-0.77,0.52,0.93
1.2154879570007324,0.26,-0.6,-0.09,0.66
1.2181792259216309,0.33,-0.55,-0.61,0.88
1.2281501293182373,0.33,-0.77,-0.94,1.25
1.238180160522461,0.41,-1.14,-0.88,1.49
1.2481932640075684,0.6,-1.49,-0.11,1.61
1.2655611038208008,0.78,-1.72,1.3,2.29
1.2680630683898926,0.79,-1.83,2.87,3.49
1.2782680988311768,0.93,-1.54,4.24,4.6
1.2882120609283447,1.16,-0.8,5.09,5.28
1.298224925994873,1.31,0.26,5.16,5.33
1.3160290718078613,1.58,1.36,4.34,4.81
1.3179292678833008,1.47,2.33,2.77,3.9
1.3282520771026611,1.13,3.0,0.87,3.32
1.338231086730957,0.88,3.27,-0.95,3.51
1.3481900691986084,0.71,3.07,-2.14,3.8
1.3664450645446777,0.65,2.29,-2.43,3.4
1.3679821491241455,0.52,0.98,-1.99,2.27
1.378343105316162,0.28,-0.4,-0.98,1.09
1.388227939605713,0.19,-1.56,0.39,1.61
1.3981952667236328,0.16,-2.46,1.67,2.97
1.4171161651611328,0.2,-3.11,2.58,4.04
1.418004035949707,0.37,-3.39,3.19,4.66
1.428339958190918,0.42,-3.32,3.34,4.72
1.438115119934082,0.32,-2.94,3.1,4.28
1.4482691287994385,0.3,-2.34,2.74,3.61
1.467231035232544,0.29,-1.67,2.34,2.88
1.468040943145752,0.31,-1.18,1.97,2.31
1.4783320426940918,0.47,-0.95,1.74,2.03
1.4883100986480713,0.65,-0.8,1.8,2.07
1.498250961303711,0.71,-0.64,1.9,2.12
1.517888069152832,0.75,-0.5,1.84,2.04
1.5183539390563965,0.81,-0.44,1.61,1.85
1.5283489227294922,0.85,-0.35,1.36,1.64
1.5381569862365723,0.7,-0.27,1.19,1.4
1.5482690334320068,0.47,-0.11,1.06,1.16
1.567492961883545,0.44,0.08,1.12,1.2
1.568018913269043,0.45,0.22,1.2,1.3
1.5782790184020996,0.41,0.3,1.34,1.43
1.5881280899047852,0.42,0.45,1.47,1.59
1.5982842445373535,0.41,0.7,1.66,1.84
1.6173481941223145,0.26,0.89,1.82,2.04
1.6180071830749512,0.24,1.05,1.78,2.08
1.628258228302002,0.48,1.25,1.75,2.2
1.6382100582122803,0.9,1.58,1.92,2.64
1.6482551097869873,1.07,1.93,2.45,3.29
1.6671850681304932,0.78,2.23,3.01,3.82
1.6680080890655518,0.25,2.59,3.03,3.99
1.6782569885253906,-0.11,3.2,2.68,4.17
1.6883161067962646,-0.18,3.89,2.08,4.41
1.6981792449951172,-0.06,4.43,1.19,4.58
1.717421054840088,0.12,4.61,0.1,4.61
1.7181310653686523,0.23,4.31,-1.08,4.44
1.7282490730285645,0.24,3.6,-2.27,4.26
1.738206148147583,0.22,2.74,-3.3,4.29
1.7482190132141113,0.22,1.86,-3.91,4.33
1.7676551342010498,0.18,0.98,-3.76,3.88
1.7681260108947754,0.02,0.12,-2.92,2.92
1.7782750129699707,-0.03,-0.75,-1.87,2.01
1.7882280349731445,-0.02,-1.4,-0.91,1.66
1.798285961151123,-0.11,-1.48,-0.17,1.49
1.817824125289917,-0.38,-1.01,0.31,1.12
1.8182802200317383,-0.6,-0.19,0.39,0.74
1.8282580375671387,-0.63,0.6,0.18,0.88
1.8382620811462402,-0.58,1.04,-0.24,1.21
1.8483781814575195,-0.53,1.11,-0.81,1.47
1.8673372268676758,-0.39,0.79,-1.37,1.62
1.8681392669677734,-0.27,0.06,-1.86,1.88
1.8782992362976074,-0.18,-0.78,-2.05,2.2
1.8882222175598145,-0.03,-1.69,-2.0,2.61
1.8984131813049316,0.12,-2.57,-1.71,3.08
1.9182720184326172,0.35,-3.31,-1.08,3.49
1.9187512397766113,0.57,-4.0,-0.38,4.05
1.9283311367034912,0.62,-4.58,0.22,4.62
1.9382672309875488,0.67,-4.91,0.82,5.02
1.948310136795044,0.75,-4.79,1.5,5.07
1.9675970077514648,0.75,-4.26,2.1,4.8
1.9681470394134521,0.65,-3.48,2.45,4.3
1.9782671928405762,0.49,-2.65,2.52,3.68
1.9881830215454102,0.44,-1.92,2.44,3.13
1.9984731674194336,0.39,-1.25,2.08,2.45
2.0180671215057373,0.41,-0.64,1.54,1.71
2.0185251235961914,0.42,-0.03,0.91,1.0
2.0283169746398926,0.28,0.39,0.34,0.58
2.038227081298828,0.03,0.55,-0.01,0.55
2.048342227935791,-0.25,0.49,-0.1,0.55
2.0676190853118896,-0.56,0.34,-0.01,0.65
2.0680689811706543,-0.9,0.02,0.14,0.91
2.0782880783081055,-1.08,-0.39,0.48,1.24
2.088150978088379,-1.08,-0.75,0.74,1.5
2.0983872413635254,-1.02,-0.93,0.89,1.64
2.1183619499206543,-0.66,-1.0,1.13,1.64
2.118819236755371,-0.4,-1.11,1.17,1.66
2.1282801628112793,-0.33,-1.28,1.28,1.84
2.138154983520508,-0.33,-1.32,1.58,2.08
2.1483511924743652,-0.45,-1.24,1.8,2.23
2.1687071323394775,-0.66,-0.93,1.85,2.17
2.16915225982666,-0.6,-0.44,1.88,2.02
2.1782591342926025,-0.65,-0.11,1.94,2.04
2.188319206237793,-0.83,0.15,1.97,2.14
2.198341131210327,-0.99,0.35,1.95,2.21
2.2181601524353027,-1.18,0.55,1.81,2.22
2.218625068664551,-1.21,0.7,1.84,2.31
2.22829008102417,-0.99,0.89,2.21,2.57
2.238115072250366,-0.55,1.36,2.8,3.16
2.2483370304107666,0.04,2.15,3.44,4.05
2.2685089111328125,0.56,3.21,3.7,4.93
2.2689499855041504,0.79,4.37,3.27,5.51
2.2783679962158203,0.85,5.45,2.17,5.92
2.2881920337677,0.91,6.09,0.75,6.2
2.2983641624450684,0.94,5.89,-1.03,6.05
2.3190300464630127,0.98,5.04,-2.89,5.89
2.319499969482422,1.13,4.05,-4.29,6.0
2.328327178955078,1.24,3.05,-5.12,6.08
2.338223934173584,1.13,1.93,-5.14,5.6
