time,ax,ay,az,atotal
0.020468950271606445,0.05,0.6,0.93,1.1
0.020823001861572266,0.11,0.29,1.41,1.44
0.021938800811767578,0.08,0.25,0.83,0.87
0.0321040153503418,0.05,0.05,0.01,0.07
0.04300880432128906,0.0,-0.17,-0.47,0.49
0.052134037017822266,-0.01,-0.22,-0.36,0.42
0.062050819396972656,-0.02,-0.16,0.08,0.18
0.07215189933776855,0.01,-0.11,0.43,0.44
0.08209490776062012,0.0,-0.09,0.34,0.35
0.09467506408691406,0.07,-0.06,0.05,0.1
0.1019749641418457,0.07,-0.02,-0.16,0.17
0.11217784881591797,0.05,-0.05,-0.08,0.1
0.12213706970214844,0.03,-0.11,0.14,0.18
0.13223505020141602,0.01,-0.12,0.28,0.3
0.14633607864379883,0.01,-0.1,0.23,0.25
0.15207481384277344,0.0,-0.12,0.09,0.15
0.1621408462524414,-0.01,-0.1,0.02,0.1
0.17227506637573242,0.0,-0.05,0.07,0.08
0.18223905563354492,0.04,-0.07,0.16,0.17
0.19596004486083984,0.04,-0.08,0.14,0.16
0.20202207565307617,0.09,-0.11,0.14,0.19
0.21219992637634277,0.12,-0.18,0.13,0.25
0.2221829891204834,0.14,-0.25,0.04,0.28
0.23230504989624023,0.15,-0.26,0.01,0.3
0.24865198135375977,0.12,-0.29,0.06,0.31
0.2522239685058594,0.15,-0.33,0.13,0.38
0.26213598251342773,0.16,-0.36,0.21,0.44
0.27240800857543945,0.21,-0.34,0.32,0.51
0.2822139263153076,0.24,-0.28,0.36,0.51
0.29625988006591797,0.29,-0.13,0.33,0.45
0.30210089683532715,0.35,0.08,0.44,0.56
0.3122267723083496,0.37,0.25,0.63,0.77
0.32234692573547363,0.35,0.38,0.69,0.86
0.3322768211364746,0.28,0.44,0.55,0.75
0.3467378616333008,0.17,0.35,0.27,0.47
0.35218381881713867,0.07,0.17,0.06,0.19
0.3622770309448242,0.0,0.0,0.01,0.01
0.37242794036865234,-0.02,-0.17,0.12,0.2
0.3822939395904541,0.0,-0.35,0.3,0.46
0.3966860771179199,0.04,-0.49,0.47,0.68
0.4021768569946289,0.15,-0.59,0.64,0.88
0.41228580474853516,0.28,-0.61,0.68,0.95
0.4224119186401367,0.28,-0.57,0.54,0.83
0.4322938919067383,0.33,-0.46,0.59,0.81
0.4471168518066406,0.36,-0.36,0.45,0.67
0.45220494270324707,0.33,-0.32,0.15,0.48
0.46238183975219727,0.28,-0.3,0.21,0.46
0.47240686416625977,0.25,-0.23,0.34,0.48
0.48229098320007324,0.2,-0.29,0.3,0.46
0.4974789619445801,0.12,-0.34,0.26,0.44
