time,ax,ay,az,atotal
0.002252817153930664,0.08,0.03,-0.16,0.18
0.003031015396118164,-0.02,0.0,-0.27,0.27
0.012324094772338867,-0.05,0.02,-0.21,0.21
0.02231287956237793,-0.04,0.01,-0.06,0.07
0.03236198425292969,-0.05,-0.02,0.1,0.11
0.09666895866394043,-0.02,-0.05,0.17,0.17
0.09736394882202148,-0.01,-0.06,0.23,0.23
0.09803509712219238,0.03,-0.05,0.25,0.25
0.09869503974914551,0.05,-0.06,0.28,0.29
0.09928679466247559,0.06,-0.06,0.2,0.21
0.09994006156921387,0.1,-0.02,0.08,0.12
0.10225701332092285,0.12,0.03,0.01,0.12
0.11238312721252441,0.1,0.04,-0.02,0.1
0.12244105339050293,0.08,0.03,-0.04,0.09
0.13231778144836426,0.05,0.04,-0.05,0.08
0.19668078422546387,0.03,0.07,-0.06,0.09
0.19734787940979004,0.02,0.09,-0.04,0.1
0.19794678688049316,0.02,0.08,-0.01,0.08
0.19859790802001953,0.01,0.04,-0.02,0.04
0.19924592971801758,0.0,0.01,0.02,0.02
0.19989895820617676,0.02,-0.01,0.06,0.06
0.20229291915893555,0.01,0.0,0.08,0.08
0.21240782737731934,0.04,0.02,0.08,0.09
0.22236990928649902,0.04,0.01,0.08,0.09
0.2323160171508789,0.06,-0.01,0.07,0.09
0.2958548069000244,0.09,-0.02,0.01,0.09
0.2965250015258789,0.11,-0.03,-0.02,0.11
0.2971339225769043,0.11,-0.04,0.04,0.12
0.2977941036224365,0.09,-0.07,0.11,0.15
0.2983880043029785,0.09,-0.06,0.13,0.16
0.2990419864654541,0.07,-0.03,0.11,0.13
0.30221009254455566,0.06,-0.02,0.05,0.08
0.312391996383667,0.05,0.0,-0.03,0.05
0.32238078117370605,0.05,0.03,-0.09,0.1
0.3323349952697754,0.05,0.07,-0.1,0.13
0.39597582817077637,0.03,0.09,-0.1,0.13
0.39665913581848145,0.05,0.08,-0.07,0.11
0.39731383323669434,0.07,0.05,-0.03,0.09
0.3979771137237549,0.08,-0.01,0.01,0.08
0.39862608909606934,0.07,-0.05,0.05,0.09
0.39927196502685547,0.06,-0.07,0.1,0.13
0.4022839069366455,0.03,-0.11,0.11,0.15
0.4124000072479248,0.03,-0.08,0.14,0.16
0.42256999015808105,0.05,-0.09,0.17,0.19
0.43242907524108887,0.06,-0.1,0.22,0.24
0.49582505226135254,0.04,-0.14,0.24,0.28
0.49649786949157715,0.03,-0.13,0.23,0.26
