time,ax,ay,az,atotal
0.013160943984985352,-0.35,-0.15,0.26,0.46
0.0189058780670166,-0.23,-0.08,0.2,0.31
0.02669215202331543,-0.23,-0.04,-0.01,0.23
0.03774619102478027,-0.19,-0.15,-0.33,0.4
0.04640793800354004,-0.21,-0.32,-0.59,0.7
0.057070016860961914,-0.24,-0.46,-0.66,0.83
0.06676602363586426,-0.23,-0.57,-0.6,0.85
0.0767509937286377,-0.2,-0.64,-0.53,0.85
0.0875709056854248,-0.11,-0.68,-0.44,0.81
0.09734606742858887,0.02,-0.74,-0.23,0.77
0.10823893547058105,0.13,-0.72,0.0,0.73
0.12484192848205566,0.23,-0.63,0.14,0.68
0.12697386741638184,0.34,-0.46,0.19,0.6
0.14121794700622559,0.41,-0.25,0.18,0.51
0.14653515815734863,0.47,-0.02,0.15,0.49
0.15716004371643066,0.48,0.13,0.11,0.5
0.16688895225524902,0.47,0.26,0.06,0.54
0.17722201347351074,0.41,0.38,0.02,0.55
0.18752408027648926,0.34,0.43,-0.03,0.54
0.19697785377502441,0.25,0.44,-0.09,0.51
0.20762896537780762,0.14,0.45,-0.14,0.49
0.22345805168151855,0.02,0.44,-0.2,0.48
0.22641897201538086,-0.09,0.44,-0.22,0.5
0.24141502380371094,-0.2,0.41,-0.25,0.52
0.2462151050567627,-0.26,0.34,-0.25,0.49
0.2574179172515869,-0.31,0.29,-0.23,0.48
0.2665441036224365,-0.37,0.23,-0.23,0.49
0.27727603912353516,-0.38,0.14,-0.24,0.47
0.2872340679168701,-0.37,0.01,-0.23,0.43
0.29807114601135254,-0.32,-0.12,-0.19,0.39
0.307981014251709,-0.3,-0.22,-0.14,0.39
0.32254719734191895,-0.28,-0.27,-0.07,0.39
0.3270070552825928,-0.23,-0.3,-0.01,0.37
0.3415849208831787,-0.2,-0.29,0.06,0.35
0.3460981845855713,-0.17,-0.29,0.12,0.35
0.3568909168243408,-0.16,-0.29,0.18,0.37
0.366657018661499,-0.16,-0.26,0.24,0.38
0.3767850399017334,-0.16,-0.2,0.34,0.42
0.38706302642822266,-0.18,-0.13,0.43,0.48
0.39764404296875,-0.17,-0.02,0.5,0.52
0.40774106979370117,-0.14,0.11,0.52,0.54
0.4235241413116455,-0.13,0.22,0.53,0.58
0.4263160228729248,-0.15,0.3,0.5,0.6
0.43999218940734863,-0.15,0.33,0.46,0.58
0.4461839199066162,-0.19,0.28,0.41,0.53
0.4570310115814209,-0.2,0.19,0.34,0.43
0.4665639400482178,-0.22,0.1,0.25,0.34
0.47669196128845215,-0.25,-0.06,0.14,0.29
0.4865291118621826,-0.32,-0.27,0.08,0.42
0.49693894386291504,-0.35,-0.45,0.06,0.57
0.5076470375061035,-0.38,-0.6,0.1,0.71
0.524940013885498,-0.41,-0.75,0.15,0.86
0.5265171527862549,-0.41,-0.85,0.21,0.96
0.542456865310669,-0.42,-0.93,0.32,1.06
0.5462391376495361,-0.38,-0.97,0.43,1.12
0.556704044342041,-0.32,-0.98,0.55,1.16
0.5671100616455078,-0.27,-0.9,0.71,1.17
0.5769898891448975,-0.23,-0.76,0.84,1.15
0.5867888927459717,-0.17,-0.63,0.85,1.07
0.5966780185699463,-0.12,-0.52,0.82,0.97
0.6073658466339111,-0.1,-0.4,0.78,0.88
0.6228320598602295,-0.11,-0.3,0.78,0.84
0.6260690689086914,-0.14,-0.21,0.79,0.82
0.6422631740570068,-0.13,-0.16,0.75,0.77
0.6458339691162109,-0.09,-0.21,0.72,0.75
0.656702995300293,-0.06,-0.26,0.76,0.8
0.6672818660736084,-0.07,-0.3,0.71,0.77
0.6767950057983398,-0.11,-0.34,0.6,0.69
0.6866471767425537,-0.14,-0.41,0.43,0.61
0.6964380741119385,-0.15,-0.55,0.2,0.6
0.7067470550537109,-0.16,-0.74,0.0,0.75
0.724168062210083,-0.15,-0.93,-0.16,0.95
0.7263460159301758,-0.11,-1.14,-0.23,1.16
0.7429900169372559,-0.1,-1.31,-0.2,1.32
0.745872974395752,-0.05,-1.44,-0.07,1.44
0.7567551136016846,0.04,-1.56,0.21,1.57
0.7676680088043213,0.19,-1.58,0.61,1.7
0.7765140533447266,0.4,-1.43,1.0,1.79
0.7867510318756104,0.6,-1.14,1.3,1.83
0.7975108623504639,0.77,-0.8,1.5,1.86
0.8065710067749023,0.93,-0.43,1.58,1.88
0.8248598575592041,1.05,-0.14,1.54,1.86
0.8260750770568848,1.13,0.07,1.44,1.83
0.8424170017242432,1.22,0.16,1.23,1.73
0.8456809520721436,1.24,0.04,0.96,1.56
0.8568019866943359,1.25,-0.23,0.78,1.49
0.8677780628204346,1.19,-0.54,0.73,1.49
0.8766100406646729,1.07,-0.71,0.83,1.52
0.8861839771270752,1.0,-0.75,1.13,1.68
0.896557092666626,0.93,-0.68,1.6,1.97
0.9065060615539551,0.88,-0.55,2.04,2.28
0.9345180988311768,0.84,-0.33,2.35,2.51
0.9354660511016846,0.78,-0.05,2.52,2.63
0.9363470077514648,0.65,0.14,2.54,2.62
0.9455521106719971,0.51,0.25,2.32,2.38
0.9562509059906006,0.31,0.25,1.94,1.98
0.9662320613861084,0.11,0.11,1.48,1.48
0.9765498638153076,-0.05,-0.19,1.04,1.05
0.9867739677429199,-0.19,-0.54,0.73,0.92
0.9970190525054932,-0.3,-0.92,0.61,1.14
1.007066011428833,-0.35,-1.29,0.67,1.49
1.0345990657806396,-0.34,-1.64,0.93,1.91
1.0355288982391357,-0.26,-1.9,1.18,2.25
1.0363919734954834,-0.14,-2.05,1.44,2.5
1.0457990169525146,0.01,-2.15,1.64,2.7
1.0562160015106201,0.16,-2.23,1.81,2.87
1.0662291049957275,0.27,-2.24,1.95,2.98
1.0771310329437256,0.35,-2.19,2.02,2.99
1.0863840579986572,0.43,-2.07,2.09,2.97
1.0970730781555176,0.49,-1.82,2.15,2.85
1.1071569919586182,0.57,-1.55,2.24,2.78
1.134361982345581,0.72,-1.22,2.34,2.73
1.1352829933166504,0.85,-0.86,2.41,2.69
1.1361579895019531,0.97,-0.49,2.42,2.65
1.1457090377807617,1.08,-0.13,2.25,2.49
1.1561000347137451,1.14,0.19,1.97,2.28
1.166118860244751,1.16,0.48,1.64,2.06
1.1766159534454346,1.17,0.66,1.42,1.95
1.1873080730438232,1.11,0.73,1.35,1.89
1.1969149112701416,1.12,0.65,1.32,1.84
1.2069649696350098,1.06,0.54,1.38,1.82
1.2349112033843994,1.04,0.45,1.51,1.88
1.235849142074585,0.99,0.44,1.72,2.03
1.2366950511932373,1.03,0.5,1.9,2.21
1.2456510066986084,1.08,0.73,2.03,2.41
1.2565219402313232,1.14,1.14,2.16,2.69
1.2660448551177979,1.17,1.42,2.29,2.93
1.2764310836791992,1.16,1.78,2.37,3.18
1.2867648601531982,0.97,2.2,2.36,3.36
1.2968661785125732,0.81,2.5,2.24,3.45
1.3069450855255127,0.66,2.74,2.06,3.49
1.3325550556182861,0.65,2.9,1.81,3.47
1.3350398540496826,0.5,2.99,1.48,3.37
1.3358850479125977,0.43,3.01,1.08,3.22
1.3450160026550293,0.39,2.99,0.73,3.1
1.3557441234588623,0.31,2.85,0.33,2.88
1.3654990196228027,0.23,2.62,-0.07,2.63
1.3761570453643799,0.14,2.22,-0.42,2.26
1.3859899044036865,0.07,1.71,-0.67,1.83
1.3967030048370361,-0.05,1.13,-0.95,1.47
1.4068849086761475,-0.24,0.41,-1.28,1.36
1.4328529834747314,-0.48,-0.35,-1.55,1.65
1.4354050159454346,-0.76,-1.11,-1.61,2.09
1.4363110065460205,-1.03,-1.77,-1.45,2.5
1.4454519748687744,-1.18,-2.3,-1.19,2.84
1.4557850360870361,-1.27,-2.61,-0.98,3.06
1.465313196182251,-1.34,-2.74,-0.9,3.18
1.4760029315948486,-1.38,-2.76,-0.87,3.2
1.4864330291748047,-1.44,-2.72,-0.78,3.17
1.495910882949829,-1.47,-2.55,-0.63,3.01
1.5058250427246094,-1.46,-2.25,-0.42,2.71
1.5307261943817139,-1.38,-1.74,-0.05,2.22
1.5316569805145264,-1.13,-1.14,0.31,1.63
1.534919023513794,-0.8,-0.48,0.54,1.07
1.5453660488128662,-0.3,0.17,0.65,0.73
1.555739164352417,0.1,0.73,0.62,0.96
1.565251111984253,0.37,1.12,0.49,1.27
1.575774908065796,0.48,1.26,0.33,1.38
1.5864319801330566,0.49,1.11,0.16,1.22
1.5965311527252197,0.46,0.68,0.01,0.82
1.606492042541504,0.4,0.06,0.0,0.4
1.6331520080566406,0.32,-0.52,0.12,0.62
1.6356770992279053,0.25,-1.03,0.32,1.1
1.636693000793457,0.19,-1.48,0.53,1.58
1.6448991298675537,0.1,-1.82,0.6,1.91
1.6555769443511963,0.03,-2.11,0.57,2.18
1.6654798984527588,-0.03,-2.3,0.43,2.34
1.6756410598754883,-0.13,-2.41,0.24,2.42
1.686812162399292,-0.22,-2.46,0.07,2.47
1.69563889503479,-0.33,-2.4,-0.03,2.42
1.706423044204712,-0.44,-2.3,-0.14,2.34
1.733273983001709,-0.52,-2.22,-0.11,2.28
1.7358481884002686,-0.61,-2.05,0.14,2.14
1.736840009689331,-0.74,-1.75,0.52,1.96
1.744852066040039,-0.91,-1.26,0.9,1.79
1.7554008960723877,-0.99,-0.59,1.24,1.69
1.7650799751281738,-1.04,0.23,1.61,1.93
1.7755191326141357,-0.94,1.18,1.98,2.48
1.7880489826202393,-0.7,2.19,2.22,3.19
1.7963531017303467,-0.51,3.1,2.36,3.92
1.8063900470733643,-0.41,3.79,2.33,4.46
1.834563970565796,-0.42,4.19,2.4,4.84
1.8354849815368652,-0.55,4.29,2.34,4.91
1.8363549709320068,-0.63,4.03,2.05,4.56
1.8447580337524414,-0.72,3.54,1.65,3.97
1.855215072631836,-0.71,2.92,1.36,3.29
1.865326166152954,-0.7,2.41,1.29,2.82
1.8756320476531982,-0.68,1.95,1.29,2.43
