time,ax,ay,az,atotal
0.010570049285888672,0.16,-0.44,0.36,0.59
0.011318206787109375,0.22,0.0,1.62,1.63
0.02126622200012207,0.02,0.19,1.14,1.15
0.03132200241088867,-0.01,0.18,0.12,0.21
0.043839216232299805,0.01,0.14,-0.5,0.51
0.0511472225189209,0.0,0.13,-0.47,0.48
0.06134915351867676,-0.02,0.11,-0.15,0.18
0.07106614112854004,-0.04,0.13,0.01,0.13
0.08163833618164062,-0.08,0.11,-0.06,0.14
0.0948641300201416,-0.09,0.08,0.05,0.13
0.10126209259033203,-0.03,0.06,0.13,0.14
0.11152410507202148,0.0,0.01,0.06,0.06
0.12131619453430176,0.02,-0.04,-0.02,0.04
0.13118910789489746,0.06,-0.04,-0.02,0.07
0.14575815200805664,0.06,-0.02,0.02,0.06
0.15124225616455078,-0.03,-0.06,0.03,0.07
0.1614241600036621,-0.03,-0.1,0.0,0.1
0.17133212089538574,-0.02,-0.09,-0.03,0.09
0.18141508102416992,-0.03,-0.1,-0.06,0.12
0.1958751678466797,-0.07,-0.1,-0.03,0.12
0.20124101638793945,-0.09,-0.06,0.03,0.11
0.21134519577026367,-0.11,-0.01,0.05,0.12
0.2213451862335205,-0.16,0.01,0.08,0.17
0.23123812675476074,-0.2,0.01,0.12,0.23
0.24649429321289062,-0.19,-0.01,0.11,0.21
0.2516791820526123,-0.12,-0.04,0.06,0.13
0.26136302947998047,-0.09,-0.07,0.0,0.11
0.2710890769958496,-0.09,-0.1,-0.01,0.13
0.2812941074371338,-0.12,-0.11,0.02,0.16
0.29729700088500977,-0.23,-0.15,0.03,0.27
0.30218505859375,-0.29,-0.16,0.12,0.35
0.31136226654052734,-0.28,-0.14,0.22,0.38
0.32104921340942383,-0.22,-0.12,0.26,0.36
0.33185315132141113,-0.13,-0.07,0.29,0.32
0.3486170768737793,-0.03,-0.02,0.33,0.33
0.3521251678466797,-0.02,0.0,0.39,0.39
0.3612821102142334,-0.08,-0.02,0.42,0.42
0.37108612060546875,-0.17,-0.05,0.38,0.41
0.38125133514404297,-0.25,-0.11,0.3,0.4
0.39850521087646484,-0.33,-0.19,0.3,0.48
0.4009091854095459,-0.36,-0.28,0.35,0.57
0.4113321304321289,-0.34,-0.36,0.47,0.68
0.4209451675415039,-0.26,-0.45,0.66,0.84
0.43122100830078125,-0.22,-0.55,0.84,1.02
0.44777512550354004,-0.19,-0.63,0.9,1.11
0.45063114166259766,-0.19,-0.68,0.79,1.05
0.46117520332336426,-0.16,-0.67,0.64,0.94
0.47080230712890625,-0.16,-0.68,0.61,0.92
0.4811861515045166,-0.37,-0.65,0.69,1.01
0.49836111068725586,-0.48,-0.48,0.71,0.98
0.500786304473877,-0.39,-0.32,0.69,0.85
0.5110712051391602,-0.35,-0.22,0.76,0.86
0.5208652019500732,-0.38,-0.18,0.88,0.97
0.5308361053466797,-0.32,-0.15,0.91,0.97
0.549382209777832,-0.27,-0.14,0.88,0.93
0.5505599975585938,-0.28,-0.13,0.91,0.96
0.5609681606292725,-0.33,-0.14,0.87,0.94
0.5708351135253906,-0.4,-0.2,0.87,0.97
0.581057071685791,-0.44,-0.29,0.79,0.94
0.598602294921875,-0.51,-0.45,0.51,0.85
0.600499153137207,-0.6,-0.62,0.52,1.0
0.6110391616821289,-0.51,-0.72,0.78,1.17
0.6207311153411865,-0.44,-0.79,0.76,1.18
0.6307902336120605,-0.41,-0.84,0.74,1.19
0.6479010581970215,-0.39,-0.94,0.7,1.23
0.6504111289978027,-0.4,-0.98,0.74,1.29
0.6608343124389648,-0.39,-1.05,0.79,1.37
0.6706442832946777,-0.4,-1.1,0.72,1.37
0.6809053421020508,-0.32,-1.03,0.57,1.21
0.6985352039337158,-0.27,-1.02,0.5,1.16
0.7003991603851318,-0.23,-1.05,0.46,1.16
0.7108042240142822,-0.11,-1.09,0.49,1.2
0.7205631732940674,0.04,-1.23,0.61,1.37
0.7306733131408691,0.18,-1.46,0.66,1.61
0.7471141815185547,0.27,-1.65,0.7,1.81
0.7504062652587891,0.42,-1.69,0.81,1.92
0.7606871128082275,0.57,-1.5,1.0,1.89
0.7705731391906738,0.67,-1.1,1.29,1.82
0.7807192802429199,0.72,-0.5,1.51,1.74
0.7983741760253906,0.68,0.2,1.5,1.65
0.8002042770385742,0.73,0.87,1.3,1.72
0.8107190132141113,0.81,1.49,1.11,2.02
0.8204061985015869,0.83,1.96,1.2,2.44
0.8305411338806152,0.81,2.28,1.45,2.82
0.8478550910949707,0.74,2.43,1.69,3.05
0.8502602577209473,0.68,2.38,1.91,3.12
0.8606131076812744,0.57,2.16,2.0,2.99
0.8702671527862549,0.4,1.79,1.89,2.63
0.8806800842285156,0.28,1.44,1.97,2.45
0.8983302116394043,0.3,1.0,1.77,2.05
0.9001970291137695,0.25,0.42,1.41,1.49
0.910499095916748,0.25,-0.11,1.09,1.12
0.9202661514282227,0.26,-0.6,1.31,1.46
0.9304611682891846,0.22,-1.4,1.26,1.89
0.9480161666870117,0.04,-1.94,1.14,2.25
0.9501621723175049,-0.02,-2.34,1.12,2.59
0.9603919982910156,-0.1,-2.62,1.08,2.83
0.9702982902526855,-0.22,-2.75,1.0,2.93
0.9804902076721191,-0.3,-2.71,0.97,2.89
0.9987483024597168,-0.35,-2.49,0.98,2.69
0.9999842643737793,-0.44,-2.23,1.08,2.51
1.0104281902313232,-0.47,-1.97,1.22,2.36
1.0205421447753906,-0.44,-1.65,1.34,2.17
1.0304770469665527,-0.39,-1.37,1.43,2.01
1.0477831363677979,-0.3,-1.06,1.54,1.89
1.0499062538146973,-0.16,-0.73,1.63,1.79
1.06022310256958,0.04,-0.4,1.77,1.81
1.0702590942382812,0.22,-0.06,1.95,1.96
1.0800132751464844,0.42,0.31,2.1,2.16
1.0968689918518066,0.64,0.62,2.12,2.29
1.1000862121582031,0.87,0.84,1.98,2.32
1.1100029945373535,0.9,1.11,2.1,2.54
1.1201300621032715,0.72,1.11,2.17,2.54
1.131012201309204,0.46,1.17,2.23,2.55
1.1517882347106934,0.29,1.32,2.39,2.74
1.1526381969451904,0.11,1.48,2.59,2.98
1.1600871086120605,-0.03,1.63,2.8,3.24
1.170903205871582,-0.02,1.8,2.84,3.36
1.1801080703735352,-0.01,1.98,2.69,3.34
1.1996750831604004,0.02,2.26,2.57,3.42
1.2003250122070312,0.11,2.68,2.69,3.79
1.2101202011108398,0.08,3.05,2.7,4.07
1.2199492454528809,-0.01,3.39,2.4,4.15
1.2335011959075928,-0.03,3.8,2.09,4.33
1.239823341369629,-0.06,4.21,1.83,4.59
1.249770164489746,0.03,4.54,1.46,4.76
1.2597932815551758,0.05,4.68,1.01,4.78
1.269639015197754,0.0,4.67,0.62,4.71
1.2815802097320557,-0.06,4.45,0.22,4.45
1.2897441387176514,-0.09,4.04,-0.22,4.04
1.2999341487884521,-0.09,3.53,-0.73,3.6
1.3100271224975586,-0.06,2.83,-1.16,3.05
1.319925308227539,-0.15,1.89,-1.65,2.51
1.3348259925842285,-0.5,0.98,-2.0,2.28
1.339691162109375,-0.8,0.1,-2.32,2.45
1.3498740196228027,-0.91,-0.79,-2.39,2.67
1.3598811626434326,-0.86,-1.55,-2.08,2.73
1.369791030883789,-0.66,-2.11,-1.86,2.88
1.384606122970581,-0.52,-2.47,-1.72,3.05
1.3895301818847656,-0.4,-2.57,-1.44,2.97
1.399848222732544,-0.51,-2.52,-1.26,2.86
1.4100191593170166,-0.69,-2.33,-1.07,2.65
1.4198071956634521,-0.79,-1.96,-0.72,2.23
