time,ax,ay,az,atotal
0.027540922164916992,0.18,0.09,0.52,0.55
0.028815031051635742,-0.06,-0.08,0.89,0.89
0.030039072036743164,-0.09,-0.1,0.99,0.99
0.03690195083618164,-0.05,-0.13,0.81,0.82
0.0444490909576416,0.0,-0.17,0.5,0.52
0.05423712730407715,0.04,-0.15,0.14,0.2
0.0650789737701416,0.07,-0.13,-0.15,0.21
0.07440495491027832,0.07,-0.09,-0.29,0.31
0.0844869613647461,0.02,-0.04,-0.33,0.33
0.0943610668182373,-0.02,-0.04,-0.24,0.24
0.1048891544342041,0.07,-0.04,-0.08,0.11
0.12025284767150879,0.12,-0.08,0.09,0.17
0.12466788291931152,0.09,-0.1,0.22,0.25
0.1346118450164795,0.06,-0.09,0.27,0.29
0.14452505111694336,0.0,-0.12,0.27,0.29
0.15533900260925293,-0.04,-0.13,0.16,0.21
0.1658649444580078,-0.08,-0.13,-0.01,0.15
0.1752760410308838,-0.02,-0.07,-0.08,0.1
0.18490815162658691,0.07,-0.07,-0.01,0.09
0.196242094039917,0.09,-0.09,0.12,0.17
0.2082669734954834,0.06,-0.06,0.2,0.21
0.22223687171936035,0.04,-0.03,0.21,0.21
0.2255551815032959,0.05,-0.04,0.17,0.18
0.2345278263092041,0.04,-0.11,0.1,0.15
0.24530386924743652,0.05,-0.19,0.09,0.21
0.2550489902496338,0.05,-0.21,0.12,0.24
0.26603102684020996,0.03,-0.18,0.19,0.26
0.27602601051330566,0.01,-0.11,0.24,0.26
0.2852630615234375,0.04,-0.07,0.24,0.25
0.29520702362060547,0.1,-0.1,0.18,0.22
0.3095390796661377,0.04,-0.1,0.13,0.16
0.32156896591186523,0.01,-0.09,0.06,0.1
0.32477593421936035,0.02,-0.07,0.05,0.08
0.33496594429016113,0.06,-0.06,0.09,0.12
0.3453080654144287,0.09,-0.07,0.16,0.19
0.3553740978240967,0.13,-0.1,0.24,0.29
0.36704397201538086,0.12,-0.12,0.34,0.38
0.37566685676574707,0.11,-0.1,0.38,0.4
0.3859410285949707,0.08,-0.07,0.33,0.34
0.3967578411102295,0.09,-0.08,0.22,0.25
0.410689115524292,0.06,-0.1,0.09,0.14
0.4150700569152832,0.05,-0.11,0.01,0.12
0.4254181385040283,0.06,-0.13,0.0,0.14
0.43526291847229004,0.08,-0.16,0.05,0.18
0.4453010559082031,0.06,-0.17,0.09,0.2
0.4551670551300049,0.06,-0.18,0.12,0.22
0.46628403663635254,0.09,-0.19,0.17,0.27
0.4751110076904297,0.12,-0.19,0.25,0.33
0.48575401306152344,0.12,-0.16,0.33,0.38
0.49613499641418457,0.09,-0.15,0.35,0.39
0.5103449821472168,0.06,-0.16,0.34,0.38
0.5152480602264404,0.07,-0.12,0.32,0.34
0.524799108505249,0.11,-0.09,0.28,0.31
0.5353050231933594,0.12,-0.06,0.2,0.24
0.5452821254730225,0.11,-0.07,0.11,0.17
0.555351972579956,0.1,-0.13,0.06,0.17
0.5675220489501953,0.11,-0.17,0.14,0.24
0.5758299827575684,0.12,-0.18,0.24,0.32
0.5855000019073486,0.12,-0.19,0.33,0.39
0.5955450534820557,0.15,-0.19,0.37,0.44
0.6101028919219971,0.17,-0.21,0.3,0.4
0.615156888961792,0.15,-0.24,0.23,0.36
0.6249420642852783,0.17,-0.25,0.17,0.34
0.6350729465484619,0.17,-0.26,0.1,0.32
0.6450059413909912,0.17,-0.26,0.09,0.32
0.6549508571624756,0.17,-0.27,0.09,0.33
0.667788028717041,0.16,-0.3,0.14,0.36
0.6754391193389893,0.18,-0.3,0.2,0.4
0.6864120960235596,0.17,-0.32,0.23,0.42
0.6958980560302734,0.15,-0.34,0.29,0.47
0.7101690769195557,0.12,-0.36,0.36,0.52
0.7152500152587891,0.15,-0.41,0.43,0.61
0.7249050140380859,0.18,-0.43,0.47,0.66
